themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
1,4G,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
23,彩票,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
27,传感器,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
30,涤纶,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
38,风电,,1,2015/1/13,1,1,2014/12/10 18:08,2015/11/25 9:13
40,复合肥,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
43,白酒,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
44,特钢,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
46,银行,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
50,饮料,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
53,航母,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
57,核电,,1,2015/5/19,1,1,2014/12/10 18:08,2015/11/25 9:13
66,黄金,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
69,集装箱,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
72,甲醇,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
78,客车,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
79,空调,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
90,葡萄酒,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
92,汽配,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
98,水电,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
99,饲料,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
110,天然气,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
112,铜,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
115,污水处理,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
116,物流,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
121,信托,来自申万行业分类,5,2014/8/31,1,1,2014/12/10 18:08,2015/11/25 9:13
133,航天军工,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
139,前海,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
141,水利工程,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
143,种业,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
149,干细胞,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
151,蓝宝石,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
153,NFC,,1,2015/5/19,1,1,2014/12/10 18:08,2015/11/25 9:13
154,社保,,1,2015/1/18,1,1,2014/12/10 18:08,2015/11/25 9:13
158,微信,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
160,光伏,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
161,水泥建材,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
162,土壤环保,,1,2015/5/17,1,1,2014/12/10 18:08,2015/11/25 9:13
164,保险,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
165,无人机,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
168,养老,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
170,成品油,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
172,旅游,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
177,处理器,,1,2015/5/21,1,1,2014/12/10 18:08,2015/11/25 9:13
178,足球,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
179,油气,,1,2015/5/15,1,1,2014/12/10 18:08,2015/11/25 9:13
182,工业自动化,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
187,铁路建设,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
190,宽带,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
197,航运,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
203,小米,,1,2015/5/13,1,1,2014/12/10 18:08,2015/11/25 9:13
204,人工智能,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
206,券商,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
210,电改,新电改方案主要围绕“四放开一独立”来进行布局，即输配以外的经营性电价放开、增量配电业务放开、售电业务放开、公益性和调节性以外的发供电计划放开和交易平台相对独立,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
214,IPO注册制,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
218,兽药,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
225,跨境电商,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
227,海上丝绸之路,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
229,VOCs,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
238,一带一路,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
239,PPP,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
241,高新区,,1,2015/5/21,1,1,2014/12/10 18:08,2015/11/25 9:13
242,高速公路,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
271,工业4.0,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
273,玻璃,,1,2015/6/27,1,1,2014/12/10 18:08,2015/11/25 9:13
280,发动机,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
283,基础设施建设,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
285,机床,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
288,铝,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
296,橡胶,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
300,珠宝,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
303,清洁能源,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
322,保健品,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
323,电梯,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
332,软件,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
334,O2O,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
339,油改,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
345,沪港通,,1,2015/3/20,1,1,2014/12/10 18:08,2015/11/25 9:13
347,鸡蛋,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
349,互联网汽车,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
352,反腐,,1,2015/6/23,1,1,2014/12/10 18:08,2015/11/25 9:13
365,白银,,1,2015/6/22,1,1,2014/12/10 18:08,2015/11/25 9:13
366,超市,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
370,电源,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
373,肉制品,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
374,食用油,,1,2015/5/21,1,1,2014/12/10 18:08,2015/11/25 9:13
381,人脑工程,,1,2015/5/3,1,1,2014/12/10 18:08,2015/11/25 9:13
396,虚拟现实设备,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
399,公路运输,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
414,化肥,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
416,磷肥,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
424,园林,,1,2015/5/17,1,1,2014/12/10 18:08,2015/11/25 9:13
425,自行车,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
431,机器人,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
432,高校,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
439,农业信息化,,1,2015/5/19,1,1,2014/12/10 18:08,2015/11/25 9:13
471,创投,,1,2015/6/26,1,1,2014/12/10 18:08,2015/11/25 9:13
472,分拆上市,,1,2015/3/19,1,1,2014/12/10 18:08,2015/11/25 9:13
477,低价,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
483,高铁,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
484,稀土,来自申万行业分类,5,2011/5/28,1,1,2014/12/10 18:08,2015/11/25 9:13
485,重组,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
488,春节,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
489,军工,,1,2015/6/7,1,1,2014/12/10 18:08,2015/11/25 9:13
497,期货,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
501,苹果,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
502,巴菲特,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
507,消费,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
508,PTA,,1,2015/1/13,1,1,2014/12/10 18:08,2015/11/25 9:13
511,现代农业,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
512,大消费,,1,2015/6/28,1,1,2014/12/10 18:08,2015/11/25 9:13
518,上海迪士尼,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
520,人参,,1,2015/5/2,1,1,2014/12/10 18:08,2015/11/25 9:13
522,水利,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
539,动漫产业,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
541,海南,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
542,铁路,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
545,园区,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
547,订单,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
550,能源,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
551,实验,,2,2015/3/25,1,1,2014/12/10 18:08,2015/11/25 9:13
