Date,Open,High,Low,Close,Volume,Adj Close,
2015/4/15,1.97,2.05,1.96,2.02,594000,2.02,
2015/4/14,1.95,1.98,1.93,1.96,1670900,1.96,
2015/4/13,1.94,1.97,1.92,1.92,841800,1.92,
2015/4/10,1.94,1.96,1.93,1.94,547800,1.94,
2015/4/9,1.95,1.98,1.93,1.94,1523800,1.94,
2015/4/8,1.99,1.99,1.92,1.94,3328300,1.94,
2015/4/7,1.95,1.97,1.91,1.93,386800,1.93,
2015/4/6,1.97,2.01,1.93,1.95,1225100,1.95,
2015/4/2,1.95,1.96,1.9,1.94,534500,1.94,
2015/4/1,1.92,1.98,1.88,1.9,1069000,1.9,
2015/3/31,1.8,1.84,1.77,1.81,388300,1.81,
2015/3/30,1.73,1.8,1.69,1.78,570800,1.78,
2015/3/27,1.75,1.76,1.69,1.7,474500,1.7,
2015/3/26,1.87,1.87,1.78,1.78,353300,1.78,
2015/3/25,1.93,1.97,1.9,1.9,1019200,1.9,
2015/3/24,1.9,1.92,1.84,1.9,542300,1.9,
2015/3/23,1.76,1.84,1.76,1.84,713400,1.84,
2015/3/20,1.69,1.74,1.67,1.73,1125100,1.73,
2015/3/19,1.66,1.67,1.57,1.62,644400,1.62,
2015/3/18,1.62,1.72,1.62,1.68,959800,1.68,
2015/3/17,1.52,1.61,1.52,1.61,496600,1.61,
2015/3/16,1.58,1.58,1.51,1.54,915900,1.54,
2015/3/13,1.54,1.57,1.49,1.54,1045800,1.54,
2015/3/12,1.64,1.65,1.54,1.54,365400,1.54,
2015/3/11,1.59,1.61,1.57,1.58,381800,1.58,
2015/3/10,1.6,1.67,1.6,1.6,407000,1.6,
2015/3/9,1.62,1.63,1.6,1.62,946300,1.62,
2015/3/6,1.69,1.7,1.66,1.68,696100,1.68,
2015/3/5,1.72,1.74,1.7,1.72,752400,1.72,
2015/3/4,1.73,1.75,1.71,1.74,880200,1.74,
2015/3/3,1.77,1.79,1.76,1.76,411900,1.76,
2015/3/2,1.87,1.87,1.76,1.79,574600,1.79,
2015/2/27,1.87,1.92,1.87,1.91,295900,1.91,
2015/2/26,1.79,1.9,1.79,1.85,545400,1.85,
2015/2/25,1.79,1.83,1.78,1.81,210000,1.81,
2015/2/24,1.79,1.85,1.78,1.83,427000,1.83,
2015/2/23,1.87,1.87,1.77,1.77,305600,1.77,
2015/2/20,1.86,1.87,1.84,1.85,627100,1.85,
2015/2/19,1.86,1.91,1.86,1.91,349700,1.91,
2015/2/18,1.83,1.9,1.8,1.88,538200,1.88,
2015/2/17,1.8,1.84,1.79,1.81,361500,1.81,
2015/2/13,1.84,1.86,1.8,1.81,929100,1.81,
2015/2/12,1.79,1.84,1.78,1.81,316000,1.81,
2015/2/11,1.71,1.77,1.7,1.75,741500,1.75,
2015/2/10,1.84,1.84,1.71,1.74,1248600,1.74,
2015/2/9,1.82,1.88,1.82,1.87,557400,1.87,
2015/2/6,1.85,1.87,1.83,1.86,528100,1.86,
2015/2/5,1.91,1.94,1.87,1.94,568400,1.94,
2015/2/4,1.95,2.01,1.89,1.9,574500,1.9,
2015/2/3,1.98,2.02,1.96,1.97,1562800,1.97,
2015/2/2,1.91,1.97,1.89,1.95,994900,1.95,
2015/1/30,1.92,1.96,1.88,1.88,1423700,1.88,
2015/1/29,2.04,2.07,2.03,2.04,667400,2.04,
2015/1/28,2.03,2.12,2,2.08,741000,2.08,
2015/1/27,2.02,2.08,2.02,2.07,336800,2.07,
2015/1/26,2.04,2.08,2.02,2.02,692000,2.02,
2015/1/23,2.1,2.11,2.03,2.07,472700,2.07,
2015/1/22,2.19,2.22,2.12,2.16,764500,2.16,
2015/1/21,2.09,2.19,2.08,2.16,1406100,2.16,
2015/1/20,2.03,2.08,2,2.05,3664100,2.05,
2015/1/16,2.14,2.18,2.14,2.17,437900,2.17,
2015/1/15,2.23,2.23,2.13,2.17,582500,2.17,
2015/1/14,2.11,2.19,2.11,2.15,814400,2.15,
2015/1/13,2.11,2.15,2.09,2.15,846000,2.15,
2015/1/12,2.07,2.12,2.06,2.06,1046000,2.06,
2015/1/9,2.11,2.15,2.08,2.13,278100,2.13,
2015/1/8,2.09,2.17,2.09,2.09,325700,2.09,
2015/1/7,2.16,2.2,2.13,2.16,524800,2.16,
