date,rate
2015/10/24,1.5
2015/8/26,1.75
2015/6/28,2
2015/5/11,2.25
2015/3/1,2.5
2014/11/22,2.75
2012/7/6,3
2012/6/8,3.25
2011/7/7,3.5
2011/4/6,3.25
2011/2/9,3
2010/12/26,2.75
2010/10/20,2.5
2008/12/23,2.25
2008/11/27,2.52
2008/10/30,3.6
2008/10/9,3.87
2007/12/21,4.14
2007/9/15,3.87
2007/8/22,3.6
2007/7/21,3.33
2007/5/19,3.06
2007/3/18,2.79
2006/8/19,2.52
2004/10/29,2.25
2002/2/21,1.98
1999/6/10,2.25
1998/12/7,3.78
1998/7/1,4.77
1998/3/25,5.22
1997/10/23,5.67
1996/8/23,7.47
1996/5/1,9.18
1993/7/11,10.98
1993/5/15,9.18
1991/4/21,7.56
1990/8/21,8.64
1990/4/15,10.08
1989/2/1,11.34
