code,name,eps,bvps,roe,net_profits
601818,光大银行,0.62,3.83,17.36,288.83
601398,工商银行,0.78,4.33,19.96,2758.11
601939,建设银行,0.91,4.97,19.74,2278.3
601009,南京银行,1.89,10.93,19.0,56.086209999999994
601166,兴业银行,2.47,13.54,21.21,471.38
601328,交通银行,0.89,6.34,14.87,658.5
600036,招商银行,2.22,12.47,19.28,559.11
601998,中信银行,0.87,5.55,16.84,406.92
601288,农业银行,0.55,3.05,19.57,1794.61
600000,浦发银行,2.52,13.15,21.02,470.26
601169,北京银行,1.48,9.08,17.98,156.23
600015,华夏银行,2.02,11.39,19.31,179.81
601988,中国银行,0.61,3.7,17.28,1695.95
000001,平安银行,1.73,11.46,16.35,198.02
