代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.206 6.528 0.644 0.175 1.5708?
HK003328 交通银行 4.575 6.960 0.657 0.132 2.2111?
HK006818 光大银行 3.159 4.328 0.730 0.169 2.4160?
HK003618 重庆农商 3.930 5.058 0.777 0.184 2.6091?
HK000939 建设银行 4.449 5.632 0.790 0.180 2.7661?
HK001988 民生银行 6.435 8.264 0.779 0.172 2.7916?
HK003988 中国银行 2.899 4.039 0.718 0.136 2.8315?
HK001398 工商银行 3.921 4.800 0.817 0.180 2.9712?
HK001288 农业银行 2.656 3.436 0.773 0.158 2.9769?
HK003968 招商银行 15.334 14.463 1.060 0.223 3.7391?
SH601398 工商银行 4.580 4.800 0.954 0.180 3.9108?
SH600000 浦发银行 18.270 15.284 1.195 0.249 3.9163?
SH601818 光大银行 4.240 4.328 0.980 0.169 4.2963?
SH601288 农业银行 3.230 3.436 0.940 0.158 4.3133?
SH601169 北京银行 10.530 8.941 1.178 0.219 4.3305?
SH601939 建设银行 5.780 5.632 1.026 0.180 4.3487?
SH601166 兴业银行 17.070 15.037 1.135 0.206 4.3739?
SH601009 南京银行 17.700 13.799 1.283 0.237 4.4221?
SH600036 招商银行 17.990 14.463 1.244 0.223 4.5340?
SH601998 中信银行 7.220 6.528 1.106 0.175 4.9173?
SH601328 交通银行 6.440 6.960 0.925 0.132 4.9744?
SZ002142 宁波银行 15.510 10.381 1.494 0.240 5.0838?
SH600016 民生银行 9.640 8.264 1.167 0.172 5.3382?
SZ000001 平安银行 11.990 11.357 1.056 0.150 5.3510?
SH601988 中国银行 4.010 4.039 0.993 0.136 5.3717?
SH600015 华夏银行 12.140 10.775 1.127 0.157 5.5798
