2015-11-25
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.253 6.434 0.661 0.175 1.729 
HK006818 光大银行 2.984 4.279 0.697 0.169 2.125 
HK003328 交通银行 4.566 6.892 0.663 0.132 2.275 
HK001288 农业银行 2.473 3.405 0.726 0.158 2.550 
HK003618 重庆农商 3.865 4.987 0.775 0.184 2.595 
HK003988 中国银行 2.876 3.992 0.721 0.136 2.862 
HK000939 建设银行 4.467 5.562 0.803 0.180 2.866 
HK001988 民生银行 6.462 8.167 0.791 0.172 2.892 
HK001398 工商银行 3.923 4.726 0.830 0.180 3.067 
SH601169 北京银行 9.600 8.772 1.094 0.219 3.959 
SH601398 工商银行 4.660 4.726 0.986 0.180 4.109 
HK003968 招商银行 16.253 14.218 1.143 0.223 4.114 
SH601166 兴业银行 16.170 14.817 1.091 0.206 4.164 
SH600000 浦发银行 19.670 14.949 1.316 0.251 4.328 
SH601288 农业银行 3.230 3.405 0.949 0.158 4.375 
SH601939 建设银行 5.780 5.562 1.039 0.180 4.424 
SH600036 招商银行 17.730 14.218 1.247 0.223 4.547 
SH601009 南京银行 18.000 13.548 1.329 0.237 4.587 
SH601818 光大银行 4.440 4.279 1.038 0.169 4.664 
SH600016 民生银行 8.800 8.167 1.077 0.172 4.838 
SH600015 华夏银行 11.090 10.666 1.040 0.157 5.028 
SZ002142 宁波银行 15.110 10.171 1.486 0.240 5.058 
SH601328 交通银行 6.560 6.892 0.952 0.132 5.203 
SH601998 中信银行 7.590 6.434 1.180 0.175 5.317 
SH601988 中国银行 4.080 3.992 1.022 0.136 5.599 
SZ000001 平安银行 12.320 11.210 1.099 0.150 5.639

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.221 6.437 0.656 0.175 1.681 
HK006818 光大银行 2.976 4.280 0.695 0.169 2.108 
HK003328 交通银行 4.601 6.894 0.667 0.132 2.334 
HK001288 农业银行 2.474 3.406 0.726 0.158 2.550 
HK003618 重庆农商 3.900 4.989 0.782 0.184 2.645 
HK001988 民生银行 6.398 8.170 0.783 0.172 2.827 
HK003988 中国银行 2.886 3.993 0.723 0.136 2.884 
HK000939 建设银行 4.485 5.564 0.806 0.180 2.888 
HK001398 工商银行 3.941 4.728 0.834 0.180 3.092 
HK003968 招商银行 15.484 14.225 1.089 0.223 3.870 
SH601169 北京银行 9.52 8.777 1.085 0.219 3.914 
SH601166 兴业银行 16.08 14.823 1.085 0.206 4.132 
SH601398 工商银行 4.68 4.728 0.990 0.180 4.132 
SH600000 浦发银行 19.37 14.958 1.295 0.251 4.256 
SH601288 农业银行 3.22 3.406 0.945 0.158 4.352 
SH601939 建设银行 5.79 5.564 1.041 0.180 4.433 
SH600036 招商银行 17.53 14.225 1.232 0.223 4.488 
SH601009 南京银行 17.94 13.555 1.324 0.237 4.569 
SH601818 光大银行 4.44 4.280 1.037 0.169 4.662 
SH600016 民生银行 8.77 8.170 1.073 0.172 4.814 
SH600015 华夏银行 11.11 10.669 1.041 0.157 5.039 
SZ002142 宁波银行 15.13 10.177 1.487 0.240 5.061 
SH601328 交通银行 6.52 6.894 0.946 0.132 5.151 
SH601998 中信银行 7.58 6.437 1.178 0.175 5.306 
SH601988 中国银行 4.07 3.993 1.019 0.136 5.577 
SZ000001 平安银行 12.23 11.214 1.091 0.150 5.583

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.092 6.439 0.635 0.175 1.485 
HK006818 光大银行 2.904 4.281 0.678 0.169 1.948 
HK003328 交通银行 4.521 6.896 0.656 0.132 2.190 
HK003618 重庆农商 3.795 4.991 0.760 0.184 2.481 
HK001288 农业银行 2.467 3.407 0.724 0.158 2.530 
HK001988 民生银行 6.155 8.173 0.753 0.172 2.581 
