Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2006/6/13,382474,42587,128892,19370,66611,22998,103211,30916,46704,33230,10656,58412,326513,365190,55961,17284
2006/6/20,390281,47440,126992,22404,64682,25806,94632,30963,48730,32947,11142,64458,336417,372774,53864,17507
2006/6/27,384321,48449,121890,22425,62640,25151,91042,32287,49614,31307,11386,59762,327749,362729,56572,21592
2006/7/3,392868,48087,122568,22720,69714,26352,92545,30452,50821,32874,8677,63514,336914,372098,55955,20771
2006/7/11,427008,54509,130618,21840,79217,28805,104213,27624,54922,33165,11194,70944,368398,403323,58611,23685
2006/7/18,443519,49863,131166,21681,83183,33352,107413,24296,62395,31760,9442,74272,380737,418105,62782,25414
2006/7/25,432413,52859,133290,22956,85604,28832,99087,22386,64810,29740,6244,73980,372265,415146,60148,17266
2006/8/1,394609,45161,135988,21250,73244,23643,99330,24391,54618,32195,4758,57618,333815,374260,60795,20350
2006/8/8,402899,46203,142240,20703,72061,24259,104600,24271,57785,33123,6489,57914,344587,385020,58312,17880
2006/8/15,402702,46986,139790,20326,66040,25523,96966,24602,58658,33047,5839,56914,338420,377366,64282,25336
2006/8/22,393425,48070,138621,22442,62922,25295,90079,25742,58669,36185,6335,56284,337023,373867,56402,19558
2006/8/29,390836,51201,136807,27971,59944,25652,83122,31194,57680,37506,5376,53976,337108,370628,53728,20207
2006/9/5,420442,54238,144515,23579,67114,27645,90955,27781,60112,38744,5960,62520,357793,395647,62650,24795
2006/9/12,403755,53732,133417,33464,59988,25866,78251,31200,58265,35724,6633,64278,349580,379647,54175,24108
2006/9/19,430959,61312,135599,36876,59838,28306,71695,29518,70623,34606,7391,73555,376974,404831,53985,26128
2006/9/26,406994,63370,131160,33963,59958,23567,70524,32558,63699,32245,3913,63880,351248,378736,55746,28258
2006/10/3,413818,66104,131341,35907,60203,19725,67587,33259,67668,34112,4380,66805,357908,383381,55910,30437
2006/10/10,430807,72256,133538,38669,56417,25338,63659,38639,72050,35107,4364,74687,381766,405032,49041,25775
2006/10/17,426984,71558,131844,33807,56992,27172,67141,40387,70706,35555,4015,72860,378799,403975,48185,23009
2006/10/24,430766,75101,131931,29711,53996,29765,56144,40439,69581,42341,4550,78453,381095,408715,49671,22051
2006/10/31,427979,67289,129457,28865,59193,30754,62544,36234,62908,38742,3509,80435,371538,402491,56441,25488
