Date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2006-06-13,40895.0,22845.0,13115.0,1569.0,0.0,846.0,0.0,9640.0,15501.0,4538.0,285.0,1682.0,105.0,38983.0,37357.0,1912.0,3538.0
2006-06-20,25349.0,8097.0,1348.0,1019.0,0.0,859.0,0.0,9494.0,13935.0,3476.0,1753.0,1693.0,1.0,23840.0,22330.0,1508.0,3019.0
2006-06-27,21600.0,3746.0,1855.0,317.0,0.0,667.0,0.0,10666.0,11458.0,2318.0,2844.0,2096.0,27.0,19919.0,18738.0,1681.0,2862.0
2006-07-03,19802.0,3469.0,1872.0,318.0,0.0,658.0,0.0,11149.0,9300.0,2350.0,1244.0,2016.0,133.0,18662.0,16646.0,1140.0,3156.0
2006-07-11,21508.0,4133.0,1758.0,422.0,0.0,873.0,0.0,12261.0,10289.0,2310.0,984.0,2290.0,118.0,20227.0,18058.0,1280.0,3450.0
2006-07-18,18170.0,1596.0,2707.0,183.0,95.0,608.0,0.0,9803.0,5971.0,3169.0,1281.0,2193.0,108.0,16234.0,14939.0,1936.0,3231.0
2006-07-25,17788.0,1245.0,3833.0,278.0,101.0,623.0,0.0,10746.0,5258.0,2709.0,893.0,2078.0,151.0,16123.0,14930.0,1665.0,2858.0
2006-08-01,16833.0,1377.0,2461.0,595.0,0.0,677.0,0.0,10222.0,4988.0,2430.0,728.0,1995.0,29.0,15381.0,13175.0,1452.0,3659.0
2006-08-08,19412.0,2829.0,1379.0,959.0,0.0,936.0,0.0,11628.0,7217.0,2416.0,476.0,2340.0,22.0,18329.0,15268.0,1083.0,4144.0
2006-08-15,19553.0,3176.0,1410.0,937.0,0.0,945.0,0.0,11393.0,7490.0,2451.0,402.0,2371.0,34.0,18393.0,15638.0,1160.0,3915.0
2006-08-22,20208.0,3912.0,1428.0,918.0,0.0,943.0,0.0,11162.0,8348.0,2515.0,603.0,2324.0,25.0,19135.0,16501.0,1073.0,3707.0
2006-08-29,20738.0,4169.0,1814.0,536.0,0.0,831.0,0.0,11728.0,8943.0,2564.0,683.0,2356.0,21.0,19700.0,17065.0,1038.0,3674.0
2006-09-05,21118.0,4862.0,1785.0,557.0,0.0,798.0,0.0,11409.0,9485.0,2559.0,584.0,2422.0,21.0,19992.0,17627.0,1126.0,3491.0
2006-09-12,22748.0,2351.0,3152.0,697.0,0.0,509.0,0.0,11405.0,8303.0,4672.0,753.0,2330.0,256.0,20135.0,19919.0,2614.0,2829.0
2006-09-19,17849.0,4042.0,2224.0,695.0,0.0,410.0,0.0,6257.0,6926.0,3178.0,1030.0,2111.0,14.0,15217.0,15557.0,2632.0,2292.0
2006-09-26,20217.0,5431.0,1916.0,647.0,62.0,420.0,0.0,8530.0,9386.0,2858.0,665.0,2308.0,7.0,18199.0,17542.0,2017.0,2675.0
2006-10-03,25193.0,5200.0,7629.0,694.0,0.0,420.0,0.0,12672.0,8123.0,3253.0,865.0,2376.0,17.0,22701.0,22513.0,2492.0,2681.0
2006-10-10,31633.0,5530.0,12635.0,651.0,0.0,406.0,0.0,17361.0,9704.0,3122.0,1500.0,2572.0,20.0,28183.0,29109.0,3450.0,2524.0
2006-10-17,37544.0,5372.0,15747.0,634.0,0.0,474.0,0.0,23850.0,13429.0,2667.0,1406.0,2426.0,21.0,33951.0,35398.0,3593.0,2146.0
2006-10-24,34556.0,4954.0,16512.0,631.0,0.0,171.0,0.0,20898.0,9824.0,2769.0,1457.0,2272.0,13.0,30723.0,32193.0,3833.0,2364.0
