,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short)
0,2017-08-18,"26,652","28,776","3,309","11,640","16,454","41,601","48,539"
1,2017-07-21,"28,513","26,461","2,186","13,224","20,235","43,923","48,882"
2,2017-07-07,"30,078","24,242","2,926","9,642","20,341","42,646","47,509"
3,2017-06-30,"27,957","22,499","3,108","9,181","19,715","40,246","45,322"
4,2017-06-02,"51,405","23,700","3,177","18,191","51,901","72,773","78,778"
5,2017-05-12,"48,718","12,969","2,643","13,821","55,790","65,182","71,402"
6,2017-05-05,"50,457","10,437","2,172","12,770","58,262","65,399","70,871"
7,2017-04-28,"49,577","6,036","1,684","10,385","59,406","61,646","67,126"
8,2017-04-21,"46,766","3,329","2,153","9,926","58,731","58,845","64,213"
9,2017-04-07,"48,816","5,857","1,836","10,643","59,014","61,295","66,707"
10,2017-03-31,"52,849","8,636","1,712","11,989","61,841","66,550","72,189"
11,2017-02-10,"54,335","7,602","2,760","7,217","60,553","64,312","70,915"
12,2017-02-03,"54,801","8,229","2,599","6,822","62,118","64,222","72,946"
13,2017-01-20,"57,589","8,467","2,091","6,916","64,074","66,596","74,632"
14,2016-12-16,"70,157","13,445","5,291","9,479","72,718","84,927","91,454"
15,2016-11-14,"65,523","13,227","3,065","8,675","67,458","77,263","83,750"
16,2016-10-28,"67,984","13,994","3,969","6,912","66,229","78,865","84,192"
17,2016-10-14,"50,990","17,441","3,923","6,875","46,118","61,788","67,482"
18,2016-09-30,"31,260","19,055","4,421","7,377","24,798","43,058","48,274"
19,2016-09-23,"30,268","15,868","3,516","7,151","26,324","40,935","45,708"
20,2016-09-16,"34,343","17,269","5,514","7,899","30,445","47,756","53,228"
21,2016-08-12,"32,499","16,730","8,781","7,480","29,097","48,760","54,608"
22,2016-07-15,"33,104","19,120","4,641","7,687","26,941","45,432","50,702"
23,2016-07-08,"32,442","20,163","3,991","7,419","25,073","43,852","49,227"
24,2016-07-01,"31,058","18,879","3,416","7,279","22,118","41,753","44,413"
25,2016-06-24,"34,097","24,725","3,218","7,157","20,352","44,472","48,295"
26,2016-06-10,"37,987","28,188","7,526","17,029","31,733","62,542","67,447"
27,2016-06-03,"34,099","24,193","4,029","15,663","31,709","53,791","59,931"
28,2016-05-13,"42,834","30,717","2,697","14,291","31,195","59,822","64,609"
29,2016-04-15,"39,571","25,722","1,548","10,122","28,703","51,241","55,973"
30,2016-04-08,"40,039","22,724","1,690","7,433","29,079","49,162","53,493"
