,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short),speculator(long)_change,speculator(short)_change,speculator(spreading)_change,commercial(long)_change,commercial(short)_change,total(long)_change,total(short)_change
0,2017-08-18,"276,766","84,935","162,385","210,874","411,229","650,025","658,550","32,573","-9,415","18,010","6,032","45,771","56,615","54,365"
1,2017-07-21,"212,660","154,615","187,147","236,838","309,682","636,645","651,444","5,770","2,760",272,"4,706","7,243","10,749","10,276"
2,2017-07-07,"214,572","123,891","169,688","212,950","318,215","597,210","611,794","-19,750","21,726","17,162","16,439","-30,165","13,851","8,723"
3,2017-06-30,"234,322","102,165","152,526","196,511","348,380","583,359","603,070","-17,504","1,925","-1,993",878,"-13,983","-18,619","-14,052"
4,2017-06-02,"253,634","81,826","139,158","184,498","372,924","577,291","593,908","13,979","1,781","-50,126","-33,971","-20,526","-70,118","-68,871"
5,2017-05-12,"222,393","81,007","167,130","197,083","354,434","586,606","602,572","-47,089","-3,468","15,937","10,332","-32,649","-20,820","-20,180"
6,2017-05-05,"269,482","84,476","151,193","186,751","387,083","607,426","622,752","-10,700",552,"-1,318",-862,"-11,850","-12,880","-12,616"
7,2017-04-28,"280,182","83,923","152,512","187,612","398,932","620,306","635,367","2,683","6,768","-41,434","-13,961","-17,966","-52,712","-52,632"
8,2017-04-21,"277,499","77,156","193,946","201,573","416,898","673,018","688,000","23,701",489,"8,537","11,768","34,947","44,006","43,973"
9,2017-04-07,"241,650","80,467","161,559","177,186","354,401","580,395","596,427","10,350","-6,945","-23,829","-7,705","9,011","-21,184","-21,763"
10,2017-03-31,"231,300","87,413","185,388","184,891","345,390","601,579","618,191","7,546","-14,206","-30,837","-4,656","20,663","-27,948","-24,380"
11,2017-02-10,"218,908","97,539","171,572","186,587","324,831","577,067","593,942","7,040","4,764","22,199","12,347","18,370","41,586","45,334"
12,2017-02-03,"211,867","92,774","149,373","174,240","306,461","535,480","548,608","3,334","-8,435","-101,992","-20,895","-12,442","-119,554","-122,870"
13,2017-01-20,"218,615","111,734","235,519","186,434","308,934","640,568","656,187","8,472","8,118","26,007","8,204","7,552","42,684","41,677"
14,2016-12-16,"219,955","99,779","170,825","181,290","324,371","572,069","594,975",280,"7,760","9,167","5,467",415,"14,914","17,342"
15,2016-11-14,"292,443","69,295","197,860","201,829","454,120","692,132","721,275","-3,622","-1,863","9,729","3,476","6,371","9,584","14,237"
16,2016-10-28,"288,565","76,152","194,607","198,369","432,966","681,541","703,725","13,047","-4,471","-2,288",-560,"13,778","10,200","7,020"
17,2016-10-14,"286,209","75,612","190,353","194,907","433,080","671,470","699,046","-43,048","8,002","8,309","4,604","-46,916","-30,135","-30,605"
18,2016-09-30,"368,769","57,647","166,815","200,512","535,001","736,095","759,463","36,605","-1,861","-22,756","-5,086","21,144","8,764","-3,473"
19,2016-09-23,"332,163","59,508","189,571","205,598","513,857","727,332","762,936","-27,788","1,883","2,299","5,100","-15,978","-20,389","-11,796"
20,2016-09-16,"359,951","57,625","187,272","200,498","529,835","747,721","774,732","-27,452",345,"-2,306","4,511","-18,688","-25,247","-20,649"
