,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short),speculator(long)_change,speculator(short)_change,speculator(spreading)_change,commercial(long)_change,commercial(short)_change,total(long)_change,total(short)_change
0,2017-08-18,"277,730","89,996","37,693","122,138","318,769","437,561","446,458","31,353","-7,544","1,285","-3,030","-3,030","29,608","27,831"
1,2017-07-21,"217,232","157,094","69,714","153,064","226,699","440,010","453,507",-405,-283,"4,955","5,246","5,246","9,796","9,637"
2,2017-07-07,"221,681","127,882","56,968","131,190","238,416","409,839","423,266","-14,905","22,968","5,310","13,693","13,693","4,098",-666
3,2017-06-30,"236,586","104,914","51,658","117,497","267,360","405,741","423,932","-16,034","2,969","11,925","7,210","7,210","3,101","6,951"
4,2017-06-02,"250,542","83,452","35,549","103,751","286,970","389,842","405,971","8,790","1,467","-27,879","-8,363","-8,363","-27,452","-25,847"
5,2017-05-12,"236,115","86,109","46,859","104,960","269,382","387,934","402,350","-39,917",-289,"4,822","5,906","5,906","-29,189","-29,125"
6,2017-05-05,"276,032","86,398","42,037","99,054","303,040","417,123","431,475","-11,436",-393,"-1,476","-1,281","-1,281","-14,193","-13,744"
7,2017-04-28,"287,468","86,791","43,513","100,335","314,915","431,316","445,219","8,157","3,248","-4,848","2,566","2,566","5,875","4,482"
8,2017-04-21,"279,311","83,543","48,361","97,769","308,833","425,441","440,737","26,307","3,205","-9,129",-350,-350,"16,828","17,426"
9,2017-04-07,"239,061","83,625","49,043","96,115","267,131","384,219","399,799","11,222","-6,394","-25,762","-8,645","-8,645","-23,185","-21,899"
10,2017-03-31,"227,839","90,019","74,805","104,760","256,874","407,404","421,698","8,120","-13,448","-7,777","3,478","3,478","3,821","5,370"
11,2017-02-10,"216,408","99,259","51,747","106,024","240,170","374,179","391,176","3,994","6,000","6,739","4,240","4,240","14,973","19,322"
12,2017-02-03,"212,414","93,259","45,008","101,784","233,587","359,206","371,854","2,560","-7,188","-74,790","-7,216","-7,216","-79,446","-83,765"
13,2017-01-20,"218,144","111,103","104,399","101,399","224,510","423,942","440,012","4,144","6,585","15,238","4,636","4,636","24,018","23,754"
14,2016-12-16,"229,755","100,444","35,044","86,143","236,029","350,942","371,517","2,080","9,149","1,071",-94,-94,"3,057","5,068"
15,2016-11-14,"289,860","72,622","72,413","114,915","360,501","477,188","505,536","1,552",-555,"6,460",-483,-483,"7,529","11,757"
16,2016-10-28,"285,376","88,396","57,916","114,700","332,299","457,992","478,611","11,031","-6,331","1,661",-741,-741,"11,951","9,517"
17,2016-10-14,"283,386","88,167","50,883","112,362","333,561","446,631","472,611","-40,750","9,539","-2,983",498,498,"-43,235","-42,989"
18,2016-09-30,"358,972","67,068","47,925","123,156","437,750","530,053","552,743","32,646","-3,079","-3,070","2,842","2,842","32,418","20,672"
19,2016-09-23,"326,326","70,147","50,995","120,314","410,929","497,635","532,071","-25,450","3,784","-1,497","3,473","3,473","-23,474","-14,996"
20,2016-09-16,"351,776","66,363","52,492","116,841","428,212","521,109","547,067","-18,599","3,848","-3,380","6,371","6,371","-15,608","-11,763"
21,2016-08-12,"356,471","70,024","50,020","116,251","429,192","522,742","549,236","-9,330","-1,594","1,972","2,340","2,340","-5,018","-8,368"
22,2016-07-15,"378,081","80,618","79,128","123,258","448,710","580,467","608,456","-11,509","6,991","-9,729",-477,-477,"-21,715","-17,970"
23,2016-07-08,"389,590","73,627","88,857","123,735","463,942","602,182","626,426","16,462","2,419","24,493","-3,434","-3,434","37,521","37,364"
24,2016-07-01,"373,128","71,208","64,364","127,169","453,490","564,661","589,062","14,303","5,112","18,965","7,387","7,387","40,655","45,648"
25,2016-06-24,"358,825","66,096","45,399","119,782","431,919","524,006","543,414","11,268","-1,599","6,474","6,501","6,501","24,243","25,436"
26,2016-06-10,"295,688","67,069","41,132","112,940","356,632","449,760","464,833","21,099","-10,385","2,371","-20,684","-20,684","2,786",956
27,2016-06-03,"274,589","77,454","38,761","133,624","347,662","446,974","463,877","-16,677","-7,180","-14,012","-12,581","-12,581","-43,270","-44,948"
28,2016-05-13,"337,251","72,353","67,605","123,211","408,207","528,067","548,165","-1,225","5,525","8,174","6,567","6,567","13,516","10,361"
29,2016-04-15,"286,341","72,534","46,969","122,181","353,968","455,491","473,471","22,560",-847,"2,319","4,078","4,078","28,957","30,092"
30,2016-04-08,"263,781","73,381","44,650","118,103","325,348","426,534","443,379","1,699","1,105","-1,079","-5,124","-5,124","-4,504","-5,817"
31,2016-04-01,"262,082","72,276","45,729","123,227","331,191","431,038","449,196","3,436","-7,539","-27,561","-3,854","-3,854","-27,979","-30,984"
32,2016-03-11,"252,895","78,085","76,202","116,493","311,865","445,590","466,152","29,709","7,312","15,552",922,922,"46,183","47,727"
33,2016-03-04,"223,186","70,773","60,650","115,571","287,002","399,407","418,425","-4,195","-11,630","13,043","-5,283","-5,283","3,565","4,412"
34,2016-02-19,"209,101","91,741","46,240","127,800","259,784","383,141","397,765","7,347","-11,585",493,"6,443","6,443","14,283","22,412"
35,2016-02-12,"201,754","103,326","45,747","121,357","226,280","368,858","375,353","24,786",-820,-422,"4,888","4,888","29,252","31,214"
