,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short)
0,2017-08-18,"90,647","52,672","29,938","64,691","112,917","185,275","195,526"
1,2017-07-21,"89,043","80,413","39,599","74,026","96,887","202,668","216,899"
2,2017-07-07,"90,764","65,200","32,043","67,604","107,143","190,411","204,386"
3,2017-06-30,"92,996","57,895","31,938","65,419","115,946","190,353","205,779"
4,2017-06-02,"95,443","35,004","43,752","59,432","130,552","198,627","209,308"
5,2017-05-12,"94,818","40,757","34,927","54,547","125,639","184,292","201,322"
6,2017-05-05,"101,769","29,957","25,996","49,103","137,139","176,869","193,093"
7,2017-04-28,"120,942","26,514","33,930","48,020","157,497","202,892","217,941"
8,2017-04-21,"128,751","23,289","39,117","52,015","170,958","219,882","233,364"
9,2017-04-07,"126,698","24,229","32,139","52,623","166,567","211,460","222,934"
10,2017-03-31,"112,315","20,865","29,185","53,347","156,264","194,848","206,314"
11,2017-02-10,"97,163","19,991","31,091","55,959","148,531","184,213","199,614"
12,2017-02-03,"96,208","20,962","26,796","54,545","143,993","177,548","191,751"
13,2017-01-20,"90,016","21,248","23,613","50,978","132,592","164,607","177,453"
14,2016-12-16,"86,969","19,865","20,559","46,628","128,575","154,156","168,999"
15,2016-11-14,"91,208","22,237","31,847","59,638","145,920","182,693","200,004"
16,2016-10-28,"92,637","32,765","37,209","63,013","140,033","192,860","210,007"
17,2016-10-14,"98,235","32,698","28,907","57,985","139,126","185,126","200,731"
18,2016-09-30,"118,727","30,779","22,902","53,267","157,786","194,896","211,467"
19,2016-09-23,"115,303","29,338","25,410","51,991","152,607","192,703","207,355"
20,2016-09-16,"115,320","30,545","25,334","51,588","151,948","192,242","207,827"
21,2016-08-12,"124,066","29,511","34,913","53,805","161,375","212,783","225,800"
22,2016-07-15,"114,586","24,451","42,052","62,736","165,807","219,374","232,310"
23,2016-07-08,"111,925","24,363","38,548","64,210","165,589","214,683","228,500"
24,2016-07-01,"108,256","22,439","35,322","62,686","160,651","206,264","218,413"
25,2016-06-24,"106,453","24,342","36,893","63,835","156,337","207,181","217,572"
26,2016-06-10,"86,319","27,864","36,573","63,296","137,422","186,188","201,858"
27,2016-06-03,"89,386","26,525","35,401","66,641","144,637","191,429","206,563"
28,2016-05-13,"106,536","26,261","36,540","65,000","157,211","208,077","220,012"
29,2016-04-15,"86,886","24,140","33,434","60,546","133,956","180,865","191,530"
30,2016-04-08,"78,300","26,865","38,585","57,280","116,911","174,166","182,361"
31,2016-04-01,"77,739","23,837","34,800","53,869","121,952","166,409","180,589"
32,2016-03-11,"77,313","19,342","33,180","54,896","124,149","165,390","176,672"
33,2016-03-04,"76,773","22,652","25,015","54,398","118,673","156,185","166,340"
34,2016-02-19,"77,299","20,493","35,158","53,004","121,690","165,461","177,341"
35,2016-02-12,"75,164","25,083","33,374","52,570","112,270","161,108","170,727"
36,2016-02-05,"69,479","32,031","27,951","53,595","98,409","151,025","158,390"
37,2016-01-29,"67,358","31,292","27,163","51,660","95,808","146,181","154,263"
38,2016-01-22,"66,838","38,960","30,819","55,237","90,869","152,894","160,647"
39,2015-11-30,"69,527","50,653","25,814","64,320","92,722","159,661","169,190"
40,2015-11-16,"69,014","33,011","33,252","64,887","112,321","167,153","178,584"
41,2015-10-30,"78,317","20,415","40,764","56,259","121,246","175,340","182,424"
42,2015-10-23,"74,257","23,091","41,843","59,673","120,360","175,773","185,294"
43,2015-10-09,"64,499","29,238","35,180","66,540","110,583","166,219","175,001"
44,2015-10-02,"58,148","38,273","33,852","73,192","100,255","165,193","172,381"
45,2015-08-28,"61,132","42,728","33,142","88,623","115,538","182,898","191,409"
46,2015-08-14,"66,580","48,946","39,935","85,348","108,474","191,864","197,355"
47,2015-08-07,"68,644","58,252","38,330","93,640","109,429","200,614","206,011"
48,2015-07-24,"67,698","61,972","38,884","97,380","110,415","203,961","211,270"
49,2015-07-17,"66,617","57,220","38,036","92,682","108,447","197,335","203,702"
