,commercial(long),commercial(long)_change,commercial(short),commercial(short)_change,date,speculator(long),speculator(long)_change,speculator(short),speculator(short)_change,speculator(spreading),speculator(spreading)_change,total(long),total(long)_change,total(short),total(short)_change
0,"122,138","-3,030","318,769","-3,030",2017-08-18,"277,730","31,353","89,996","-7,544","37,693","1,285","437,561","29,608","446,458","27,831"
1,"153,064","5,246","226,699","5,246",2017-07-21,"217,232",-405,"157,094",-283,"69,714","4,955","440,010","9,796","453,507","9,637"
2,"131,190","13,693","238,416","13,693",2017-07-07,"221,681","-14,905","127,882","22,968","56,968","5,310","409,839","4,098","423,266",-666
3,"117,497","7,210","267,360","7,210",2017-06-30,"236,586","-16,034","104,914","2,969","51,658","11,925","405,741","3,101","423,932","6,951"
4,"103,751","-8,363","286,970","-8,363",2017-06-02,"250,542","8,790","83,452","1,467","35,549","-27,879","389,842","-27,452","405,971","-25,847"
5,"104,960","5,906","269,382","5,906",2017-05-12,"236,115","-39,917","86,109",-289,"46,859","4,822","387,934","-29,189","402,350","-29,125"
6,"99,054","-1,281","303,040","-1,281",2017-05-05,"276,032","-11,436","86,398",-393,"42,037","-1,476","417,123","-14,193","431,475","-13,744"
7,"100,335","2,566","314,915","2,566",2017-04-28,"287,468","8,157","86,791","3,248","43,513","-4,848","431,316","5,875","445,219","4,482"
8,"97,769",-350,"308,833",-350,2017-04-21,"279,311","26,307","83,543","3,205","48,361","-9,129","425,441","16,828","440,737","17,426"
9,"96,115","-8,645","267,131","-8,645",2017-04-07,"239,061","11,222","83,625","-6,394","49,043","-25,762","384,219","-23,185","399,799","-21,899"
10,"104,760","3,478","256,874","3,478",2017-03-31,"227,839","8,120","90,019","-13,448","74,805","-7,777","407,404","3,821","421,698","5,370"
11,"106,024","4,240","240,170","4,240",2017-02-10,"216,408","3,994","99,259","6,000","51,747","6,739","374,179","14,973","391,176","19,322"
12,"101,784","-7,216","233,587","-7,216",2017-02-03,"212,414","2,560","93,259","-7,188","45,008","-74,790","359,206","-79,446","371,854","-83,765"
13,"101,399","4,636","224,510","4,636",2017-01-20,"218,144","4,144","111,103","6,585","104,399","15,238","423,942","24,018","440,012","23,754"
14,"86,143",-94,"236,029",-94,2016-12-16,"229,755","2,080","100,444","9,149","35,044","1,071","350,942","3,057","371,517","5,068"
15,"114,915",-483,"360,501",-483,2016-11-14,"289,860","1,552","72,622",-555,"72,413","6,460","477,188","7,529","505,536","11,757"
16,"114,700",-741,"332,299",-741,2016-10-28,"285,376","11,031","88,396","-6,331","57,916","1,661","457,992","11,951","478,611","9,517"
