date,Au(T+D):settlement
2004-09-27,108.30 
2004-09-28,108.46 
2004-09-29,108.69 
2004-10-08,110.01 
2004-10-11,110.95 
2004-10-12,111.01 
2004-10-13,110.20 
2004-10-14,110.11 
2004-10-15,110.68 
2004-10-18,110.84 
2004-10-19,110.35 
2004-10-20,111.03 
2004-10-21,112.11 
2004-10-22,111.97 
2004-10-25,113.06 
2004-10-26,112.99 
2004-10-27,112.67 
2004-10-28,112.46 
2004-10-29,112.78 
2004-11-01,113.40 
2004-11-02,112.83 
2004-11-03,111.78 
2004-11-04,113.16 
2004-11-05,113.68 
2004-11-08,114.90 
2004-11-09,114.40 
2004-11-10,114.69 
2004-11-11,114.67 
2004-11-12,115.02 
2004-11-15,115.93 
2004-11-16,115.74 
2004-11-17,116.22 
2004-11-18,117.55 
2004-11-19,116.89 
2004-11-22,117.63 
2004-11-23,117.57 
2004-11-24,117.80 
2004-11-25,118.27 
2004-11-26,119.76 
2004-11-29,118.98 
2004-11-30,119.10 
2004-12-01,119.24 
2004-12-02,120.18 
2004-12-03,118.92 
2004-12-06,119.81 
2004-12-07,119.64 
2004-12-08,118.39 
2004-12-09,116.29 
2004-12-10,115.33 
2004-12-13,115.44 
2004-12-14,115.85 
2004-12-15,115.62 
2004-12-16,116.71 
2004-12-17,116.23 
2004-12-20,116.59 
2004-12-21,116.88 
2004-12-22,116.85 
2004-12-23,116.85 
2004-12-24,117.00 
2004-12-27,117.11 
2004-12-28,117.42 
2004-12-29,117.40 
2004-12-30,116.04 
2004-12-31,116.69 
2005-01-04,114.67 
2005-01-05,114.28 
2005-01-06,114.27 
2005-01-07,113.24 
2005-01-10,112.65 
2005-01-11,113.00 
2005-01-12,113.27 
2005-01-13,114.08 
2005-01-14,113.64 
2005-01-17,113.30 
2005-01-18,113.25 
2005-01-19,113.48 
2005-01-20,113.28 
2005-01-21,113.09 
2005-01-24,114.00 
2005-01-25,114.03 
2005-01-26,113.13 
2005-01-27,113.76 
2005-01-28,113.61 
2005-01-31,113.02 
2005-02-01,112.93 
2005-02-02,112.96 
2005-02-03,112.90 
2005-02-04,111.88 
2005-02-16,113.07 
2005-02-17,113.19 
2005-02-18,113.98 
2005-02-21,113.96 
2005-02-22,114.41 
2005-02-23,115.67 
2005-02-24,116.01 
2005-02-25,115.74 
2005-02-28,116.52 
2005-03-01,116.06 
2005-03-02,115.52 
2005-03-03,115.96 
2005-03-04,115.59 
2005-03-07,116.51 
2005-03-08,116.33 
2005-03-09,117.26 
2005-03-10,117.45 
2005-03-11,117.38 
2005-03-14,117.84 
2005-03-15,117.47 
2005-03-16,117.39 
2005-03-17,117.95 
2005-03-18,117.16 
2005-03-21,116.88 
2005-03-22,115.95 
2005-03-23,115.36 
2005-03-24,115.27 
2005-03-25,115.11 
2005-03-28,114.76 
2005-03-29,114.98 
2005-03-30,114.86 
2005-03-31,114.41 
2005-04-01,114.67 
2005-04-04,114.29 
2005-04-05,113.41 
2005-04-06,114.05 
2005-04-07,114.57 
2005-04-08,114.08 
2005-04-11,114.48 
2005-04-12,115.09 
2005-04-13,114.86 
2005-04-14,114.78 
2005-04-15,113.63 
2005-04-18,113.91 
2005-04-19,114.36 
2005-04-20,115.47 
2005-04-21,115.44 
2005-04-22,115.33 
2005-04-25,115.48 
2005-04-26,115.66 
2005-04-27,115.72 
2005-04-28,115.11 
2005-04-29,114.97 
2005-05-09,114.01 
2005-05-10,114.07 
2005-05-11,114.27 
2005-05-12,113.53 
2005-05-13,112.97 
2005-05-16,112.26 
2005-05-17,112.45 
2005-05-18,112.33 
2005-05-19,112.77 
2005-05-20,112.41 
2005-05-23,111.66 
2005-05-24,111.48 
2005-05-25,111.77 
2005-05-26,111.90 
2005-05-27,111.54 
2005-05-30,111.68 
2005-05-31,111.18 
2005-06-01,111.19 
2005-06-02,111.13 
2005-06-03,112.41 
2005-06-06,112.62 
2005-06-07,113.20 
2005-06-08,112.97 
2005-06-09,112.67 
2005-06-10,112.60 
2005-06-13,112.87 
2005-06-14,113.28 
2005-06-15,113.15 
2005-06-16,113.73 
2005-06-17,114.95 
2005-06-20,115.54 
2005-06-21,114.85 
2005-06-22,115.66 
2005-06-23,115.47 
2005-06-24,116.36 
2005-06-27,116.02 
2005-06-28,115.82 
2005-06-29,115.06 
2005-06-30,115.64 
2005-07-01,115.31 
2005-07-04,113.87 
2005-07-05,113.68 
2005-07-06,113.28 
2005-07-07,113.56 
2005-07-08,113.24 
2005-07-11,113.48 
2005-07-12,113.86 
2005-07-13,113.65 
2005-07-14,113.24 
2005-07-15,112.37 
2005-07-18,112.73 
2005-07-19,112.38 
2005-07-20,112.26 
2005-07-21,112.75 
2005-07-22,111.78 
2005-07-25,111.42 
2005-07-26,111.35 
2005-07-27,110.60 
2005-07-28,110.92 
2005-07-29,111.65 
2005-08-01,112.24 
2005-08-02,112.66 
2005-08-03,112.32 
2005-08-04,113.13 
2005-08-05,113.14 
2005-08-08,113.09 
2005-08-09,112.77 
2005-08-10,112.96 
2005-08-11,113.61 
2005-08-12,114.93 
2005-08-15,114.51 
2005-08-16,114.27 
2005-08-17,114.88 
2005-08-18,114.02 
2005-08-19,114.23 
2005-08-22,113.85 
2005-08-23,114.39 
2005-08-24,114.14 
2005-08-25,114.31 
2005-08-26,114.25 
2005-08-29,114.50 
2005-08-30,113.79 
2005-08-31,113.09 
2005-09-01,113.45 
2005-09-02,114.71 
2005-09-05,115.14 
2005-09-06,114.94 
2005-09-07,115.04 
2005-09-08,115.22 
2005-09-09,115.57 
2005-09-12,116.22 
2005-09-13,115.87 
2005-09-14,115.76 
2005-09-15,116.09 
2005-09-16,117.13 
2005-09-19,118.00 
2005-09-20,119.88 
2005-09-21,119.76 
2005-09-22,121.95 
2005-09-23,120.46 
2005-09-26,119.41 
2005-09-27,120.45 
2005-09-28,120.02 
2005-09-29,121.64 
2005-09-30,122.04 
2005-10-10,122.88 
2005-10-11,123.08 
2005-10-12,123.39 
2005-10-13,122.94 
2005-10-14,122.46 
2005-10-17,122.68 
2005-10-18,122.99 
2005-10-19,122.43 
2005-10-20,120.85 
2005-10-21,120.46 
2005-10-24,120.68 
2005-10-25,121.02 
2005-10-26,122.57 
2005-10-27,122.76 
2005-10-28,122.69 
2005-10-31,122.49 
2005-11-01,121.29 
2005-11-02,120.43 
2005-11-03,120.78 
2005-11-04,120.30 
2005-11-07,119.30 
2005-11-08,119.16 
2005-11-09,120.04 
2005-11-10,121.02 
2005-11-11,120.98 
2005-11-14,121.88 
2005-11-15,121.57 
2005-11-16,122.06 
2005-11-17,123.58 
2005-11-18,124.71 
2005-11-21,125.56 
2005-11-22,126.68 
2005-11-23,126.86 
2005-11-24,127.35 
2005-11-25,127.85 
2005-11-28,128.77 
2005-11-29,129.31 
2005-11-30,128.48 
2005-12-01,128.28 
2005-12-02,129.98 
2005-12-05,131.02 
2005-12-06,131.74 
2005-12-07,132.33 
2005-12-08,134.42 
2005-12-09,135.06 
2005-12-12,138.63 
2005-12-13,136.20 
2005-12-14,134.11 
2005-12-15,131.83 
2005-12-16,129.64 
2005-12-19,131.71 
2005-12-20,131.94 
2005-12-21,128.20 
2005-12-22,128.49 
2005-12-23,130.83 
2005-12-26,131.32 
2005-12-27,132.07 
2005-12-28,132.80 
2005-12-29,133.88 
2005-12-30,133.51 
2006-01-04,138.22 
2006-01-05,137.88 
2006-01-06,136.58 
2006-01-09,140.58 
2006-01-10,140.85 
2006-01-11,140.93 
2006-01-12,141.41 
2006-01-13,141.34 
2006-01-16,143.74 
2006-01-17,144.40 
2006-01-18,142.28 
2006-01-19,142.34 
2006-01-20,143.71 
2006-01-23,143.99 
2006-01-24,144.27 
2006-01-25,143.61 
2006-01-26,145.04 
2006-01-27,143.97 
2006-02-06,147.83 
2006-02-07,147.33 
2006-02-08,143.37 
2006-02-09,143.90 
2006-02-10,145.01 
2006-02-13,141.73 
2006-02-14,139.62 
2006-02-15,140.97 
2006-02-16,139.83 
2006-02-17,140.71 
2006-02-20,143.04 
2006-02-21,143.29 
2006-02-22,143.45 
2006-02-23,142.99 
2006-02-24,142.47 
2006-02-27,143.72 
2006-02-28,143.38 
2006-03-01,144.53 
2006-03-02,145.43 
2006-03-03,146.68 
2006-03-06,146.69 
2006-03-07,144.53 
2006-03-08,143.19 
2006-03-09,140.89 
2006-03-10,141.60 
2006-03-13,141.24 
2006-03-14,141.24 
2006-03-15,142.17 
2006-03-16,142.91 
2006-03-17,143.00 
2006-03-20,143.51 
2006-03-21,142.88 
2006-03-22,142.25 
2006-03-23,142.04 
2006-03-24,141.55 
2006-03-27,144.12 
2006-03-28,145.41 
2006-03-29,145.29 
2006-03-30,147.02 
2006-03-31,150.27 
2006-04-03,150.52 
2006-04-04,151.21 
2006-04-05,150.59 
2006-04-06,151.69 
2006-04-07,153.15 
2006-04-10,152.75 
2006-04-11,154.59 
2006-04-12,154.00 
2006-04-13,153.54 
2006-04-14,153.61 
2006-04-17,155.96 
2006-04-18,158.27 
2006-04-19,160.31 
2006-04-20,163.61 
2006-04-21,159.23 
2006-04-24,162.86 
2006-04-25,160.88 
2006-04-26,162.89 
2006-04-27,164.00 
2006-04-28,164.16 
2006-05-08,175.59 
2006-05-09,174.07 
2006-05-10,179.56 
2006-05-11,181.91 
2006-05-12,185.42 
2006-05-15,184.91 
2006-05-16,177.33 
2006-05-17,179.83 
2006-05-18,178.02 
2006-05-19,177.42 
2006-05-22,168.85 
2006-05-23,168.88 
2006-05-24,172.03 
2006-05-25,167.59 
2006-05-26,168.17 
2006-05-29,168.18 
2006-05-30,168.60 
2006-05-31,169.34 
2006-06-01,165.33 
2006-06-02,161.76 
2006-06-05,165.10 
2006-06-06,164.24 
2006-06-07,161.71 
2006-06-08,160.47 
2006-06-09,157.72 
2006-06-12,155.96 
2006-06-13,153.83 
2006-06-14,145.30 
2006-06-15,145.81 
2006-06-16,148.67 
2006-06-19,146.98 
2006-06-20,146.40 
2006-06-21,147.75 
