date,london spot:dollar
1968/1/2,35.18 
1968/1/3,35.16 
1968/1/4,35.14 
1968/1/5,35.14 
1968/1/8,35.14 
1968/1/9,35.14 
1968/1/10,35.15 
1968/1/11,35.17 
1968/1/12,35.18 
1968/1/15,35.18 
1968/1/16,35.19 
1968/1/17,35.20 
1968/1/18,35.20 
1968/1/19,35.19 
1968/1/22,35.19 
1968/1/23,35.19 
1968/1/24,35.20 
1968/1/25,35.20 
1968/1/26,35.20 
1968/1/29,35.19 
1968/1/30,35.19 
1968/1/31,35.20 
1968/2/1,35.20 
1968/2/2,35.20 
1968/2/5,35.19 
1968/2/6,35.19 
1968/2/7,35.20 
1968/2/8,35.19 
1968/2/9,35.20 
1968/2/12,35.19 
1968/2/13,35.19 
1968/2/14,35.20 
1968/2/15,35.20 
1968/2/16,35.20 
1968/2/19,35.20 
1968/2/20,35.20 
1968/2/21,35.20 
1968/2/22,35.20 
1968/2/23,35.20 
1968/2/26,35.20 
1968/2/27,35.20 
1968/2/28,35.20 
1968/2/29,35.20 
1968/3/1,35.20 
1968/3/4,35.20 
1968/3/5,35.20 
1968/3/6,35.20 
1968/3/7,35.20 
1968/3/8,35.20 
1968/3/11,35.20 
1968/3/12,35.20 
1968/3/13,35.20 
1968/3/14,35.20 
1968/4/1,37.70 
1968/4/2,37.30 
1968/4/3,37.60 
1968/4/4,36.95 
1968/4/5,37.00 
1968/4/8,37.05 
1968/4/9,37.50 
1968/4/10,37.70 
1968/4/11,38.00 
1968/4/16,38.00 
1968/4/17,37.80 
1968/4/18,37.55 
1968/4/19,37.65 
1968/4/22,38.00 
1968/4/23,38.40 
1968/4/24,38.25 
1968/4/25,38.30 
1968/4/26,38.65 
1968/4/29,38.75 
1968/4/30,39.10 
1968/5/1,39.20 
1968/5/2,39.45 
1968/5/3,39.10 
1968/5/6,39.75 
1968/5/7,39.30 
1968/5/8,39.75 
1968/5/9,39.70 
1968/5/10,39.60 
1968/5/13,39.50 
1968/5/14,39.80 
1968/5/15,40.25 
1968/5/16,41.25 
1968/5/17,41.50 
1968/5/20,42.30 
1968/5/21,42.40 
1968/5/22,41.55 
1968/5/23,41.40 
1968/5/24,41.75 
1968/5/27,41.50 
1968/5/28,41.50 
1968/5/29,41.60 
1968/5/30,41.95 
1968/5/31,41.95 
1968/6/4,41.15 
1968/6/5,41.20 
1968/6/6,41.20 
1968/6/7,41.25 
1968/6/10,41.30 
1968/6/11,41.55 
1968/6/12,41.90 
1968/6/13,41.30 
1968/6/14,41.00 
1968/6/17,40.70 
1968/6/18,41.10 
1968/6/19,41.40 
1968/6/20,41.10 
1968/6/21,41.05 
1968/6/24,40.90 
1968/6/25,40.95 
1968/6/26,40.85 
1968/6/27,40.90 
1968/6/28,40.90 
1968/7/1,40.80 
1968/7/2,40.90 
1968/7/3,41.05 
1968/7/4,41.15 
1968/7/5,41.00 
1968/7/8,40.85 
1968/7/9,39.80 
1968/7/10,40.10 
1968/7/11,39.10 
1968/7/12,39.30 
1968/7/15,39.20 
1968/7/16,38.50 
1968/7/17,37.75 
1968/7/18,38.00 
1968/7/19,38.70 
1968/7/22,38.60 
1968/7/23,39.00 
1968/7/24,39.20 
1968/7/25,38.90 
1968/7/26,38.90 
1968/7/29,39.10 
1968/7/30,39.00 
1968/7/31,38.85 
1968/8/1,38.90 
1968/8/2,38.85 
1968/8/5,38.95 
1968/8/6,38.70 
1968/8/7,38.70 
1968/8/8,38.45 
1968/8/9,38.55 
1968/8/12,38.60 
1968/8/13,38.90 
1968/8/14,38.95 
1968/8/15,39.15 
1968/8/16,39.15 
1968/8/19,39.15 
1968/8/20,39.55 
1968/8/21,40.00 
1968/8/22,39.75 
1968/8/23,39.50 
1968/8/26,39.50 
1968/8/27,39.65 
1968/8/28,39.60 
1968/8/29,39.85 
