date,close:Au9999
2016/4/13,259.8
2016/4/12,261.3
2016/4/11,260.97
2016/4/8,257.3
2016/4/7,255.64
2016/4/6,255.99
2016/4/5,255.45
2016/4/1,257
2016/3/31,255.7
2016/3/30,258.68
2016/3/29,255.02
2016/3/28,255.78
2016/3/25,256.05
2016/3/24,255
2016/3/23,258.25
2016/3/22,262.1
2016/3/21,259.71
2016/3/18,262.46
2016/3/17,263.86
2016/3/16,259.09
2016/3/15,257.69
2016/3/14,262.08
2016/3/11,264.97
2016/3/10,261.43
2016/3/9,263.75
2016/3/8,266.29
2016/3/7,265
2016/3/4,264.74
2016/3/3,261.47
2016/3/2,258.66
2016/3/1,261.12
2016/2/29,258.86
2016/2/26,260.41
2016/2/25,260.32
2016/2/24,256.98
2016/2/23,256.15
2016/2/22,254.86
2016/2/19,256.65
2016/2/18,253.05
2016/2/17,254
2016/2/16,251.39
2016/2/15,253.7
2016/2/5,243.94
2016/2/4,241.8
2016/2/3,238.5
2016/2/2,238.5
2016/2/1,238.09
2016/1/29,236.48
2016/1/28,236.79
2016/1/27,237.09
2016/1/26,237
2016/1/25,233.69
2016/1/22,232.5
2016/1/21,234.17
2016/1/20,232.3
2016/1/19,231.3
2016/1/18,231.7
2016/1/15,230.5
2016/1/14,231.41
2016/1/13,229.27
2016/1/12,232.51
2016/1/11,234.89
2016/1/8,233.54
2016/1/7,233.24
2016/1/6,228.09
2016/1/5,226.65
2016/1/4,224.77
2015/12/31,222.86
2015/12/30,224.45
2015/12/29,224.72
2015/12/28,224.94
2015/12/25,225.14
2015/12/24,224.73
2015/12/23,224.6
2015/12/22,225.19
2015/12/21,223.94
2015/12/18,221.4
2015/12/17,223.13
2015/12/16,222.3
2015/12/15,221.65
2015/12/14,224.06
2015/12/11,223.02
2015/12/10,222.8
2015/12/9,223.28
2015/12/8,224.89
2015/12/7,224.99
2015/12/4,219.96
2015/12/3,218.18
2015/12/2,220.54
2015/12/1,221.54
2015/11/30,218.02
2015/11/27,220.78
2015/11/26,221.85
2015/11/25,222.84
2015/11/24,221.44
2015/11/23,220.83
2015/11/20,223.1
2015/11/19,221.59
2015/11/18,220.92
2015/11/17,222.16
2015/11/16,225.5
2015/11/13,223.35
2015/11/12,223.4
2015/11/11,224.47
2015/11/10,224.24
2015/11/9,224.39
2015/11/6,227.31
2015/11/5,227.01
2015/11/4,228.74
2015/11/3,232.13
2015/11/2,233.3
2015/10/30,233.91
2015/10/29,237.3
2015/10/28,240
2015/10/27,238.45
2015/10/26,238.3
2015/10/23,240.49
2015/10/22,239.03
2015/10/21,240.31
2015/10/20,240.1
2015/10/19,239.5
2015/10/16,240.56
2015/10/15,241.4
2015/10/14,239.84
2015/10/13,236.3
2015/10/12,237.2
2015/10/9,234.77
2015/10/8,235
2015/9/30,230.5
2015/9/29,230.56
2015/9/28,233.7
2015/9/25,235.24
2015/9/24,233.84
2015/9/23,232.51
2015/9/22,233.4
2015/9/21,234
2015/9/18,231.96
2015/9/17,230.44
2015/9/16,228.02
2015/9/15,227.94
2015/9/14,227.99
2015/9/11,228.35
2015/9/10,228.09
2015/9/9,231.1
2015/9/8,230.58
2015/9/7,231
2015/9/2,234.9
2015/9/1,234.6
2015/8/31,233.75
2015/8/28,233.2
2015/8/27,233.17
2015/8/26,235.78
2015/8/25,237.86
2015/8/24,239.58
2015/8/21,238.02
2015/8/20,234.7
2015/8/19,231.79
2015/8/18,231.04
2015/8/17,230.7
2015/8/14,230.6
2015/8/13,231
2015/8/12,232.24
2015/8/11,224.99
2015/8/10,219.95
2015/8/7,218.7
2015/8/6,217.59
2015/8/5,217.61
2015/8/4,218.14
2015/8/3,219.3
2015/7/31,216.87
2015/7/30,217.51
2015/7/29,219.56
2015/7/28,219.53
2015/7/27,221.38
2015/7/24,217.19
2015/7/23,219.55
2015/7/22,218.9
2015/7/21,221.7
2015/7/20,223.52
2015/7/17,229.19
2015/7/16,229.6
2015/7/15,231.29
2015/7/14,230.8
2015/7/13,231.4
2015/7/10,232.77
2015/7/9,232.64
2015/7/8,229.13
2015/7/7,233.89
2015/7/6,233.69
2015/7/3,233.77
2015/7/2,232.73
2015/7/1,234.38
2015/6/30,234.94
2015/6/29,235.56
2015/6/26,234.98
2015/6/25,235.1
2015/6/24,235
2015/6/23,237.32
2015/6/19,239.4
2015/6/18,237.5
2015/6/17,235.6
2015/6/16,237.3
2015/6/15,236.7
2015/6/12,236.41
2015/6/11,236.49
2015/6/10,236.85
2015/6/9,235.18
2015/6/8,234.7
2015/6/5,235
2015/6/4,235.94
2015/6/3,237.52
2015/6/2,237.4
2015/6/1,236.79
2015/5/29,237.59
2015/5/28,237.25
2015/5/27,237.65
2015/5/26,239.16
2015/5/25,240.5
2015/5/22,241.74
2015/5/21,241.79
2015/5/20,241.17
2015/5/19,243.55
2015/5/18,245.37
2015/5/15,243.56
2015/5/14,242.83
2015/5/13,238.98
2015/5/12,236.9
2015/5/11,237.17
2015/5/8,237.65
2015/5/7,236.89
2015/5/6,238.78
2015/5/5,237.73
2015/5/4,236.97
2015/4/30,239.93
2015/4/29,241.49
2015/4/28,240.5
2015/4/27,236.8
2015/4/24,238.8
2015/4/23,236.99
2015/4/22,240
2015/4/21,238.57
2015/4/20,241.79
2015/4/17,240
2015/4/16,240.3
2015/4/15,238.33
2015/4/14,239.09
2015/4/13,241.34
2015/4/10,238.89
2015/4/9,238.5
2015/4/8,241.9
2015/4/7,241.41
2015/4/3,239.4
2015/4/2,240.3
2015/4/1,236.69
2015/3/31,235.55
2015/3/30,238.74
2015/3/27,240.5
2015/3/26,241.04
2015/3/25,238.19
2015/3/24,237.73
2015/3/23,236.68
2015/3/20,234.5
2015/3/19,234.49
2015/3/18,231
2015/3/17,233
2015/3/16,234.85
2015/3/13,234.64
2015/3/12,235.79
2015/3/11,235.3
2015/3/10,235.45
2015/3/9,237.4
2015/3/6,242.31
2015/3/5,243
2015/3/4,244.18
2015/3/3,245
2015/3/2,247.39
2015/2/27,244.83
2015/2/26,244.59
2015/2/25,244.52
2015/2/17,247.23
2015/2/16,248.6
2015/2/13,247.6
2015/2/12,245.9
2015/2/11,248.88
2015/2/10,250.28
2015/2/9,249.74
2015/2/6,254.93
2015/2/5,255.26
2015/2/4,254.7
2015/2/3,258.26
2015/2/2,257.94
2015/1/30,253.19
2015/1/29,257.5
2015/1/28,259.16
2015/1/27,258.39
2015/1/26,260.8
2015/1/23,259.8
2015/1/22,257.28
2015/1/21,260.29
2015/1/20,255.99
2015/1/19,255.8
2015/1/16,252
2015/1/15,245.01
2015/1/14,247.7
2015/1/13,247.38
2015/1/12,245.8
2015/1/9,242.92
2015/1/8,242.75
2015/1/7,243.14
2015/1/6,242.5
2015/1/5,240.6
2014/12/31,240.59
2014/12/30,237.42
2014/12/29,239.96
2014/12/26,238.2
2014/12/25,236.69
