,close:Au9999,m2_yoy
2016-04-13,259.8,13.4
2016-04-12,261.3,13.4
2016-04-11,260.97,13.4
2016-04-08,257.3,13.4
2016-04-07,255.64,13.4
2016-04-06,255.99,13.4
2016-04-05,255.45,13.4
2016-04-01,257.0,13.4
2016-03-31,255.7,13.4
2016-03-30,258.68,13.4
2016-03-29,255.02,13.4
2016-03-28,255.78,13.4
2016-03-25,256.05,13.4
2016-03-24,255.0,13.4
2016-03-23,258.25,13.4
2016-03-22,262.1,13.4
2016-03-21,259.71,13.4
2016-03-18,262.46,13.4
2016-03-17,263.86,13.4
2016-03-16,259.09,13.4
2016-03-15,257.69,13.4
2016-03-14,262.08,13.4
2016-03-11,264.97,13.4
2016-03-10,261.43,13.4
2016-03-09,263.75,13.4
2016-03-08,266.29,13.4
2016-03-07,265.0,13.4
2016-03-04,264.74,13.4
2016-03-03,261.47,13.4
2016-03-02,258.66,13.4
2016-03-01,261.12,13.4
2016-02-29,258.86,13.3
2016-02-26,260.41,13.3
2016-02-25,260.32,13.3
2016-02-24,256.98,13.3
2016-02-23,256.15,13.3
2016-02-22,254.86,13.3
2016-02-19,256.65,13.3
2016-02-18,253.05,13.3
2016-02-17,254.0,13.3
2016-02-16,251.39,13.3
2016-02-15,253.7,13.3
2016-02-05,243.94,13.3
2016-02-04,241.8,13.3
2016-02-03,238.5,13.3
2016-02-02,238.5,13.3
2016-02-01,238.09,13.3
2016-01-29,236.48,14.0
2016-01-28,236.79,14.0
2016-01-27,237.09,14.0
2016-01-26,237.0,14.0
2016-01-25,233.69,14.0
2016-01-22,232.5,14.0
2016-01-21,234.17,14.0
2016-01-20,232.3,14.0
2016-01-19,231.3,14.0
2016-01-18,231.7,14.0
2016-01-15,230.5,14.0
2016-01-14,231.41,14.0
2016-01-13,229.27,14.0
2016-01-12,232.51,14.0
2016-01-11,234.89,14.0
2016-01-08,233.54,14.0
2016-01-07,233.24,14.0
2016-01-06,228.09,14.0
2016-01-05,226.65,14.0
2016-01-04,224.77,14.0
2015-12-31,222.86,13.3
2015-12-30,224.45,13.3
2015-12-29,224.72,13.3
2015-12-28,224.94,13.3
2015-12-25,225.14,13.3
2015-12-24,224.73,13.3
2015-12-23,224.6,13.3
2015-12-22,225.19,13.3
2015-12-21,223.94,13.3
2015-12-18,221.4,13.3
2015-12-17,223.13,13.3
2015-12-16,222.3,13.3
2015-12-15,221.65,13.3
2015-12-14,224.06,13.3
2015-12-11,223.02,13.3
2015-12-10,222.8,13.3
2015-12-09,223.28,13.3
2015-12-08,224.89,13.3
2015-12-07,224.99,13.3
2015-12-04,219.96,13.3
2015-12-03,218.18,13.3
2015-12-02,220.54,13.3
2015-12-01,221.54,13.3
2015-11-30,218.02,13.7
2015-11-27,220.78,13.7
2015-11-26,221.85,13.7
2015-11-25,222.84,13.7
2015-11-24,221.44,13.7
2015-11-23,220.83,13.7
2015-11-20,223.1,13.7
2015-11-19,221.59,13.7
2015-11-18,220.92,13.7
2015-11-17,222.16,13.7
2015-11-16,225.5,13.7
2015-11-13,223.35,13.7
2015-11-12,223.4,13.7
2015-11-11,224.47,13.7
2015-11-10,224.24,13.7
2015-11-09,224.39,13.7
2015-11-06,227.31,13.7
2015-11-05,227.01,13.7
2015-11-04,228.74,13.7
2015-11-03,232.13,13.7
2015-11-02,233.3,13.7
2015-10-30,233.91,13.5
2015-10-29,237.3,13.5
2015-10-28,240.0,13.5
2015-10-27,238.45,13.5
2015-10-26,238.3,13.5
2015-10-23,240.49,13.5
2015-10-22,239.03,13.5
2015-10-21,240.31,13.5
2015-10-20,240.1,13.5
2015-10-19,239.5,13.5
2015-10-16,240.56,13.5
2015-10-15,241.4,13.5
2015-10-14,239.84,13.5
2015-10-13,236.3,13.5
2015-10-12,237.2,13.5
2015-10-09,234.77,13.5
2015-10-08,235.0,13.5
2015-09-30,230.5,13.1
2015-09-29,230.56,13.1
2015-09-28,233.7,13.1
2015-09-25,235.24,13.1
2015-09-24,233.84,13.1
2015-09-23,232.51,13.1
2015-09-22,233.4,13.1
2015-09-21,234.0,13.1
2015-09-18,231.96,13.1
2015-09-17,230.44,13.1
2015-09-16,228.02,13.1
2015-09-15,227.94,13.1
2015-09-14,227.99,13.1
2015-09-11,228.35,13.1
2015-09-10,228.09,13.1
2015-09-09,231.1,13.1
2015-09-08,230.58,13.1
2015-09-07,231.0,13.1
2015-09-02,234.9,13.1
2015-09-01,234.6,13.1
2015-08-31,233.75,13.3
2015-08-28,233.2,13.3
2015-08-27,233.17,13.3
2015-08-26,235.78,13.3
2015-08-25,237.86,13.3
2015-08-24,239.58,13.3
2015-08-21,238.02,13.3
2015-08-20,234.7,13.3
2015-08-19,231.79,13.3
2015-08-18,231.04,13.3
2015-08-17,230.7,13.3
2015-08-14,230.6,13.3
2015-08-13,231.0,13.3
2015-08-12,232.24,13.3
2015-08-11,224.99,13.3
2015-08-10,219.95,13.3
2015-08-07,218.7,13.3
2015-08-06,217.59,13.3
2015-08-05,217.61,13.3
2015-08-04,218.14,13.3
2015-08-03,219.3,13.3
2015-07-31,216.87,13.3
2015-07-30,217.51,13.3
2015-07-29,219.56,13.3
2015-07-28,219.53,13.3
2015-07-27,221.38,13.3
2015-07-24,217.19,13.3
2015-07-23,219.55,13.3
2015-07-22,218.9,13.3
2015-07-21,221.7,13.3
2015-07-20,223.52,13.3
2015-07-17,229.19,13.3
2015-07-16,229.6,13.3
2015-07-15,231.29,13.3
2015-07-14,230.8,13.3
2015-07-13,231.4,13.3
2015-07-10,232.77,13.3
2015-07-09,232.64,13.3
2015-07-08,229.13,13.3
2015-07-07,233.89,13.3
2015-07-06,233.69,13.3
2015-07-03,233.77,13.3
2015-07-02,232.73,13.3
2015-07-01,234.38,13.3
2015-06-30,234.94,11.8
2015-06-29,235.56,11.8
2015-06-26,234.98,11.8
2015-06-25,235.1,11.8
2015-06-24,235.0,11.8
2015-06-23,237.32,11.8
2015-06-19,239.4,11.8
2015-06-18,237.5,11.8
2015-06-17,235.6,11.8
2015-06-16,237.3,11.8
2015-06-15,236.7,11.8
2015-06-12,236.41,11.8
2015-06-11,236.49,11.8
2015-06-10,236.85,11.8
2015-06-09,235.18,11.8
2015-06-08,234.7,11.8
2015-06-05,235.0,11.8
2015-06-04,235.94,11.8
2015-06-03,237.52,11.8
2015-06-02,237.4,11.8
2015-06-01,236.79,11.8
2015-05-29,237.59,10.8
2015-05-28,237.25,10.8
2015-05-27,237.65,10.8
2015-05-26,239.16,10.8
2015-05-25,240.5,10.8
2015-05-22,241.74,10.8
2015-05-21,241.79,10.8
2015-05-20,241.17,10.8
2015-05-19,243.55,10.8
2015-05-18,245.37,10.8
2015-05-15,243.56,10.8
2015-05-14,242.83,10.8
2015-05-13,238.98,10.8
2015-05-12,236.9,10.8
2015-05-11,237.17,10.8
2015-05-08,237.65,10.8
2015-05-07,236.89,10.8
2015-05-06,238.78,10.8
2015-05-05,237.73,10.8
2015-05-04,236.97,10.8
2015-04-30,239.93,10.1
2015-04-29,241.49,10.1
2015-04-28,240.5,10.1
2015-04-27,236.8,10.1
2015-04-24,238.8,10.1
2015-04-23,236.99,10.1
2015-04-22,240.0,10.1
2015-04-21,238.57,10.1
2015-04-20,241.79,10.1
2015-04-17,240.0,10.1
2015-04-16,240.3,10.1
2015-04-15,238.33,10.1
2015-04-14,239.09,10.1
2015-04-13,241.34,10.1
2015-04-10,238.89,10.1
2015-04-09,238.5,10.1
2015-04-08,241.9,10.1
2015-04-07,241.41,10.1
2015-04-03,239.4,10.1
2015-04-02,240.3,10.1
2015-04-01,236.69,10.1
2015-03-31,235.55,11.6
2015-03-30,238.74,11.6
2015-03-27,240.5,11.6
2015-03-26,241.04,11.6
2015-03-25,238.19,11.6
2015-03-24,237.73,11.6
2015-03-23,236.68,11.6
2015-03-20,234.5,11.6
2015-03-19,234.49,11.6
2015-03-18,231.0,11.6
2015-03-17,233.0,11.6
2015-03-16,234.85,11.6
2015-03-13,234.64,11.6
2015-03-12,235.79,11.6
2015-03-11,235.3,11.6
2015-03-10,235.45,11.6
2015-03-09,237.4,11.6
2015-03-06,242.31,11.6
2015-03-05,243.0,11.6
2015-03-04,244.18,11.6
2015-03-03,245.0,11.6
2015-03-02,247.39,11.6
2015-02-27,244.83,12.5
2015-02-26,244.59,12.5
2015-02-25,244.52,12.5
2015-02-17,247.23,12.5
2015-02-16,248.6,12.5
2015-02-13,247.6,12.5
2015-02-12,245.9,12.5
2015-02-11,248.88,12.5
2015-02-10,250.28,12.5
2015-02-09,249.74,12.5
2015-02-06,254.93,12.5
2015-02-05,255.26,12.5
2015-02-04,254.7,12.5
2015-02-03,258.26,12.5
2015-02-02,257.94,12.5
2015-01-30,253.19,10.8
2015-01-29,257.5,10.8
2015-01-28,259.16,10.8
2015-01-27,258.39,10.8
2015-01-26,260.8,10.8
2015-01-23,259.8,10.8
2015-01-22,257.28,10.8
2015-01-21,260.29,10.8
2015-01-20,255.99,10.8
2015-01-19,255.8,10.8
2015-01-16,252.0,10.8
2015-01-15,245.01,10.8
2015-01-14,247.7,10.8
2015-01-13,247.38,10.8
2015-01-12,245.8,10.8
2015-01-09,242.92,10.8
2015-01-08,242.75,10.8
2015-01-07,243.14,10.8
2015-01-06,242.5,10.8
2015-01-05,240.6,10.8
2014-12-31,240.59,12.2
2014-12-30,237.42,12.2
2014-12-29,239.96,12.2
2014-12-26,238.2,12.2
2014-12-25,236.69,12.2
2014-12-24,236.57,12.2
2014-12-23,236.95,12.2
2014-12-22,240.25,12.2
2014-12-19,240.93,12.2
2014-12-18,240.35,12.2
2014-12-17,239.3,12.2
2014-12-16,239.09,12.2
2014-12-15,243.1,12.2
2014-12-12,242.9,12.2
2014-12-11,243.17,12.2
2014-12-10,246.15,12.2
2014-12-09,240.38,12.2
2014-12-08,236.99,12.2
2014-12-05,239.0,12.2
2014-12-04,238.0,12.2
2014-12-03,237.65,12.2
2014-12-02,238.86,12.2
2014-12-01,228.84,12.2
2014-11-28,235.5,12.3
2014-11-27,236.42,12.3
2014-11-26,237.39,12.3
2014-11-25,237.0,12.3
2014-11-24,237.15,12.3
2014-11-21,235.41,12.3
2014-11-20,233.8,12.3
2014-11-19,235.2,12.3
2014-11-18,234.4,12.3
2014-11-17,234.57,12.3
2014-11-14,227.2,12.3
2014-11-13,228.89,12.3
2014-11-12,230.39,12.3
2014-11-11,227.79,12.3
2014-11-10,230.71,12.3
2014-11-07,225.3,12.3
2014-11-06,225.38,12.3
2014-11-05,225.9,12.3
2014-11-04,229.5,12.3
2014-11-03,230.93,12.3
2014-10-31,230.44,12.6
2014-10-30,237.41,12.6
