      date,    open,    high,    low,    close,         vol,  ma5  ,  ma10  ,  ma20   ,   ma60  ,ma5-ma20
 2004/04/06,1117.89,1124.02,1106.6,1123.86,5545980,1120.38,1114.84,1116.71,1101.4,0.328643963
 2004/04/07,1124.25,1125.63,1116.13,1117.72,4669148,1122.22,1115.06,1118.05,1103.17,0.372970797
 2004/04/08,1117.12,1118.47,1109.78,1112.84,5758736,1120.1,1114.82,1118.91,1104.04,0.106353505
 2004/04/09,1113.72,1119.15,1083.33,1088.16,6921966,1112.17,1112.36,1118.36,1104.25,-0.553489038
 2004/04/12,1082.45,1087.48,1071.12,1080.08,5021174,1104.53,1110.2,1115.78,1104.15,-1.008263278
 2004/04/13,1081.05,1087.32,1070.84,1072.73,4958853,1094.31,1107.35,1112.64,1103.65,-1.647433132
 2004/04/14,1072.2,1074.63,1052.92,1065.68,4838037,1083.9,1103.06,1109.17,1103.38,-2.278280155
 2004/04/15,1066.18,1072.24,1053.08,1055.89,3601203,1072.51,1096.3,1106.37,1102.36,-3.060458978
 2004/04/16,1056.8,1071.55,1049.03,1071.23,4437637,1069.12,1090.65,1103.44,1101.84,-3.110273327
 2004/04/19,1072.5,1073.4,1052.5,1054.74,4078683,1064.05,1084.29,1099.44,1101.43,-3.218911446
 2004/04/20,1053.44,1059.42,1045.2,1052.24,3393887,1059.95,1077.13,1095.98,1101.07,-3.287468749
 2004/04/21,1053.38,1061.65,1040.37,1043.53,4492804,1055.53,1069.71,1092.39,1100.4,-3.374252785
 2004/04/22,1042.47,1055.21,1039.35,1050.76,4135646,1054.5,1063.5,1089.16,1099.57,-3.182268904
 2004/04/23,1048.23,1048.27,1032.87,1034.41,3236349,1047.14,1058.13,1085.24,1099.01,-3.510744167
 2004/04/26,1034.04,1041.59,1030.06,1039,2507985,1043.99,1054.02,1082.11,1098.14,-3.522747225
 2004/04/27,1040.92,1045.24,1027.56,1031.22,3599316,1039.78,1049.87,1078.61,1096.94,-3.600003708
 2004/04/28,1028.46,1034.91,1015.87,1029.81,3733428,1037.04,1046.28,1074.67,1095.3,-3.501540008
 2004/04/29,1028.58,1037.75,1015.5,1016.51,4811469,1030.19,1042.35,1069.32,1093.44,-3.659334904
 2004/04/30,1017.64,1029.62,1011.21,1025.95,4781896,1028.5,1037.82,1064.23,1091.84,-3.357356962
 2004/05/10,1028.46,1031.02,993.64,996.16,2797285,1019.93,1031.96,1058.13,1089.53,-3.610142421
 2004/05/11,994.05,1006.17,989.31,1003.9,2133185,1014.47,1027.13,1052.13,1087.58,-3.579405587
 2004/05/12,1004.8,1025.41,1001.97,1025.02,3201941,1013.51,1025.27,1047.49,1086.16,-3.24394505
