date,open,high,low,close,vol,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,VOL-TDX.VVOL  ,VOL-TDX.      ,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1990/12/19,96.05,99.98,95.79,99.98,1260,           ,           ,           ,           ,           ,0,1260,           ,           ,0,0,0
 1990/12/20,104.3,104.39,99.98,104.39,197,           ,           ,           ,           ,           ,0,197,           ,           ,0.35,0.07,0.56
 1990/12/21,109.07,109.13,103.73,109.13,28,           ,           ,           ,           ,           ,0,28,           ,           ,1,0.26,1.49
 1990/12/24,113.57,114.55,109.13,114.55,32,           ,           ,           ,           ,           ,0,32,           ,           ,1.93,0.59,2.68
 1990/12/25,120.09,120.25,114.55,120.25,15,109.66,           ,           ,           ,           ,0,15,306.4,           ,3.09,1.09,4
 1990/12/26,125.27,125.27,120.25,125.27,100,114.72,           ,           ,           ,           ,0,100,74.4,           ,4.37,1.75,5.24
 1990/12/27,125.27,125.28,125.27,125.28,66,118.9,           ,           ,           ,           ,0,66,48.2,           ,5.32,2.46,5.71
 1990/12/28,126.39,126.45,125.28,126.45,108,122.36,           ,           ,           ,           ,0,108,64.2,           ,6.09,3.19,5.81
 1990/12/31,126.56,127.61,126.48,127.61,78,124.97,           ,           ,           ,           ,0,78,73.4,           ,6.73,3.9,5.66
 1991/01/02,127.61,128.84,127.61,128.84,91,126.69,118.18,           ,           ,           ,0,91,88.6,197.5,7.24,4.57,5.36
 1991/01/03,128.84,130.14,128.84,130.14,141,127.66,121.19,           ,           ,           ,0,141,96.8,85.6,7.67,5.19,4.97
 1991/01/04,131.27,131.44,130.14,131.44,420,128.9,123.9,           ,           ,           ,0,420,167.6,107.9,8.02,5.75,4.53
 1991/01/07,131.99,132.06,131.45,132.06,217,130.02,126.19,           ,           ,           ,0,217,189.4,126.8,8.25,6.25,4
 1991/01/08,132.62,132.68,132.06,132.68,2926,131.03,128,           ,           ,           ,0,2926,759,416.2,8.39,6.68,3.42
 1991/01/09,133.3,133.34,132.68,133.34,5603,131.93,129.31,           ,           ,           ,0,5603,1861.4,975,8.45,7.03,2.84
 1991/01/10,133.93,133.97,133.34,133.97,9990,132.7,130.18,           ,           ,           ,0,9990,3831.2,1964,8.46,7.32,2.28
 1991/01/11,134.61,134.61,134.51,134.6,13327,133.33,131.11,           ,           ,           ,0,13327,6412.6,3290.1,8.42,7.54,1.75
 1991/01/14,134.11,135.19,134.11,134.67,12530,133.85,131.93,           ,           ,           ,0,12530,8875.2,4532.3,8.29,7.69,1.21
 1991/01/15,134.21,134.74,134.19,134.74,1446,134.26,132.65,           ,           ,           ,0,1446,8579.2,4669.1,8.11,7.77,0.67
 1991/01/16,134.19,134.74,134.14,134.24,509,134.44,133.19,125.68,           ,           ,0,509,7560.4,4710.9,7.83,7.78,0.09
 1991/01/17,133.67,134.25,133.65,134.25,658,134.5,133.6,127.39,           ,           ,0,658,5694,4762.6,7.52,7.73,-0.42
 1991/01/18,133.7,134.25,133.67,134.24,3004,134.43,133.88,128.89,           ,           ,0,3004,3629.4,5021,7.2,7.62,-0.86
 1991/01/21,133.7,134.24,133.66,134.24,2051,134.34,134.1,130.14,           ,           ,0,2051,1533.6,5204.4,6.86,7.47,-1.23
 1991/01/22,133.72,134.24,133.66,133.72,354,134.14,134.2,131.1,           ,           ,0,354,1315.2,4947.2,6.47,7.27,-1.6
 1991/01/23,133.17,133.72,133.14,133.17,1095,133.92,134.18,131.75,           ,           ,0,1095,1432.4,4496.4,6.06,7.03,-1.95
 1991/01/24,132.61,133.17,132.57,132.61,1857,133.6,134.05,132.11,           ,           ,0,1857,1672.2,3683.1,5.61,6.75,-2.26
 1991/01/25,132.05,132.07,132.03,132.05,3447,133.16,133.79,132.45,           ,           ,0,3447,1760.8,2695.1,5.16,6.43,-2.54
 1991/01/28,131.46,131.55,131.46,131.46,5107,132.6,133.47,132.7,           ,           ,0,5107,2372,1952.8,4.7,6.08,-2.77
 1991/01/29,130.95,130.97,130.95,130.95,1387,132.05,133.09,132.87,           ,           ,0,1387,2578.6,1946.9,4.24,5.71,-2.95
 1991/01/30,130.44,130.95,130.41,130.44,527,131.5,132.71,132.95,           ,           ,0,527,2465,1948.7,3.79,5.33,-3.07
 1991/01/31,129.93,130.46,129.93,129.97,510,130.97,132.29,132.94,           ,           ,0,510,2195.6,1933.9,3.36,4.94,-3.15
 1991/02/01,129.5,129.97,129.45,129.51,345,130.47,131.81,132.85,           ,           ,0,345,1575.2,1668,2.95,4.54,-3.18
 1991/02/04,129.05,129.58,129.05,129.05,553,129.98,131.29,132.7,           ,           ,0,553,664.4,1518.2,2.56,4.14,-3.17
 1991/02/05,128.56,128.58,128.53,128.58,8562,129.51,130.78,132.49,           ,           ,0,8562,2099.4,2339,2.18,3.75,-3.14
 1991/02/06,129.13,129.15,128.06,129.14,6641,129.25,130.38,132.28,           ,           ,0,6641,3322.2,2893.6,1.91,3.38,-2.95
 1991/02/07,129.74,129.79,129.14,129.79,2133,129.21,130.09,132.07,           ,           ,0,2133,3646.8,2921.2,1.72,3.05,-2.65
 1991/02/08,130.36,130.39,129.79,130.38,1234,129.39,129.93,131.86,           ,           ,0,1234,3824.6,2699.9,1.61,2.76,-2.31
 1991/02/11,130.92,130.97,130.39,130.97,9317,129.77,129.88,131.68,           ,           ,0,9317,5577.4,3120.9,1.54,2.52,-1.95
 1991/02/12,131.54,131.56,130.97,131.35,3774,130.33,129.92,131.51,           ,           ,0,3774,4619.8,3359.6,1.51,2.32,-1.62
 1991/02/13,131.93,131.93,131.35,131.92,1152,130.88,130.07,131.39,           ,           ,0,1152,3522,3422.1,1.51,2.15,-1.29
 1991/02/14,132.53,132.53,132.3,132.53,3624,131.43,130.32,131.3,           ,           ,0,3624,3820.2,3733.5,1.54,2.03,-0.99
 1991/02/19,133.12,133.14,133.08,133.13,1748,131.98,130.68,131.25,           ,           ,0,1748,3923,3873.8,1.59,1.94,-0.7
 1991/02/20,133.63,133.67,133.13,133.67,876,132.52,131.15,131.22,           ,           ,0,876,2234.8,3906.1,1.66,1.89,-0.45
 1991/02/21,134.24,134.28,133.67,134.28,3220,133.11,131.72,131.25,           ,           ,0,3220,2124,3371.9,1.74,1.86,-0.23
 1991/02/22,134.85,134.87,134.28,134.87,3427,133.7,132.29,131.33,           ,           ,0,3427,2579,3050.5,1.84,1.85,-0.04
 1991/02/25,134.37,134.87,134.33,134.4,810,134.07,132.75,131.42,           ,           ,0,810,2016.2,2918.2,1.85,1.85,-0.01
