      date,    open,    high,    low,    close,         ³É½»Á¿,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1985/02/28,1281.14,1284.01,1277.61,1284,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1985/03/01,1284.01,1305.87,1283.57,1299.35,0,           ,           ,           ,           ,0,           ,           ,1.22,0.24,1.96
 1985/03/04,1299.25,1301.68,1285.67,1289.53,0,           ,           ,           ,           ,0,           ,           ,1.39,0.47,1.83
 1985/03/05,1289.53,1295.05,1285.11,1291.84,0,           ,           ,           ,           ,0,           ,           ,1.68,0.71,1.93
 1985/03/06,1291.85,1292.96,1275.93,1280.36,0,1289.02,           ,           ,           ,0,0,           ,0.98,0.77,0.42
 1985/03/07,1280.37,1280.37,1270.54,1271.53,0,1286.52,           ,           ,           ,0,0,           ,-0.29,0.56,-1.69
 1985/03/08,1272.2,1276.72,1268.33,1269.65,0,1280.58,           ,           ,           ,0,0,           ,-1.43,0.16,-3.17
 1985/03/11,1269.55,1272.97,1263.91,1268.55,0,1276.39,           ,           ,           ,0,0,           ,-2.39,-0.35,-4.08
 1985/03/12,1268.22,1275.95,1266.12,1271.75,0,1272.37,           ,           ,           ,0,0,           ,-2.86,-0.85,-4.02
 1985/03/13,1271.86,1275.73,1260.93,1261.7,0,1268.64,1278.83,           ,           ,0,0,0,-4,-1.48,-5.04
 1985/03/14,1261.71,1266.34,1258.61,1260.04,0,1266.34,1276.43,           ,           ,0,0,0,-4.98,-2.18,-5.6
 1985/03/15,1260.93,1262.59,1251,1251.1,0,1262.63,1271.6,           ,           ,0,0,0,-6.41,-3.03,-6.76
 1985/03/18,1251.1,1256.63,1246.8,1249.66,0,1258.85,1267.62,           ,           ,0,0,0,-7.56,-3.94,-7.26
 1985/03/19,1249.23,1271.08,1248.79,1271.08,0,1258.72,1265.54,           ,           ,0,0,0,-6.68,-4.48,-4.39
 1985/03/20,1270.54,1271.86,1262.59,1265.23,0,1259.42,1264.03,           ,           ,0,0,0,-6.37,-4.86,-3.02
 1985/03/21,1265.24,1273.52,1263.25,1268.21,0,1261.06,1263.7,           ,           ,0,0,0,-5.82,-5.05,-1.54
 1985/03/22,1268.22,1273.19,1264.47,1267.44,0,1264.32,1263.48,           ,           ,0,0,0,-5.39,-5.12,-0.53
 1985/03/25,1267.45,1267.67,1258.72,1259.93,0,1266.38,1262.61,           ,           ,0,0,0,-5.58,-5.21,-0.74
 1985/03/26,1259.94,1263.8,1255.96,1259.71,0,1264.1,1261.41,           ,           ,0,0,0,-5.69,-5.31,-0.77
 1985/03/27,1259.72,1267.45,1259.05,1264.9,0,1264.04,1261.73,1270.28,           ,0,0,0,-5.3,-5.31,0.02
 1985/03/28,1264.91,1271.31,1259.72,1260.71,0,1262.54,1261.8,1269.11,           ,0,0,0,-5.26,-5.3,0.07
 1985/03/29,1260.71,1266.9,1259.17,1266.78,0,1262.41,1263.36,1267.48,           ,0,0,0,-4.69,-5.18,0.97
 1985/04/01,1267.01,1272.75,1264.24,1272.74,0,1264.97,1265.67,1266.65,           ,0,0,0,-3.71,-4.88,2.34
 1985/04/02,1272.75,1277.27,1263.69,1265.67,0,1266.16,1265.13,1265.34,           ,0,0,0,-3.47,-4.6,2.26
 1985/04/03,1265.68,1265.68,1253.98,1258.06,0,1264.79,1264.42,1264.22,           ,0,0,0,-3.85,-4.45,1.21
 1985/04/04,1258.06,1260.05,1252.87,1259.05,0,1264.46,1263.5,1263.6,           ,0,0,0,-4.02,-4.36,0.69
 1985/04/08,1259.28,1262.48,1250.66,1252.88,0,1261.68,1262.04,1262.76,           ,0,0,0,-4.6,-4.41,-0.38
 1985/04/09,1252.98,1258.17,1251.21,1253.86,0,1257.9,1261.44,1262.02,           ,0,0,0,-4.92,-4.51,-0.82
 1985/04/10,1253.75,1264.47,1253.75,1259.93,0,1256.76,1261.46,1261.43,           ,0,0,0,-4.64,-4.54,-0.2
 1985/04/11,1259.94,1269.55,1259.94,1263.69,0,1257.88,1261.34,1261.53,           ,0,0,0,-4.06,-4.44,0.76
 1985/04/12,1263.58,1265.67,1261.71,1265.67,0,1259.21,1261.83,1261.82,           ,0,0,0,-3.41,-4.24,1.66
 1985/04/15,1265.68,1268.44,1262.59,1266.78,0,1261.99,1261.83,1262.6,           ,0,0,0,-2.76,-3.94,2.35
 1985/04/16,1266.67,1273.3,1260.05,1269.54,0,1265.12,1261.51,1263.59,           ,0,0,0,-2.01,-3.56,3.09
 1985/04/17,1269.43,1274.4,1267.23,1272.3,0,1267.6,1262.18,1263.65,           ,0,0,0,-1.18,-3.08,3.81
 1985/04/18,1272.42,1278.82,1263.91,1265.12,0,1267.88,1262.88,1263.65,           ,0,0,0,-1.08,-2.68,3.2
 1985/04/19,1265.02,1268.88,1262.48,1266.56,0,1268.06,1263.63,1263.57,           ,0,0,0,-0.88,-2.32,2.88
 1985/04/22,1266.45,1269.1,1261.71,1266.56,0,1268.02,1265,1263.52,           ,0,0,0,-0.71,-2,2.57
 1985/04/23,1266.45,1280.26,1264.36,1278.7,0,1269.85,1267.49,1264.46,           ,0,0,0,0.39,-1.52,3.83
 1985/04/24,1278.6,1280.81,1273.52,1278.48,0,1271.08,1269.34,1265.4,           ,0,0,0,1.24,-0.97,4.42
 1985/04/25,1278.38,1285.34,1275.73,1284.78,0,1275.02,1271.45,1266.39,           ,0,0,0,2.39,-0.3,5.37
 1985/04/26,1284.89,1287.1,1275.07,1275.17,0,1276.74,1272.4,1267.12,           ,0,0,0,2.5,0.26,4.47
 1985/04/29,1274.96,1274.96,1259.28,1259.71,0,1275.37,1271.69,1266.76,           ,0,0,0,1.32,0.47,1.69
 1985/04/30,1259.72,1260.16,1250.11,1258.05,0,1271.24,1270.54,1266.03,           ,0,0,0,0.25,0.43,-0.36
 1985/05/01,1257.95,1258.5,1241.94,1242.04,0,1263.95,1267.52,1264.85,           ,0,0,0,-1.87,-0.03,-3.67
 1985/05/02,1242.05,1245.8,1240.72,1242.26,0,1255.45,1265.23,1264.06,           ,0,0,0,-3.49,-0.72,-5.53
 1985/05/03,1242.49,1250.88,1242.16,1247.23,0,1249.86,1263.3,1263.47,           ,0,0,0,-4.32,-1.44,-5.76
 1985/05/06,1247.35,1251.66,1245.14,1247.78,0,1247.47,1261.42,1263.21,           ,0,0,0,-4.88,-2.13,-5.5
 1985/05/07,1248.01,1258.06,1247.68,1252.75,0,1246.41,1258.82,1263.16,           ,0,0,0,-4.87,-2.68,-4.38
 1985/05/08,1252.76,1252.76,1246.02,1249.77,0,1247.96,1255.95,1262.65,           ,0,0,0,-5.04,-3.15,-3.78
 1985/05/09,1249.67,1261.37,1249.34,1260.26,0,1251.56,1253.5,1262.48,           ,0,0,0,-4.28,-3.38,-1.81
 1985/05/10,1260.27,1277.39,1260.27,1274.17,0,1256.95,1253.4,1262.9,           ,0,0,0,-2.53,-3.21,1.36
 1985/05/13,1274.07,1277.5,1272.42,1277.49,0,1262.89,1255.18,1263.44,           ,0,0,0,-0.86,-2.74,3.76
 1985/05/14,1277.39,1283.35,1271.75,1273.29,0,1267,1256.7,1263.62,           ,0,0,0,0.12,-2.16,4.57
 1985/05/15,1272.97,1283.02,1271.31,1273.51,0,1271.74,1259.85,1263.68,           ,0,0,0,0.91,-1.55,4.92
 1985/05/16,1273.63,1281.25,1273.63,1278.04,0,1275.3,1263.43,1264.33,           ,0,0,0,1.87,-0.86,5.48
 1985/05/17,1277.16,1292.4,1276.06,1285.33,0,1277.53,1267.24,1265.27,           ,0,0,0,3.19,-0.05,6.49
 1985/05/20,1294.68,1306.43,1292.22,1304.88,0,1283.01,1272.95,1267.18,           ,0,0,0,5.75,1.11,9.28
 1985/05/21,1304.88,1312.61,1301.75,1309.69,0,1290.29,1278.64,1268.73,           ,0,0,0,8.07,2.5,11.14
 1985/05/22,1309.59,1309.59,1297.38,1303.76,0,1296.34,1284.04,1270,           ,0,0,0,9.32,3.86,10.91
 1985/05/23,1303.76,1303.88,1296.15,1296.7,0,1300.07,1287.69,1270.59,1269.09,0,0,0,9.63,5.02,9.23
 1985/05/24,1296.71,1302.08,1294.8,1301.96,0,1303.4,1290.46,1271.93,1269.39,0,0,0,10.19,6.05,8.27
 1985/05/28,1302.08,1309.14,1296.48,1301.51,0,1302.72,1292.87,1274.02,1269.42,0,0,0,10.47,6.93,7.07
 1985/05/29,1301.64,1303.2,1296.26,1302.97,0,1301.38,1295.84,1276.27,1269.65,0,0,0,10.69,7.68,6
 1985/05/30,1302.98,1307.01,1299.06,1305.77,0,1301.78,1299.06,1279.46,1269.88,0,0,0,10.96,8.34,5.24
 1985/05/31,1305.67,1316.87,1302.87,1315.41,0,1305.53,1302.8,1283.11,1270.46,0,0,0,11.82,9.03,5.56
 1985/06/03,1315.19,1320.9,1307.68,1310.92,0,1307.32,1305.36,1286.3,1271.12,0,0,0,12,9.63,4.74
 1985/06/04,1310.82,1317.65,1307.35,1315.29,0,1310.07,1306.4,1289.67,1271.88,0,0,0,12.35,10.17,4.35
 1985/06/05,1315.3,1324.82,1315.3,1320.56,0,1313.59,1307.48,1293.06,1272.75,0,0,0,12.9,10.72,4.37
 1985/06/06,1320.56,1327.28,1314.29,1327.28,0,1317.89,1309.84,1296.94,1273.67,0,0,0,13.73,11.32,4.82
 1985/06/07,1326.95,1329.75,1315.86,1316.41,0,1318.09,1311.81,1299.75,1274.59,0,0,0,13.35,11.73,3.25
 1985/06/10,1316.42,1318.43,1312.16,1318.43,0,1319.59,1313.46,1301.96,1275.56,0,0,0,13.06,11.99,2.14
 1985/06/11,1318.32,1319.33,1312.72,1313.84,0,1319.3,1314.69,1303.78,1276.6,0,0,0,12.32,12.06,0.53
 1985/06/12,1313.96,1314.07,1305.44,1306.33,0,1316.46,1315.02,1305.43,1277.55,0,0,0,11,11.85,-1.69
 1985/06/13,1306.23,1306.23,1288.42,1290.09,0,1309.02,1313.46,1306.26,1277.87,0,0,0,8.55,11.19,-5.28
 1985/06/14,1290.1,1300.96,1290.1,1300.96,0,1305.93,1312.01,1307.4,1278.46,0,0,0,7.4,10.43,-6.07
 1985/06/17,1300.96,1300.96,1292.79,1298.38,0,1301.92,1310.76,1308.06,1278.96,0,0,0,6.2,9.58,-6.76
 1985/06/18,1298.28,1307.12,1298.05,1304.76,0,1300.1,1309.7,1308.05,1279.59,0,0,0,5.71,8.81,-6.21
 1985/06/19,1305,1309.25,1297.37,1297.37,0,1298.31,1307.39,1307.43,1280.21,0,0,0,4.66,7.98,-6.63
 1985/06/20,1297.38,1299.73,1291.55,1299.73,0,1300.24,1304.63,1307.23,1280.88,0,0,0,3.98,7.18,-6.4
 1985/06/21,1299.73,1324.48,1296.71,1324.48,0,1304.94,1305.44,1308.62,1281.87,0,0,0,5.37,6.82,-2.89
 1985/06/24,1324.15,1324.15,1311.6,1320.56,0,1309.38,1305.65,1309.55,1282.87,0,0,0,6.09,6.67,-1.16
 1985/06/25,1320.56,1333.89,1320.23,1323.02,0,1313.03,1306.57,1310.63,1283.8,0,0,0,6.78,6.69,0.17
 1985/06/26,1323.03,1325.27,1318.44,1323.81,0,1318.32,1308.32,1311.67,1284.66,0,0,0,7.31,6.82,0.98
 1985/06/27,1324.82,1334.57,1324.82,1332.21,0,1324.82,1312.53,1312.99,1285.76,0,0,0,8.31,7.12,2.38
 1985/06/28,1332.21,1336.13,1330.2,1335.23,0,1326.97,1315.95,1313.98,1287.05,0,0,0,9.24,7.54,3.39
