,close,high,low,ma10,ma20,ma5,ma5-ma20,ma60,open,vol,volume
2011-12-09,0.797,0.814,0.795,           ,           ,           ,,           ,0.795,106177232.0,
2011-12-12,0.79,0.803,0.79,           ,           ,           ,,           ,0.79,31106508.0,
2011-12-13,0.768,0.788,0.763,           ,           ,           ,,           ,0.788,96744368.0,
2011-12-14,0.76,0.777,0.755,           ,           ,           ,,           ,0.768,81609472.0,
2011-12-15,0.752,0.764,0.747,           ,           ,0.773,,           ,0.755,41700500.0,
2011-12-16,0.781,0.784,0.748,           ,           ,0.77,,           ,0.75,82938440.0,
2011-12-19,0.795,0.795,0.766,           ,           ,0.771,,           ,0.775,106873520.0,
2011-12-20,0.78,0.8,0.78,           ,           ,0.774,,           ,0.795,65199184.0,
2011-12-21,0.766,0.791,0.766,           ,           ,0.775,,           ,0.786,48542544.0,
2011-12-22,0.757,0.768,0.73,0.775,           ,0.776,,           ,0.756,70938408.0,
2011-12-23,0.761,0.773,0.749,0.771,           ,0.772,,           ,0.75,101360320.0,
2011-12-26,0.755,0.773,0.751,0.767,           ,0.764,,           ,0.759,45685476.0,
2011-12-27,0.729,0.754,0.727,0.764,           ,0.754,,           ,0.75,109915968.0,
2011-12-28,0.719,0.724,0.703,0.76,           ,0.744,,           ,0.72,115703880.0,
2011-12-29,0.718,0.726,0.711,0.756,           ,0.736,,           ,0.713,33972048.0,
2011-12-30,0.729,0.732,0.722,0.751,           ,0.73,,           ,0.723,77257520.0,
2012-01-04,0.708,0.739,0.708,0.742,           ,0.721,,           ,0.735,36049352.0,
2012-01-05,0.672,0.705,0.666,0.731,           ,0.709,,           ,0.705,66382216.0,
2012-01-06,0.67,0.676,0.647,0.722,           ,0.699,,           ,0.668,138794080.0,
2012-01-09,0.696,0.698,0.658,0.716,0.745,0.695,,           ,0.667,177847072.0,
2012-01-10,0.72,0.722,0.691,0.712,0.741,0.693,,           ,0.696,75556136.0,
2012-01-11,0.723,0.731,0.711,0.708,0.738,0.696,,           ,0.717,125941376.0,
2012-01-12,0.711,0.73,0.71,0.707,0.735,0.704,,           ,0.717,79838624.0,
2012-01-13,0.668,0.711,0.666,0.702,0.731,0.704,,           ,0.709,211204112.0,
2012-01-16,0.635,0.66,0.635,0.693,0.725,0.691,,           ,0.656,92503552.0,
2012-01-17,0.666,0.67,0.627,0.687,0.719,0.681,,           ,0.635,226998256.0,
2012-01-18,0.624,0.669,0.624,0.678,0.71,0.661,,           ,0.665,87704160.0,
2012-01-19,0.635,0.639,0.615,0.675,0.703,0.646,,           ,0.619,101084632.0,
2012-01-20,0.648,0.653,0.634,0.673,0.697,0.642,,           ,0.634,107639896.0,
2012-01-30,0.655,0.663,0.645,0.668,0.692,0.646,,           ,0.649,92379696.0,
2012-01-31,0.65,0.655,0.638,0.661,0.687,0.642,,           ,0.652,62003252.0,
2012-02-01,0.653,0.666,0.648,0.655,0.681,0.648,,           ,0.651,150784768.0,
2012-02-02,0.67,0.67,0.653,0.65,0.679,0.655,,           ,0.654,73896736.0,
2012-02-03,0.682,0.685,0.664,0.652,0.677,0.662,,           ,0.669,103945856.0,
