,close,high,low,ma10,ma20,ma5,ma5-ma20,ma60,open,vol
2010-08-26,980.63,984.87,973.0,1007.73,1000.76,990.81,-0.994244374276,982.27,978.6,1700767.0
2010-08-27,999.46,1000.86,975.72,1006.96,1002.31,991.51,-1.07751094971,982.71,978.51,2173480.0
2010-08-30,1024.93,1025.15,1002.99,1006.43,1003.84,997.38,-0.643528849219,983.17,1002.99,2358186.0
2010-08-31,1025.57,1029.8,1015.13,1005.63,1006.34,1001.49,-0.481944472047,983.63,1020.75,2175334.0
2010-09-01,995.59,1029.81,987.59,1002.51,1007.22,1005.24,-0.196580687437,983.09,1025.68,2400153.0
2010-09-02,1014.92,1018.28,996.52,1001.45,1008.6,1012.09,0.346024191949,982.18,1001.6,2758003.0
2010-09-03,1036.7,1045.21,1017.51,1005.53,1009.86,1019.54,0.958548709722,981.67,1017.64,3186012.0
2010-09-06,1010.76,1043.24,1007.43,1007.04,1008.78,1016.71,0.786098059042,980.56,1039.46,2546962.0
2010-09-07,1022.62,1022.62,1007.64,1008.81,1010.21,1016.12,0.5850268756,978.98,1010.12,1686002.0
2010-09-08,1026.33,1027.64,1016.84,1013.75,1011.3,1022.27,1.08474241076,977.38,1020.23,1801644.0
2010-09-09,1021.83,1040.67,1019.69,1017.87,1012.8,1023.65,1.07128751975,976.66,1029.11,2365284.0
2010-09-10,1034.94,1037.51,1016.19,1021.42,1014.19,1023.3,0.898253778878,977.24,1021.87,2210901.0
2010-09-13,1042.48,1045.39,1033.25,1023.17,1014.8,1029.64,1.4623571147,977.27,1034.39,2010292.0
2010-09-14,1031.22,1046.13,1028.77,1023.74,1014.68,1031.36,1.6438680175,977.2,1044.3,1940841.0
2010-09-15,990.1,1030.02,987.05,1023.19,1012.85,1024.11,1.11171446907,976.25,1029.52,2216464.0
2010-09-16,972.6,994.95,964.53,1018.96,1010.2,1014.27,0.402890516729,974.95,989.49,1717924.0
2010-09-17,972.23,981.73,967.56,1012.51,1009.02,1001.73,-0.722483201522,974.22,976.07,1450030.0
2010-09-20,949.2,975.26,947.41,1006.35,1006.7,983.07,-2.3472732691,973.57,972.45,1292681.0
2010-09-21,934.46,953.83,930.25,997.54,1003.17,963.72,-3.93253386764,973.92,952.07,1107187.0
2010-09-27,950.67,951.84,930.87,989.97,1001.86,955.83,-4.59445431497,974.45,936.21,1079437.0
2010-09-28,942.05,949.89,939.63,981.99,999.93,949.72,-5.0213514946,975.44,949.63,1666173.0
2010-09-29,926.76,944.17,924.41,971.18,996.3,940.63,-5.58767439526,976.34,941.27,1230242.0
2010-09-30,942.54,942.54,921.36,961.18,992.18,939.3,-5.32967808261,977.68,923.83,1099209.0
2010-10-08,959.86,963.18,945.62,954.05,988.89,944.38,-4.50100617864,978.78,946.47,1511188.0
2010-10-11,947.11,961.17,941.91,949.75,986.47,943.66,-4.33971636238,979.42,960.91,1852470.0
2010-10-12,951.79,959.98,945.01,947.67,983.31,945.61,-3.8339892811,980.19,946.63,1510895.0
2010-10-13,962.74,962.74,940.65,946.72,979.61,952.81,-2.73578260736,980.7,951.33,2209485.0
2010-10-14,958.5,975.91,956.86,947.65,977.0,956.0,-2.1494370522,981.18,963.29,1994136.0
2010-10-15,944.25,957.77,937.12,948.63,973.08,952.88,-2.07588276401,981.39,954.12,1884787.0
2010-10-18,932.36,941.87,913.82,946.8,968.38,949.93,-1.90524380925,981.56,941.87,1787335.0
2010-10-19,995.92,1005.59,932.32,952.18,967.09,958.75,-0.862380957305,983.28,932.83,3333809.0
2010-10-20,1004.54,1024.58,986.03,959.96,965.57,967.11,0.15949128494,985.15,986.65,3438174.0
2010-10-21,991.84,1001.68,983.66,964.89,963.04,973.78,1.11521847483,986.55,1001.68,2161944.0
2010-10-22,1013.45,1023.7,991.14,970.25,962.15,987.62,2.6471963831,987.83,991.14,2377733.0
2010-10-25,1039.05,1043.09,1018.08,979.44,964.6,1008.96,4.59879742899,989.45,1018.08,2729464.0
2010-10-26,1036.01,1041.91,1020.94,987.87,967.77,1016.98,5.08488587164,990.88,1041.53,2967923.0
2010-10-27,1030.59,1048.56,1028.7,994.65,970.68,1022.19,5.3065891952,992.05,1034.86,2443831.0
2010-10-28,1038.62,1038.62,1023.49,1002.66,975.16,1031.54,5.78161532466,993.26,1024.7,2269392.0
2010-10-29,1064.52,1069.75,1042.4,1014.69,981.66,1041.76,6.12228266406,995.04,1042.4,3097404.0
2010-11-01,1107.52,1113.62,1071.63,1032.21,989.5,1055.45,6.6649823143,997.29,1071.63,3754825.0
2010-11-02,1075.15,1108.09,1074.58,1040.13,996.16,1063.28,6.73787343399,998.95,1108.09,3292637.0
2010-11-03,1040.62,1063.2,1040.55,1043.74,1001.85,1065.29,6.33228527225,1000.15,1063.2,2224595.0
2010-11-04,1057.71,1057.71,1037.24,1050.32,1007.61,1069.1,6.10255952204,1001.21,1041.42,1759113.0
2010-11-05,1072.22,1072.22,1058.26,1056.2,1013.23,1070.64,5.66603831312,1002.82,1067.87,2237335.0
2010-11-08,1107.06,1107.06,1077.5,1063.0,1021.22,1070.55,4.8304968567,1004.97,1077.5,2579173.0
2010-11-09,1115.65,1117.52,1102.01,1070.97,1029.42,1078.65,4.78230459871,1007.11,1110.43,2622116.0
2010-11-10,1141.58,1147.48,1113.75,1082.06,1038.36,1098.84,5.82456951346,1009.28,1115.74,2974084.0
2010-11-11,1132.72,1163.7,1132.36,1091.47,1047.07,1113.85,6.37779709093,1010.95,1137.08,3180996.0
2010-11-12,1082.24,1140.63,1080.27,1093.25,1053.97,1115.85,5.87113485204,1012.42,1126.85,3612339.0
2010-11-15,1148.54,1148.54,1086.52,1097.35,1064.78,1124.15,5.57579969571,1014.82,1087.81,2981080.0
2010-11-16,1126.18,1175.31,1111.5,1102.45,1071.29,1126.25,5.13026351408,1017.06,1154.41,3964587.0
2010-11-17,1085.35,1132.86,1080.93,1106.93,1075.33,1115.01,3.69003003729,1018.36,1115.12,2829795.0
2010-11-18,1102.85,1102.85,1077.06,1111.44,1080.88,1109.03,2.60435941085,1019.57,1090.14,2238790.0
2010-11-19,1153.17,1153.17,1105.59,1119.53,1087.87,1123.22,3.24946914613,1021.57,1106.75,3233615.0
2010-11-22,1174.94,1194.2,1151.76,1126.32,1094.66,1128.5,3.09137083661,1024.04,1153.26,4025388.0
2010-11-23,1183.5,1183.84,1148.81,1133.11,1102.04,1139.96,3.4408914377,1026.67,1172.06,2898766.0
2010-11-24,1208.45,1208.45,1174.68,1139.79,1110.93,1164.58,4.82928717381,1030.21,1176.42,2869098.0
2010-11-25,1186.36,1215.74,1177.83,1145.16,1118.32,1181.28,5.6298733815,1033.39,1212.77,2832584.0
2010-11-26,1196.02,1200.5,1179.28,1156.54,1124.89,1189.85,5.77478686805,1036.57,1184.8,2350441.0
2010-11-29,1220.11,1221.75,1193.41,1163.69,1130.52,1198.89,6.04765948413,1040.63,1195.31,2685259.0
2010-11-30,1181.5,1219.12,1146.97,1169.22,1135.84,1198.49,5.51574165375,1043.98,1219.08,3163257.0
2010-12-01,1177.18,1182.57,1169.89,1178.41,1142.67,1192.23,4.33721021817,1046.94,1176.61,1612221.0
2010-12-02,1177.84,1192.8,1177.81,1185.91,1148.67,1190.53,3.64421461342,1049.49,1187.1,1767132.0
2010-12-03,1157.94,1178.67,1148.09,1186.38,1152.96,1182.91,2.59766167083,1051.69,1177.17,1702613.0
2010-12-06,1134.38,1159.3,1124.94,1182.33,1154.32,1165.77,0.991925982397,1054.01,1157.72,1562358.0
2010-12-07,1161.69,1162.58,1123.76,1180.15,1156.63,1161.81,0.447852813778,1056.45,1132.33,1280460.0
2010-12-08,1160.24,1176.42,1158.1,1175.33,1157.56,1158.42,0.074294205052,1058.51,1160.92,1345852.0
2010-12-09,1144.53,1160.91,1144.18,1171.14,1158.15,1151.76,-0.551742002331,1060.74,1158.82,1806955.0
2010-12-10,1166.8,1167.68,1136.33,1168.22,1162.38,1153.53,-0.761368915501,1063.14,1139.83,1569302.0
2010-12-13,1209.27,1210.75,1175.51,1167.14,1165.41,1168.5,0.265142739465,1066.19,1175.51,2301380.0
2010-12-14,1218.52,1219.71,1204.66,1170.84,1170.03,1179.87,0.841004076819,1069.47,1211.46,2047676.0
2010-12-15,1211.8,1224.05,1209.29,1174.3,1176.35,1190.18,1.17567050623,1072.42,1217.81,2319263.0
2010-12-16,1225.03,1233.62,1209.34,1179.02,1182.46,1206.28,2.01444446324,1075.46,1209.62,2127810.0
2010-12-17,1232.98,1233.39,1222.93,1186.52,1186.45,1219.52,2.78730667116,1078.82,1222.93,2059515.0
2010-12-20,1212.34,1239.6,1180.53,1194.32,1188.32,1220.13,2.67688838023,1082.53,1235.67,2702385.0
2010-12-21,1215.02,1222.3,1204.48,1199.65,1189.9,1219.43,2.48172115304,1086.57,1212.09,1885949.0
2010-12-22,1201.65,1215.79,1199.68,1203.79,1189.56,1217.4,2.34036114193,1090.39,1214.77,2109499.0
2010-12-23,1176.36,1200.76,1175.86,1206.98,1189.06,1207.67,1.56510184516,1094.18,1198.74,1877144.0
2010-12-24,1144.5,1170.7,1140.13,1204.75,1186.48,1189.97,0.294147393972,1097.68,1170.7,1630336.0
2010-12-27,1105.3,1154.53,1100.52,1194.35,1180.74,1168.57,-1.03070955502,1100.26,1145.7,1567896.0
2010-12-28,1091.48,1099.18,1080.4,1181.65,1176.24,1143.86,-2.75283955655,1102.75,1098.94,1439567.0
2010-12-29,1113.31,1113.31,1091.82,1171.8,1173.05,1126.19,-3.99471463279,1105.85,1091.82,1615975.0
2010-12-30,1117.21,1122.41,1106.43,1161.01,1170.02,1114.36,-4.75718363789,1108.77,1113.56,1409447.0
2010-12-31,1137.66,1138.47,1117.36,1151.48,1169.0,1112.99,-4.79127459367,1111.73,1117.36,1391123.0
2011-01-04,1155.11,1155.52,1140.04,1145.76,1170.04,1122.96,-4.02379405832,1115.2,1142.17,1695881.0
2011-01-05,1155.35,1159.12,1146.38,1139.79,1169.72,1135.73,-2.90582361591,1118.59,1153.91,1683527.0
2011-01-06,1134.79,1159.41,1134.09,1133.11,1168.45,1140.03,-2.4322820831,1121.46,1153.63,1559129.0
2011-01-07,1126.52,1139.78,1119.61,1128.12,1167.55,1141.89,-2.1977645497,1124.26,1132.73,1974030.0
2011-01-10,1093.77,1124.34,1089.06,1123.05,1163.9,1133.11,-2.64541627288,1126.75,1124.34,1591818.0
2011-01-11,1078.37,1089.99,1068.4,1120.36,1157.35,1117.76,-3.42074566899,1129.18,1089.99,1376431.0
2011-01-12,1089.67,1095.52,1071.09,1120.18,1150.91,1104.63,-4.02116586006,1130.74,1083.12,1234470.0
2011-01-13,1093.86,1097.1,1089.67,1118.23,1145.01,1096.44,-4.24188435036,1132.23,1094.83,1776971.0
2011-01-14,1067.42,1092.09,1065.75,1113.25,1137.13,1084.62,-4.61776577876,1133.49,1092.09,1534370.0
2011-01-17,1028.16,1066.99,1025.66,1102.3,1126.89,1071.5,-4.91529785516,1133.74,1066.44,1701014.0
2011-01-18,1025.72,1029.86,1014.63,1089.36,1117.56,1060.97,-5.06371022585,1133.52,1021.84,1018064.0
2011-01-19,1048.54,1048.6,1023.15,1078.68,1109.24,1052.74,-5.09357758465,1133.72,1025.93,1178339.0
2011-01-20,1020.39,1051.52,1020.29,1067.24,1100.17,1038.04,-5.64730905224,1133.55,1047.77,1442281.0
2011-01-21,1024.51,1033.52,1013.27,1057.04,1092.58,1029.46,-5.77715132988,1133.32,1014.72,1254321.0
