date,1y:lending
1990-03-21,10.08 
1990-08-21,9.36 
1991-03-21,10.08 
1991-04-21,8.64 
1993-05-15,9.36 
1993-07-11,10.98 
1995-01-01,10.98 
1995-07-01,12.06 
1996-05-01,10.98 
1996-08-23,10.08 
1997-10-23,8.64 
1998-03-25,7.92 
1998-07-01,6.93 
1998-12-07,6.39 
1999-06-10,5.85 
2002-02-21,5.31 
2004-10-29,5.58 
2005-03-17,5.58 
2006-04-28,5.85 
2006-08-19,6.12 
2007-03-18,6.39 
2007-05-19,6.57 
2007-07-21,6.84 
2007-08-22,7.02 
2007-09-15,7.29 
2007-12-21,7.47 
2008-09-16,7.20 
2008-10-09,6.93 
2008-10-27,6.93 
2008-10-30,6.66 
2008-11-27,5.58 
2008-12-23,5.31 
2010-10-20,5.56 
2010-12-26,5.81 
2011-02-09,6.06 
2011-04-06,6.31 
2011-07-07,6.56 
2012-06-08,6.31 
2012-07-06,6.00 
2014-11-22,5.60 
2015-03-01,5.35 
2015-05-11,5.10 
2015-06-28,4.85 
2015-08-26,4.60 
2015-10-24,4.35 
