date,USD/CNY:spot
1994-08-31,8.5616 
1994-09-01,8.5591 
1994-09-02,8.5565 
1994-09-05,8.5540 
1994-09-06,8.5511 
1994-09-07,8.5491 
1994-09-08,8.5470 
1994-09-09,8.5448 
1994-09-10,8.5422 
1994-09-13,8.5407 
1994-09-14,8.5396 
1994-09-15,8.5381 
1994-09-16,8.5365 
1994-09-17,8.5352 
1994-09-20,8.5340 
1994-09-21,8.5337 
1994-09-22,8.5333 
1994-09-23,8.5325 
1994-09-24,8.5320 
1994-09-27,8.5311 
1994-09-28,8.5303 
1994-09-29,8.5303 
1994-09-30,8.5301 
1994-10-01,8.5300 
1994-10-06,8.5301 
1994-10-07,8.5300 
1994-10-08,8.5300 
1994-10-11,8.5297 
1994-10-12,8.5297 
1994-10-13,8.5298 
1994-10-14,8.5297 
1994-10-15,8.5297 
1994-10-18,8.5296 
1994-10-19,8.5296 
1994-10-20,8.5295 
1994-10-21,8.5295 
1994-10-22,8.5295 
1994-10-25,8.5290 
1994-10-26,8.5285 
1994-10-27,8.5282 
1994-10-28,8.5273 
1994-10-29,8.5266 
1994-11-01,8.5260 
1994-11-02,8.5254 
1994-11-03,8.5248 
1994-11-04,8.5238 
1994-11-05,8.5227 
1994-11-08,8.5218 
1994-11-09,8.5208 
1994-11-10,8.5200 
1994-11-11,8.5190 
1994-11-12,8.5180 
1994-11-15,8.5174 
1994-11-16,8.5163 
1994-11-17,8.5153 
1994-11-18,8.5140 
1994-11-19,8.5136 
1994-11-22,8.5131 
1994-11-23,8.5126 
1994-11-24,8.5120 
1994-11-25,8.5111 
1994-11-26,8.5105 
1994-11-29,8.5101 
1994-11-30,8.5093 
1994-12-01,8.5090 
1994-12-02,8.5084 
1994-12-03,8.5079 
1994-12-06,8.5074 
1994-12-07,8.5070 
1994-12-08,8.5041 
1994-12-09,8.5025 
1994-12-10,8.4992 
1994-12-13,8.4960 
1994-12-14,8.4930 
1994-12-15,8.4901 
1994-12-16,8.4874 
1994-12-17,8.4835 
1994-12-20,8.4801 
1994-12-21,8.4754 
1994-12-22,8.4720 
1994-12-23,8.4677 
1994-12-24,8.4626 
1994-12-27,8.4588 
1994-12-28,8.4550 
1994-12-29,8.4518 
1994-12-30,8.4491 
1994-12-31,8.4462 
1995-01-04,8.4447 
1995-01-05,8.4437 
1995-01-06,8.4430 
1995-01-07,8.4426 
1995-01-10,8.4422 
1995-01-11,8.4417 
1995-01-12,8.4415 
1995-01-13,8.4412 
1995-01-14,8.4411 
1995-01-17,8.4410 
1995-01-18,8.4407 
1995-01-19,8.4405 
1995-01-20,8.4402 
1995-01-21,8.4400 
1995-01-24,8.4397 
1995-01-25,8.4394 
1995-01-26,8.4390 
1995-01-27,8.4387 
1995-02-06,8.4384 
1995-02-07,8.4380 
1995-02-08,8.4375 
1995-02-09,8.4370 
1995-02-10,8.4364 
1995-02-11,8.4360 
1995-02-14,8.4355 
1995-02-15,8.4352 
1995-02-16,8.4351 
1995-02-17,8.4352 
1995-02-18,8.4327 
1995-02-21,8.4340 
1995-02-22,8.4337 
1995-02-23,8.4329 
1995-02-24,8.4324 
1995-02-25,8.4320 
1995-02-28,8.4316 
1995-03-01,8.4311 
1995-03-02,8.4308 
1995-03-03,8.4299 
1995-03-04,8.4294 
1995-03-06,8.4294 
1995-03-07,8.4282 
1995-03-08,8.4273 
1995-03-09,8.4265 
1995-03-10,8.4259 
1995-03-11,8.4261 
1995-03-14,8.4264 
1995-03-15,8.4265 
1995-03-16,8.4274 
