date,m1
1985-12,"3,340.90 "
1986-12,"4,232.20 "
1987-12,"4,948.60 "
1988-12,"5,985.90 "
1989-12,"6,382.20 "
1990-12,"6,950.70 "
1991-12,"8,633.30 "
1992-12,"11,731.50 "
1993-12,"16,280.40 "
1994-12,"20,540.70 "
1995-12,"23,987.10 "
1996-01,"25,195.00 "
1996-02,"25,255.00 "
1996-03,"23,909.00 "
1996-04,"24,145.00 "
1996-05,"24,463.00 "
1996-06,"24,600.00 "
1996-07,"25,078.00 "
1996-08,"26,955.88 "
1996-09,"26,230.00 "
1996-10,"26,798.20 "
1996-11,"27,422.00 "
1996-12,"29,893.00 "
1997-01,"30,573.00 "
1997-02,"29,103.00 "
1997-03,"29,058.00 "
1997-04,"29,991.00 "
1997-05,"30,275.00 "
1997-06,"31,074.73 "
1997-07,"31,100.00 "
1997-08,"31,594.99 "
1997-09,"32,245.00 "
1997-10,"32,422.00 "
1997-11,"32,909.00 "
1997-12,"34,826.00 "
1998-01,"35,585.57 "
1998-02,"33,395.00 "
1998-03,"33,110.00 "
1998-04,"33,360.00 "
1998-05,"33,553.00 "
1998-06,"33,776.00 "
1998-07,"34,356.00 "
1998-08,"35,050.00 "
1998-09,"36,501.00 "
1998-10,"36,785.00 "
1998-11,"37,414.00 "
1998-12,"38,953.70 "
1999-01,"39,011.00 "
1999-02,"38,749.00 "
1999-03,"38,054.00 "
1999-04,"38,053.00 "
1999-05,"38,004.00 "
1999-06,"38,822.00 "
1999-07,"38,991.00 "
1999-08,"40,095.00 "
1999-09,"41,914.00 "
1999-10,"42,265.00 "
1999-11,"43,370.00 "
1999-12,"45,837.00 "
2000-01,"46,570.00 "
2000-02,"44,679.00 "
2000-03,"45,158.00 "
2000-04,"46,319.00 "
2000-05,"46,490.00 "
2000-06,"48,024.00 "
2000-07,"47,803.00 "
2000-08,"48,885.00 "
2000-09,"50,617.00 "
2000-10,"49,953.00 "
2000-11,"50,787.00 "
2000-12,"53,147.15 "
2001-01,"54,406.00 "
2001-02,"51,998.00 "
2001-03,"53,033.00 "
2001-04,"53,261.00 "
2001-05,"53,423.00 "
2001-06,"55,187.00 "
2001-07,"53,503.00 "
2001-08,"55,809.00 "
2001-09,"56,823.00 "
2001-10,"56,115.00 "
2001-11,"56,580.00 "
2001-12,"59,871.59 "
2002-01,"60,576.06 "
2002-02,"58,702.87 "
2002-03,"59,474.83 "
2002-04,"60,461.31 "
2002-05,"61,246.86 "
2002-06,"63,144.00 "
2002-07,"63,487.78 "
2002-08,"64,868.83 "
2002-09,"66,799.76 "
2002-10,"67,100.25 "
2002-11,"67,992.78 "
2002-12,"70,881.79 "
2003-01,"72,405.66 "
2003-02,"69,756.64 "
2003-03,"71,438.82 "
2003-04,"71,321.24 "
2003-05,"72,777.84 "
2003-06,"75,923.23 "
2003-07,"76,152.77 "
2003-08,"77,032.98 "
2003-09,"79,163.88 "
2003-10,"80,267.10 "
2003-11,"80,814.93 "
2003-12,"84,118.57 "
2004-01,"83,805.90 "
2004-02,"83,556.43 "
2004-03,"85,815.57 "
2004-04,"85,603.64 "
2004-05,"86,780.37 "
2004-06,"88,627.14 "
2004-07,"87,982.23 "
2004-08,"89,125.33 "
2004-09,"90,439.05 "
2004-10,"90,782.48 "
2004-11,"92,387.13 "
2004-12,"95,970.82 "
2005-01,"97,079.03 "
2005-02,"92,814.95 "
2005-03,"94,743.19 "
2005-04,"94,593.72 "
2005-05,"95,802.01 "
2005-06,"98,601.25 "
2005-07,"97,674.10 "
2005-08,"99,377.70 "
2005-09,"100,964.00 "
2005-10,"101,751.98 "
2005-11,"104,125.78 "
2005-12,"107,278.76 "
2006-01,"107,250.68 "
2006-02,"104,357.08 "
2006-03,"106,737.08 "
2006-04,"106,389.11 "
2006-05,"109,219.22 "
2006-06,"112,342.36 "
2006-07,"112,653.04 "
2006-08,"114,845.67 "
2006-09,"116,814.10 "
2006-10,"118,359.96 "
2006-11,"121,644.95 "
2006-12,"126,028.05 "
2007-01,"128,484.06 "
2007-02,"126,258.08 "
2007-03,"127,881.31 "
2007-04,"127,678.33 "
2007-05,"130,275.80 "
2007-06,"135,847.40 "
2007-07,"136,237.43 "
2007-08,"140,993.21 "
2007-09,"142,591.57 "
2007-10,"144,649.33 "
2007-11,"148,009.82 "
2007-12,"152,519.17 "
2008-01,"154,872.59 "
2008-02,"150,177.88 "
2008-03,"150,867.47 "
2008-04,"151,694.91 "
2008-05,"153,344.75 "
2008-06,"154,820.15 "
2008-07,"154,992.44 "
