date,m1:yoy
1986/12/31,26.7
1987/12/31,16.9
1988/12/31,21
1989/12/31,6.6
1990/12/31,19.2
1991/12/31,24.2
1992/12/31,35.9
1993/12/31,38.8
1994/12/31,26.2
1995/12/31,16.8
1996/1/31,11.4
1996/2/29,16.6
1996/3/31,13.8
1996/4/30,13.7
1996/5/31,14.5
1996/6/30,15
1996/7/31,15.2
1996/8/31,15.1
1996/9/30,17.3
1996/10/31,17.1
1996/11/30,17.1
1996/12/31,18.9
1997/1/31,22.2
1997/2/28,16
1997/3/31,18.9
1997/4/30,18.7
1997/5/31,18.3
1997/6/30,20.6
1997/7/31,18.4
1997/8/31,17.2
1997/9/30,17.3
1997/10/31,15.8
1997/11/30,14.9
1997/12/31,16.5
1998/1/31,14.6
1998/2/28,12.4
1998/3/31,11.8
1998/4/30,11.2
1998/5/31,10.8
1998/6/30,8.7
1998/7/31,10.5
1998/8/31,10.9
1998/9/30,13.2
1998/10/31,13.5
1998/11/30,13.7
1998/12/31,11.9
1999/1/31,9.6
1999/2/28,16
1999/3/31,14.9
1999/4/30,14.1
1999/5/31,13.3
1999/6/30,14.9
1999/7/31,13.5
1999/8/31,14.4
1999/9/30,14.8
1999/10/31,15.1
1999/11/30,15.9
1999/12/31,17.7
2000/1/31,19.4
2000/2/29,15.3
2000/3/31,18.7
2000/4/30,21.7
2000/5/31,22.3
2000/6/30,23.7
2000/7/31,22.6
2000/8/31,21.9
2000/9/30,20.8
2000/10/31,18.2
2000/11/30,17.1
2000/12/31,16
2001/1/31,16.8
2001/2/28,16.4
2001/3/31,17.4
2001/4/30,15
2001/5/31,14.9
2001/6/30,14.9
2001/7/31,11.9
2001/8/31,14.2
2001/9/30,12.3
2001/10/31,12.3
2001/11/30,11.4
2001/12/31,12.7
2002/1/31,9.5
2002/2/28,10.9
2002/3/31,10.1
2002/4/30,11.5
2002/5/31,14.6
2002/6/30,12.8
2002/7/31,17
2002/8/31,14.6
2002/9/30,15.9
2002/10/31,17.9
2002/11/30,18.5
2002/12/31,16.82
2003/1/31,19.5
2003/2/28,18.8
2003/3/31,20.12
2003/4/30,18
2003/5/31,18.8
2003/6/30,20.24
2003/7/31,20
2003/8/31,18.75
2003/9/30,18.51
2003/10/31,19.62
2003/11/30,18.86
2003/12/31,18.7
2004/1/31,15.7
2004/2/29,19.8
2004/3/31,20.1
2004/4/30,20
2004/5/31,18.6
2004/6/30,16.2
2004/7/31,15
2004/8/31,15.14
2004/9/30,13.7
2004/10/31,12.57
2004/11/30,13.8
2004/12/31,13.6
2005/1/31,15.32
2005/2/28,10.6
2005/3/31,9.9
2005/4/30,10
2005/5/31,10.4
2005/6/30,11.25
2005/7/31,11
2005/8/31,11.5
2005/9/30,11.64
2005/10/31,12.08
2005/11/30,12.7
2005/12/31,11.78
2006/1/31,10.63
2006/2/28,12.4
2006/3/31,12.7
2006/4/30,12.5
2006/5/31,14.01
2006/6/30,13.9
2006/7/31,15.3
2006/8/31,15.6
2006/9/30,15.7
2006/10/31,16.3
2006/11/30,16.8
2006/12/31,17.48
2007/1/31,20.21
2007/2/28,21
2007/3/31,19.8
2007/4/30,20
2007/5/31,19.28
2007/6/30,20.92
2007/7/31,20.9
2007/8/31,22.8
2007/9/30,22.07
2007/10/31,22.21
2007/11/30,21.67
2007/12/31,21.01
2008/1/31,20.72
2008/2/29,19.2
2008/3/31,18.25
2008/4/30,19.05
2008/5/31,17.93
2008/6/30,14.19
2008/7/31,13.96
2008/8/31,11.48
2008/9/30,9.43
2008/10/31,8.85
2008/11/30,6.8
2008/12/31,9.06
2009/1/31,6.68
2009/2/28,10.87
2009/3/31,17.04
2009/4/30,17.48
2009/5/31,18.69
2009/6/30,24.79
2009/7/31,26.37
2009/8/31,27.72
2009/9/30,29.51
2009/10/31,32.03
2009/11/30,34.63
2009/12/31,32.35
2010/1/31,38.96
2010/2/28,34.99
2010/3/31,29.94
2010/4/30,31.25
2010/5/31,29.9
2010/6/30,24.56
2010/7/31,22.9
2010/8/31,21.9
2010/9/30,20.87
2010/10/31,22.1
2010/11/30,22.1
2010/12/31,21.19
2011/1/31,13.6
2011/2/28,14.5
2011/3/31,15
2011/4/30,12.9
2011/5/31,12.7
2011/6/30,13.1
2011/7/31,11.6
2011/8/31,11.2
2011/9/30,8.9
2011/10/31,8.4
2011/11/30,7.8
2011/12/31,7.9
2012/1/31,3.1
2012/2/29,4.3
2012/3/31,4.4
2012/4/30,3.1
2012/5/31,3.5
2012/6/30,4.7
2012/7/31,4.6
2012/8/31,4.5
2012/9/30,7.3
2012/10/31,6.1
2012/11/30,5.5
2012/12/31,6.5
2013/1/31,15.3
2013/2/28,9.5
2013/3/31,11.9
2013/4/30,11.9
2013/5/31,11.3
2013/6/30,9.1
2013/7/31,9.7
2013/8/31,9.9
2013/9/30,8.9
2013/10/31,8.9
2013/11/30,9.4
2013/12/31,9.3
2014/1/31,1.2
2014/2/28,6.9
2014/3/31,5.4
2014/4/30,5.5
2014/5/31,5.7
2014/6/30,8.9
2014/7/31,6.7
2014/8/31,5.7
2014/9/30,4.8
2014/10/31,3.2
2014/11/30,3.2
2014/12/31,3.2
2015/1/31,10.6
2015/2/28,5.6
2015/3/31,2.9
2015/4/30,3.7
2015/5/31,4.7
2015/6/30,4.3
2015/7/31,6.6
2015/8/31,9.3
2015/9/30,11.4
2015/10/31,14
2015/11/30,15.7
2015/12/31,15.2
2016/1/31,18.6
2016/2/29,17.4
2016/3/31,22.1
