date,m2_yoy
2016/3/1,13.4
2016/2/1,13.3
2016/1/1,14
2015/12/1,13.3
2015/11/1,13.7
2015/10/1,13.5
2015/9/1,13.1
2015/8/1,13.3
2015/7/1,13.3
2015/6/1,11.8
2015/5/1,10.8
2015/4/1,10.1
2015/3/1,11.6
2015/2/1,12.5
2015/1/1,10.8
2014/12/1,12.2
2014/11/1,12.3
2014/10/1,12.6
2014/9/1,12.9
2014/8/1,12.8
2014/7/1,13.5
2014/6/1,14.7
2014/5/1,13.4
2014/4/1,13.2
2014/3/1,12.1
2014/2/1,13.3
2014/1/1,13.2
2013/12/1,13.6
2013/11/1,14.2
2013/10/1,14.3
2013/9/1,14.2
2013/8/1,14.7
2013/7/1,14.5
2013/6/1,14
2013/5/1,15.8
2013/4/1,16.1
2013/3/1,15.7
2013/2/1,15.2
2013/1/1,15.9
2012/12/1,13.8
2012/11/1,13.9
2012/10/1,14.1
2012/9/1,14.8
2012/8/1,13.5
2012/7/1,13.9
2012/6/1,13.6
2012/5/1,13.2
2012/4/1,12.8
2012/3/1,13.4
2012/2/1,13
2012/1/1,12.4
2011/12/1,13.6
2011/11/1,12.7
2011/10/1,12.9
2011/9/1,13
2011/8/1,13.5
2011/7/1,14.7
2011/6/1,15.9
2011/5/1,15.1
2011/4/1,15.3
2011/3/1,16.6
2011/2/1,15.7
2011/1/1,17.2
2010/12/1,19.72
2010/11/1,19.5
2010/10/1,19.3
2010/9/1,18.96
2010/8/1,19.2
2010/7/1,17.6
2010/6/1,18.46
2010/5/1,21
2010/4/1,21.48
2010/3/1,22.5
2010/2/1,25.52
2010/1/1,25.98
2009/12/1,27.68
2009/11/1,29.74
2009/10/1,29.42
2009/9/1,29.31
2009/8/1,28.53
2009/7/1,28.42
2009/6/1,28.46
2009/5/1,25.74
2009/4/1,25.89
2009/3/1,25.51
2009/2/1,20.48
2009/1/1,18.79
2008/12/1,17.82
2008/11/1,14.8
2008/10/1,15.02
2008/9/1,15.29
2008/8/1,16
2008/7/1,16.35
2008/6/1,17.37
2008/5/1,18.07
2008/4/1,16.94
2008/3/1,16.29
2008/2/1,17.48
2008/1/1,18.94
2007/12/1,16.72
2007/11/1,18.45
2007/10/1,18.47
2007/9/1,18.45
2007/8/1,18.1
2007/7/1,18.5
2007/6/1,17.06
2007/5/1,16.74
2007/4/1,17.1
2007/3/1,17.3
2007/2/1,17.8
2007/1/1,15.93
2006/12/1,16.94
2006/11/1,16.8
2006/10/1,17.1
2006/9/1,16.83
2006/8/1,17.9
2006/7/1,18.4
2006/6/1,18.43
2006/5/1,19.1
2006/4/1,18.9
2006/3/1,18.8
2006/2/1,18.8
2006/1/1,19.21
2005/12/1,17.57
2005/11/1,18.3
2005/10/1,17.99
2005/9/1,17.92
2005/8/1,17.34
2005/7/1,16.3
2005/6/1,15.67
2005/5/1,14.6
2005/4/1,14.1
2005/3/1,14
2005/2/1,13.9
2005/1/1,14.13
2004/12/1,14.6
2004/11/1,14
2004/10/1,13.45
2004/9/1,13.94
2004/8/1,13.63
2004/7/1,15.3
2004/6/1,16.2
2004/5/1,17.5
2004/4/1,19.1
2004/3/1,19.1
2004/2/1,19.4
2004/1/1,18.1
2003/12/1,19.6
2003/11/1,20.37
2003/10/1,20.97
2003/9/1,20.67
2003/8/1,21.55
2003/7/1,20.7
2003/6/1,20.83
2003/5/1,20.2
2003/4/1,19.2
2003/3/1,18.54
2003/2/1,18.1
2003/1/1,19.3
2002/12/1,16.78
2002/11/1,16.6
2002/10/1,17
2002/9/1,16.5
2002/8/1,15.5
2002/7/1,14.4
2002/6/1,14.7
2002/5/1,14
2002/4/1,14.1
2002/3/1,14.4
2002/2/1,13
2002/1/1,13.1
2001/12/1,14.4
2001/11/1,13.2
2001/10/1,12.9
2001/9/1,13.6
2001/8/1,13.6
2001/7/1,13.5
2001/6/1,14.3
2001/5/1,14.48
2001/4/1,13.94
2001/3/1,14.83
2001/2/1,15.2
2001/1/1,15.16
2000/12/1,13.99
2000/11/1,15.15
2000/10/1,14.2
2000/9/1,15.27
2000/8/1,14.82
2000/7/1,15.55
2000/6/1,14.39
2000/5/1,14.01
2000/4/1,14.46
2000/3/1,13.38
2000/2/1,13.51
2000/1/1,14.33
1999/12/1,14.7
1999/11/1,14
1999/10/1,14.5
1999/9/1,15.3
1999/8/1,16
1999/7/1,15.7
1999/6/1,17.7
1999/5/1,17.2
1999/4/1,17.9
1999/3/1,17.8
1999/2/1,18
1999/1/1,14.4
1998/12/1,15.3
1998/11/1,16.7
1998/10/1,16.3
1998/9/1,16
1998/8/1,15
1998/7/1,15.5
1998/6/1,14.6
1998/5/1,15.5
1998/4/1,14.6
1998/3/1,15.4
1998/2/1,16.7
1998/1/1,17.4
1997/12/1,17.3
1997/11/1,16.1
1997/10/1,16.4
1997/9/1,17.1
1997/8/1,17.2
1997/7/1,18.1
1997/6/1,19.1
1997/5/1,19.1
1997/4/1,20.6
1997/3/1,21.1
1997/2/1,21.7
1997/1/1,24.8
1996/12/1,25.3
1996/11/1,25.1
1996/10/1,26.4
1996/9/1,27.8
1996/8/1,27.5
1996/7/1,27
1996/6/1,28.2
1996/5/1,28.4
1996/4/1,28.5
1996/3/1,28.3
1996/2/1,27.2
1996/1/1,25.9
1995/12/1,29.5
1994/12/1,34.5
1993/12/1,37.3
1992/12/1,31.3
1991/12/1,26.5
1990/12/1,28
1989/12/1,18.3
1988/12/1,21.2
1987/12/1,24
1986/12/1,29.3
