,m2_yoy
2002-11-01,16.6
2002-11-02,16.6
2002-11-03,16.6
2002-11-04,16.6
2002-11-05,16.6
2002-11-06,16.6
2002-11-07,16.6
2002-11-08,16.6
2002-11-09,16.6
2002-11-10,16.6
2002-11-11,16.6
2002-11-12,16.6
2002-11-13,16.6
2002-11-14,16.6
2002-11-15,16.6
2002-11-16,16.6
2002-11-17,16.6
2002-11-18,16.6
2002-11-19,16.6
2002-11-20,16.6
2002-11-21,16.6
2002-11-22,16.6
2002-11-23,16.6
2002-11-24,16.6
2002-11-25,16.6
2002-11-26,16.6
2002-11-27,16.6
2002-11-28,16.6
2002-11-29,16.6
2002-11-30,16.6
2002-12-01,16.78
2002-12-02,16.78
2002-12-03,16.78
2002-12-04,16.78
2002-12-05,16.78
2002-12-06,16.78
2002-12-07,16.78
2002-12-08,16.78
2002-12-09,16.78
2002-12-10,16.78
2002-12-11,16.78
2002-12-12,16.78
2002-12-13,16.78
2002-12-14,16.78
2002-12-15,16.78
2002-12-16,16.78
2002-12-17,16.78
2002-12-18,16.78
2002-12-19,16.78
2002-12-20,16.78
2002-12-21,16.78
2002-12-22,16.78
2002-12-23,16.78
2002-12-24,16.78
2002-12-25,16.78
2002-12-26,16.78
2002-12-27,16.78
2002-12-28,16.78
2002-12-29,16.78
2002-12-30,16.78
2002-12-31,16.78
2003-01-01,19.3
2003-01-02,19.3
2003-01-03,19.3
2003-01-04,19.3
2003-01-05,19.3
2003-01-06,19.3
2003-01-07,19.3
2003-01-08,19.3
2003-01-09,19.3
2003-01-10,19.3
2003-01-11,19.3
2003-01-12,19.3
2003-01-13,19.3
2003-01-14,19.3
2003-01-15,19.3
2003-01-16,19.3
2003-01-17,19.3
2003-01-18,19.3
2003-01-19,19.3
2003-01-20,19.3
2003-01-21,19.3
2003-01-22,19.3
2003-01-23,19.3
2003-01-24,19.3
2003-01-25,19.3
2003-01-26,19.3
2003-01-27,19.3
2003-01-28,19.3
2003-01-29,19.3
2003-01-30,19.3
2003-01-31,19.3
2003-02-01,18.1
2003-02-02,18.1
2003-02-03,18.1
2003-02-04,18.1
2003-02-05,18.1
2003-02-06,18.1
2003-02-07,18.1
2003-02-08,18.1
2003-02-09,18.1
2003-02-10,18.1
2003-02-11,18.1
2003-02-12,18.1
2003-02-13,18.1
2003-02-14,18.1
2003-02-15,18.1
2003-02-16,18.1
2003-02-17,18.1
2003-02-18,18.1
2003-02-19,18.1
2003-02-20,18.1
2003-02-21,18.1
2003-02-22,18.1
2003-02-23,18.1
2003-02-24,18.1
2003-02-25,18.1
2003-02-26,18.1
