date,m2,m2_yoy,m1,m1_yoy,m0,m0_yoy,cd,cd_yoy,qm,qm_yoy,ftd,ftd_yoy,sd,sd_yoy,rests,rests_yoy
2016-03,1446200,13.4,411600,22.1,64700,4.4,--,--,--,--,--,--,--,--,--,--
2016-02,1424618.68,13.3,392504.7,17.4,69421.5,-4.8,323083.2,--,1032113.98,--,294042.64,--,581012.06,--,157059.29,--
2016-01,1416319.55,14,412685.64,18.6,72526.51,15.1,340159.13,--,1003633.91,--,294289.2,--,560967.64,--,148377.07,--
2015-12,1392278.11,13.3,400953.44,15.2,63216.58,4.9,337736.86,--,991324.67,--,288240.66,--,552073.48,--,151010.53,--
2015-11,1373956.01,13.7,387618.32,15.7,60328.24,3.2,327290.08,--,986337.69,--,287032.63,--,542833.96,--,156471.1,--
2015-10,1361020.7,13.5,375806.45,14,59900.48,3.8,315905.97,--,985214.25,--,288757.95,--,541957.87,--,154498.44,--
2015-09,1359824.06,13.1,364416.9,11.4,61022.97,3.7,303393.93,--,995407.15,--,298571.22,--,547874,--,148961.94,--
2015-08,1356907.98,13.3,362793.73,9.3,59061.79,1.8,303731.94,--,994114.25,--,292911.89,--,540222.11,--,160980.24,--
2015-07,1353210.92,13.3,353122.19,6.6,59010.71,2.9,294111.49,--,1000088.73,--,292949,--,538405.6,--,168734.13,--
2015-06,1333375.36,11.8,356082.86,4.3,58604.26,2.9,297478.59,--,977292.51,--,289329.28,--,539127.13,--,148836.1,--
2015-05,1307357.63,10.8,343085.86,4.7,59075.97,1.8,284009.89,--,964271.78,--,286886.92,--,529595.21,--,147789.64,--
2015-04,1280779.14,10.1,336388.24,3.7,60772.46,3.7,275615.79,--,944390.9,--,281461.97,--,534068.19,--,128860.74,--
2015-03,1275332.78,11.6,337210.52,2.9,61949.81,6.2,275260.72,--,938122.25,--,275189.3,--,544693.66,--,118239.3,--
2015-02,1257380.48,12.5,334439.22,5.6,72896.19,17,261543.03,--,922945.26,--,273552.95,--,538481.5,--,110910.81,--
2015-01,1242710.22,10.8,348109.5,10.6,63040.51,-17.6,285065.77,--,894603.29,--,271425.81,--,513090.88,--,110086.59,--
2014-12,1228374.81,12.2,348056.41,3.2,60259.53,2.9,287796.88,--,880318.4,--,264055.71,--,508878.12,--,107384.57,--
2014-11,1208605.95,12.3,335114.13,3.2,58438.53,3.5,276675.6,--,873491.81,--,265229.24,--,499340.03,--,108922.55,--
2014-10,1199236.31,12.6,329617.73,3.2,57691.64,3.8,271926.09,--,869618.58,--,264804.73,--,498744.26,--,106069.59,--
2014-09,1202051.41,12.9,327220.21,4.8,58844.99,4.2,268375.22,--,874831.2,--,272197.01,--,504261.93,--,98372.26,--
2014-08,1197499.08,12.8,332023.23,5.7,57997.61,5.6,274025.62,--,865475.86,--,264733.83,--,494763.05,--,105978.97,--
2014-07,1194249.24,13.5,331347.32,6.7,57346.5,5.4,274000.81,--,862901.92,--,262742.88,--,496939.84,--,103219.2,--
2014-06,1209587.2,14.7,341487.45,8.9,56951.05,5.3,284536.39,--,868099.75,--,265644.22,--,508024.93,--,94430.6,--
2014-05,1182300.32,13.4,327835.25,5.7,58051.11,6.7,269788.46,--,854454.39,--,261047.92,--,489485.97,--,103920.51,--
2014-04,1168812.67,13.2,324482.52,5.5,58615.54,5.4,265866.98,--,844330.15,--,256490.25,--,487912.18,--,99927.72,--
2014-03,1160687.38,12.1,327683.74,5.4,58329.3,5.2,269354.44,--,833003.64,--,250779.04,--,500399.16,--,81825.44,--
2014-02,1131760.83,13.3,316625.11,6.9,62320.95,3.3,254304.16,--,815135.72,--,242008.51,--,486056.34,--,87070.88,--
2014-01,1123521.21,13.2,314900.55,1.2,76488.6,22.5,238411.96,--,808620.66,--,244131.54,--,484966.91,--,79522.21,--
2013-12,1106524.98,13.6,337291.05,9.3,58574.44,7.1,278716.61,--,769233.93,--,232696.58,--,467031.12,--,69506.23,--
2013-11,1079257.06,14.2,324821.92,9.4,56441.27,7.7,268380.65,--,754435.13,--,230549.5,--,453818.58,--,70067.06,--
2013-10,1070242.17,14.3,319509.38,8.9,55595.72,8,263913.66,--,750732.79,--,230220.99,--,452907.18,--,67604.61,--
2013-09,1077379.16,14.2,312330.34,8.9,56492.53,5.7,255837.81,--,765048.82,--,239080.28,--,461958.18,--,64010.36,--
2013-08,1061256.43,14.7,314085.91,9.9,54925.35,9.3,259160.56,--,747170.52,--,229495.56,--,450214.1,--,67460.85,--
2013-07,1052212.34,14.5,310596.46,9.7,54412.78,9.5,256183.68,--,741615.88,--,226038.66,--,449302.32,--,66274.9,--
2013-06,1054403.69,14,313499.82,9.1,54063.91,9.9,259435.91,--,740903.87,--,228029.08,--,453410.56,--,59464.23,--
2013-05,1042169.16,15.8,310204.48,11.3,54431.39,10.8,255773.08,--,731964.68,--,227155.12,--,442270.15,--,62539.41,--
2013-04,1032551.9,16.1,307648.42,11.9,55607.15,10.8,252041.27,--,724903.48,--,223899.56,--,439471.46,--,61532.45,--
2013-03,1035858.37,15.7,310898.29,11.9,55460.52,12.4,255437.78,--,724960.08,--,215732.94,--,449007.48,--,60219.66,--
2013-02,998600.83,15.2,296103.24,9.5,60313.65,17.2,235789.59,--,702497.59,--,204964.77,--,436911.59,--,60621.23,--
2013-01,992129.25,15.9,311228.55,15.3,62449.63,4.4,248778.91,--,680900.71,--,202559.15,--,419143.32,--,59198.24,--
2012-12,974148.8,13.8,308664.23,6.5,54659.77,7.7,254004.46,--,665484.57,--,195940.13,--,411362.59,--,58181.86,--
2012-11,944832.4,13.9,296883,5.5,52392.12,10.7,244490.93,--,647949.31,--,192173.76,--,398962.19,--,56813.36,--
2012-10,936404.28,14.1,293309.78,6.1,51467.71,10.5,241842.07,--,643094.49,--,191726.59,--,396448.24,--,54919.67,--
2012-09,943688.75,14.8,286788.21,7.3,53433.49,13.3,233354.72,--,656900.55,--,200657.45,--,403174.58,--,53068.52,--
2012-08,924894.59,13.5,285739.27,4.5,50235.06,9.7,235504.2,--,639155.32,--,190002.31,--,391896.75,--,57256.27,--
