,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,5693361.0,002797.XSHE,37.15,0.16,5.39,11.82,12.78,218900.0,335.35,21900.0,33.55,2016-05-11,32.837
0,5696210.0,002797.XSHE,40.86,0.11,5.93,13.0,14.06,218900.0,368.85,21900.0,36.9,2016-05-12,36.1164
0,5701908.0,002797.XSHE,44.96,0.1,6.53,14.31,15.47,218900.0,405.84,21900.0,40.6,2016-05-13,39.7387
0,5701908.0,002797.XSHE,44.96,0.1,6.53,14.31,15.47,218900.0,405.84,21900.0,40.6,2016-05-13,39.7387
0,5701908.0,002797.XSHE,44.96,0.1,6.53,14.31,15.47,218900.0,405.84,21900.0,40.6,2016-05-13,39.7387
0,5713303.0,002797.XSHE,49.44,0.37,7.18,15.74,17.01,218900.0,446.34,21900.0,44.65,2016-05-16,43.704
0,5719001.0,002797.XSHE,54.39,0.61,7.9,17.31,18.71,218900.0,490.99,21900.0,49.12,2016-05-17,48.0766
0,5724690.0,002797.XSHE,59.82,39.91,8.68,19.04,20.58,218900.0,540.03,21900.0,54.03,2016-05-18,52.8778
0,5730391.0,002797.XSHE,57.91,49.93,8.41,18.43,19.92,218900.0,522.73,21900.0,52.3,2016-05-19,51.1845
0,5737920.0,002797.XSHE,55.85,31.65,8.11,17.77,19.21,218900.0,504.13,21900.0,50.44,2016-05-20,49.3626
0,5737920.0,002797.XSHE,55.85,31.65,8.11,17.77,19.21,218900.0,504.13,21900.0,50.44,2016-05-20,49.3626
0,5737920.0,002797.XSHE,55.85,31.65,8.11,17.77,19.21,218900.0,504.13,21900.0,50.44,2016-05-20,49.3626
0,5760721.0,002797.XSHE,57.74,31.68,8.38,18.38,19.86,218900.0,521.2,21900.0,52.14,2016-05-23,51.0345
0,5777813.0,002797.XSHE,55.34,20.31,8.03,17.61,19.04,218900.0,499.53,21900.0,49.98,2016-05-24,48.9125
0,5800614.0,002797.XSHE,59.0,42.15,8.56,18.78,20.3,218900.0,532.58,21900.0,53.28,2016-05-25,52.149
0,5823417.0,002797.XSHE,61.35,34.56,8.91,19.53,21.11,218900.0,553.82,21900.0,55.41,2016-05-26,54.2281
0,5846234.0,002797.XSHE,60.02,34.84,8.71,19.1,20.65,218900.0,541.78,21900.0,54.2,2016-05-27,54.2281
0,5846234.0,002797.XSHE,60.02,34.84,8.71,19.1,20.65,218900.0,541.78,21900.0,54.2,2016-05-27,54.2281
0,5846234.0,002797.XSHE,60.02,34.84,8.71,19.1,20.65,218900.0,541.78,21900.0,54.2,2016-05-27,54.2281
0,5871906.0,002797.XSHE,60.72,26.06,8.81,19.33,20.89,218900.0,548.13,21900.0,54.84,2016-05-30,53.6708
0,5889028.0,002797.XSHE,66.78,22.11,9.69,21.25,22.97,218900.0,602.85,21900.0,60.31,2016-05-31,59.0293
0,5911861.0,002797.XSHE,72.63,47.48,10.54,23.11,24.99,218900.0,655.61,21900.0,65.59,2016-06-01,64.195
0,5934689.0,002797.XSHE,79.9,49.76,11.6,25.43,27.49,218900.0,721.28,21900.0,72.16,2016-06-02,70.6252
0,5960383.0,002797.XSHE,85.87,49.54,12.46,27.33,29.54,218900.0,775.12,21900.0,77.55,2016-06-03,75.8979
0,5960383.0,002797.XSHE,85.87,49.54,12.46,27.33,29.54,218900.0,775.12,21900.0,77.55,2016-06-03,75.8979
0,5960383.0,002797.XSHE,85.87,49.54,12.46,27.33,29.54,218900.0,775.12,21900.0,77.55,2016-06-03,75.8979
0,5986082.0,002797.XSHE,85.96,30.81,12.48,27.36,29.57,218900.0,776.0,21900.0,77.64,2016-06-06,75.9837
0,6006083.0,002797.XSHE,94.57,33.43,13.73,30.1,32.53,218900.0,853.71,21900.0,85.41,2016-06-07,83.5928
0,6028948.0,002797.XSHE,98.45,48.56,14.29,31.33,33.87,218900.0,888.73,21900.0,88.91,2016-06-08,87.0222
0,6028948.0,002797.XSHE,98.45,48.56,14.29,31.33,33.87,218900.0,888.73,21900.0,88.91,2016-06-08,87.0222
0,6028948.0,002797.XSHE,98.45,48.56,14.29,31.33,33.87,218900.0,888.73,21900.0,88.91,2016-06-08,87.0222
0,6028948.0,002797.XSHE,98.45,48.56,14.29,31.33,33.87,218900.0,888.73,21900.0,88.91,2016-06-08,87.0222
0,6028948.0,002797.XSHE,98.45,48.56,14.29,31.33,33.87,218900.0,888.73,21900.0,88.91,2016-06-08,87.0222
0,6054693.0,002797.XSHE,88.61,34.2,12.86,28.2,30.48,218900.0,799.86,21900.0,80.02,2016-06-13,78.32
0,6074716.0,002797.XSHE,92.32,37.48,13.4,29.38,31.76,218900.0,833.35,21900.0,83.37,2016-06-14,81.5994
0,6095900.0,002797.XSHE,92.87,40.51,13.48,29.56,31.95,218900.0,838.39,21900.0,83.88,2016-06-15,82.0924
0,6118788.0,002797.XSHE,91.06,26.02,13.22,28.98,31.33,218900.0,821.97,21900.0,82.23,2016-06-16,80.4848
0,6141678.0,002797.XSHE,93.8,35.26,13.62,29.85,32.27,218900.0,846.71,21900.0,84.71,2016-06-17,82.9069
0,6141678.0,002797.XSHE,93.8,35.26,13.62,29.85,32.27,218900.0,846.71,21900.0,84.71,2016-06-17,82.9069
0,6141678.0,002797.XSHE,93.8,35.26,13.62,29.85,32.27,218900.0,846.71,21900.0,84.71,2016-06-17,82.9069
0,6167433.0,002797.XSHE,94.28,26.91,13.69,30.01,32.43,218900.0,851.08,21900.0,85.15,2016-06-20,83.3356
0,6187463.0,002797.XSHE,94.84,35.44,13.77,30.18,32.63,218900.0,856.12,21900.0,85.65,2016-06-21,83.8285
0,6221782.0,002797.XSHE,92.8,22.54,13.47,29.54,31.93,218900.0,837.73,21900.0,83.81,2016-06-22,82.0281
0,6256130.0,002797.XSHE,89.41,20.69,12.98,28.46,30.76,218900.0,807.08,21900.0,80.75,2016-06-23,79.0273
0,6290483.0,002797.XSHE,90.72,22.61,13.17,28.87,31.21,218900.0,818.9,21900.0,81.93,2016-06-24,80.1847
0,6290483.0,002797.XSHE,90.72,22.61,13.17,28.87,31.21,218900.0,818.9,21900.0,81.93,2016-06-24,80.1847
0,6290483.0,002797.XSHE,90.72,22.61,13.17,28.87,31.21,218900.0,818.9,21900.0,81.93,2016-06-24,80.1847
0,6339176.0,002797.XSHE,91.98,20.3,13.35,29.27,31.64,218900.0,830.29,21900.0,83.07,2016-06-27,81.2993
0,6359229.0,002797.XSHE,101.17,40.67,14.69,32.2,34.8,218900.0,913.25,21900.0,91.37,2016-06-28,89.4228
0,6393613.0,002797.XSHE,104.17,45.97,15.12,33.16,35.84,218900.0,940.39,21900.0,94.08,2016-06-29,92.0806
0,6428017.0,002797.XSHE,97.99,29.39,14.22,31.19,33.71,218900.0,884.57,21900.0,88.5,2016-06-30,86.615
0,6433753.0,002797.XSHE,98.98,20.64,14.37,31.5,34.05,218900.0,893.55,21900.0,89.4,2016-07-01,87.4938
0,6433753.0,002797.XSHE,98.98,20.64,14.37,31.5,34.05,218900.0,893.55,21900.0,89.4,2016-07-01,87.4938
0,6433753.0,002797.XSHE,98.98,20.64,14.37,31.5,34.05,218900.0,893.55,21900.0,89.4,2016-07-01,87.4938
0,6482520.0,002797.XSHE,99.59,23.19,14.46,31.7,34.26,218900.0,899.02,21900.0,89.94,2016-07-04,88.0296
0,6502603.0,002797.XSHE,100.71,20.81,14.62,32.05,34.65,218900.0,909.09,21900.0,90.95,2016-07-05,89.0156
0,6537041.0,002797.XSHE,99.06,14.26,14.38,31.53,34.08,218900.0,894.21,21900.0,89.46,2016-07-06,87.5581
0,6571499.0,002797.XSHE,100.15,18.57,14.54,31.87,34.45,218900.0,904.06,21900.0,90.45,2016-07-07,88.5226
0,6605967.0,002797.XSHE,99.71,14.63,14.47,31.74,34.3,218900.0,900.12,21900.0,90.05,2016-07-08,88.1368
0,6605967.0,002797.XSHE,99.71,14.63,14.47,31.74,34.3,218900.0,900.12,21900.0,90.05,2016-07-08,88.1368
