,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,4841014.0,601099.XSHG,477.7,29.1,,272.38,96.35,150331.0,630.19,4200.0,17.61,2007-12-28,477.6985
0,4841014.0,601099.XSHG,477.7,29.1,,272.38,96.35,150331.0,630.19,4200.0,17.61,2007-12-28,477.6985
0,4841014.0,601099.XSHG,477.7,29.1,,272.38,96.35,150331.0,630.19,4200.0,17.61,2007-12-28,477.6985
0,4841014.0,601099.XSHG,477.7,29.1,,272.38,96.35,150331.0,630.19,4200.0,17.61,2007-12-28,477.6985
0,4841014.0,601099.XSHG,477.7,29.1,,272.38,96.35,150331.0,630.19,4200.0,17.61,2007-12-28,477.6985
0,4841015.0,601099.XSHG,457.76,14.62,29.82,261.01,92.33,150331.0,603.88,4200.0,16.87,2008-01-02,99.1269
0,4841016.0,601099.XSHG,447.16,7.43,29.13,254.96,90.19,150331.0,589.9,4200.0,16.48,2008-01-03,96.8319
0,4841017.0,601099.XSHG,491.83,13.14,32.04,280.43,99.2,150331.0,648.83,4200.0,18.13,2008-01-04,106.5053
0,4841017.0,601099.XSHG,491.83,13.14,32.04,280.43,99.2,150331.0,648.83,4200.0,18.13,2008-01-04,106.5053
0,4841017.0,601099.XSHG,491.83,13.14,32.04,280.43,99.2,150331.0,648.83,4200.0,18.13,2008-01-04,106.5053
0,4841018.0,601099.XSHG,525.67,17.46,34.24,299.73,106.03,150331.0,693.48,4200.0,19.37,2008-01-07,113.8343
0,4841019.0,601099.XSHG,518.15,8.93,33.75,295.44,104.51,150331.0,683.56,4200.0,19.1,2008-01-08,112.2056
0,4841020.0,601099.XSHG,518.04,5.29,33.75,295.38,104.49,150331.0,683.41,4200.0,19.09,2008-01-09,112.1809
0,4841021.0,601099.XSHG,509.83,5.25,33.21,290.7,102.83,150331.0,672.58,4200.0,18.79,2008-01-10,110.4042
0,4841022.0,601099.XSHG,498.32,5.82,32.46,284.14,100.51,150331.0,657.4,4200.0,18.37,2008-01-11,107.9119
0,4841022.0,601099.XSHG,498.32,5.82,32.46,284.14,100.51,150331.0,657.4,4200.0,18.37,2008-01-11,107.9119
0,4841022.0,601099.XSHG,498.32,5.82,32.46,284.14,100.51,150331.0,657.4,4200.0,18.37,2008-01-11,107.9119
0,4841023.0,601099.XSHG,501.86,3.03,32.69,286.15,101.22,150331.0,662.06,4200.0,18.5,2008-01-14,108.6768
0,4841024.0,601099.XSHG,486.13,6.25,31.67,277.19,98.05,150331.0,641.31,4200.0,17.92,2008-01-15,105.2714
0,4841025.0,601099.XSHG,464.59,3.8,30.27,264.91,93.71,150331.0,612.9,4200.0,17.12,2008-01-16,100.6075
0,4841026.0,601099.XSHG,478.5,3.64,31.17,272.83,96.51,150331.0,631.24,4200.0,17.64,2008-01-17,103.6181
0,4841027.0,601099.XSHG,478.61,2.4,31.18,272.9,96.53,150331.0,631.39,4200.0,17.64,2008-01-18,103.6428
0,4841027.0,601099.XSHG,478.61,2.4,31.18,272.9,96.53,150331.0,631.39,4200.0,17.64,2008-01-18,103.6428
0,4841027.0,601099.XSHG,478.61,2.4,31.18,272.9,96.53,150331.0,631.39,4200.0,17.64,2008-01-18,103.6428
0,4841028.0,601099.XSHG,446.82,2.45,29.11,254.77,90.12,150331.0,589.45,4200.0,16.47,2008-01-21,96.7579
0,4841029.0,601099.XSHG,402.15,3.08,26.2,229.3,81.11,150331.0,530.52,4200.0,14.82,2008-01-22,87.0846
0,4841030.0,601099.XSHG,410.24,3.46,26.72,233.91,82.74,150331.0,541.19,4200.0,15.12,2008-01-23,88.8367
0,4841031.0,601099.XSHG,400.1,2.88,26.06,228.13,80.7,150331.0,527.81,4200.0,14.75,2008-01-24,86.6404
0,4841032.0,601099.XSHG,440.09,5.64,28.67,250.94,88.77,150331.0,580.58,4200.0,16.22,2008-01-25,95.302
0,4841032.0,601099.XSHG,440.09,5.64,28.67,250.94,88.77,150331.0,580.58,4200.0,16.22,2008-01-25,95.302
0,4841032.0,601099.XSHG,440.09,5.64,28.67,250.94,88.77,150331.0,580.58,4200.0,16.22,2008-01-25,95.302
0,4841033.0,601099.XSHG,398.27,3.94,25.94,227.09,80.33,150331.0,525.41,4200.0,14.68,2008-01-28,86.2456
0,4841034.0,601099.XSHG,412.74,2.1,26.89,235.34,83.25,150331.0,544.5,4200.0,15.21,2008-01-29,89.3795
0,4841035.0,601099.XSHG,406.59,1.75,26.49,231.83,82.01,150331.0,536.38,4200.0,14.99,2008-01-30,88.047
0,4841036.0,601099.XSHG,408.3,1.72,26.6,232.81,82.35,150331.0,538.64,4200.0,15.05,2008-01-31,88.4171
0,4841037.0,601099.XSHG,378.9,2.13,24.68,216.04,76.42,150331.0,499.85,4200.0,13.96,2008-02-01,82.0505
0,4841037.0,601099.XSHG,378.9,2.13,24.68,216.04,76.42,150331.0,499.85,4200.0,13.96,2008-02-01,82.0505
0,4841037.0,601099.XSHG,378.9,2.13,24.68,216.04,76.42,150331.0,499.85,4200.0,13.96,2008-02-01,82.0505
0,4841038.0,601099.XSHG,411.49,2.52,26.81,234.63,83.0,150331.0,542.85,4200.0,15.17,2008-02-04,89.1081
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841039.0,601099.XSHG,398.39,1.59,25.95,227.15,80.35,150331.0,525.56,4200.0,14.68,2008-02-05,86.2703
0,4841040.0,601099.XSHG,395.99,0.91,25.8,225.79,79.87,150331.0,522.4,4200.0,14.6,2008-02-13,85.752
0,4841041.0,601099.XSHG,400.55,1.06,26.09,228.39,80.79,150331.0,528.41,4200.0,14.76,2008-02-14,86.7391
0,4841042.0,601099.XSHG,389.61,1.47,25.38,222.15,78.58,150331.0,513.98,4200.0,14.36,2008-02-15,84.3701
0,4841042.0,601099.XSHG,389.61,1.47,25.38,222.15,78.58,150331.0,513.98,4200.0,14.36,2008-02-15,84.3701
0,4841042.0,601099.XSHG,389.61,1.47,25.38,222.15,78.58,150331.0,513.98,4200.0,14.36,2008-02-15,84.3701
0,4841043.0,601099.XSHG,394.28,1.54,25.69,224.82,79.53,150331.0,520.15,4200.0,14.53,2008-02-18,85.3819
0,4841044.0,601099.XSHG,406.36,2.18,26.47,231.7,81.96,150331.0,536.08,4200.0,14.98,2008-02-19,87.9976
0,4841045.0,601099.XSHG,392.57,2.26,25.57,223.84,79.18,150331.0,517.89,4200.0,14.47,2008-02-20,85.0117
0,4841046.0,601099.XSHG,383.23,1.94,24.96,218.51,77.3,150331.0,505.56,4200.0,14.12,2008-02-21,82.9882
0,4841047.0,601099.XSHG,365.34,2.0,23.8,208.31,73.69,150331.0,481.96,4200.0,13.47,2008-02-22,79.114
0,4841047.0,601099.XSHG,365.34,2.0,23.8,208.31,73.69,150331.0,481.96,4200.0,13.47,2008-02-22,79.114
0,4841047.0,601099.XSHG,365.34,2.0,23.8,208.31,73.69,150331.0,481.96,4200.0,13.47,2008-02-22,79.114
0,4841048.0,601099.XSHG,337.99,1.81,22.02,192.72,68.17,150331.0,445.88,4200.0,12.46,2008-02-25,73.1915
0,4841049.0,601099.XSHG,344.83,1.48,22.46,196.62,69.55,150331.0,454.9,4200.0,12.71,2008-02-26,74.6721
0,4841050.0,601099.XSHG,361.81,1.69,23.57,206.3,72.98,150331.0,477.3,4200.0,13.34,2008-02-27,78.349
0,4841051.0,601099.XSHG,351.66,0.94,22.91,200.51,70.93,150331.0,463.92,4200.0,12.96,2008-02-28,76.1527
0,4841052.0,601099.XSHG,352.01,1.19,22.93,200.71,71.0,150331.0,464.37,4200.0,12.97,2008-02-29,76.2268
0,4841052.0,601099.XSHG,352.01,1.19,22.93,200.71,71.0,150331.0,464.37,4200.0,12.97,2008-02-29,76.2268
0,4841052.0,601099.XSHG,352.01,1.19,22.93,200.71,71.0,150331.0,464.37,4200.0,12.97,2008-02-29,76.2268
0,4841053.0,601099.XSHG,357.93,1.7,23.32,204.09,72.19,150331.0,472.19,4200.0,13.19,2008-03-03,77.51
0,4841054.0,601099.XSHG,341.86,2.3,22.27,194.93,68.95,150331.0,450.99,4200.0,12.6,2008-03-04,74.0305
0,4841055.0,601099.XSHG,336.74,1.56,21.94,192.0,67.92,150331.0,444.23,4200.0,12.41,2008-03-05,72.9201
0,4841056.0,601099.XSHG,348.93,2.83,22.73,198.96,70.38,150331.0,460.31,4200.0,12.86,2008-03-06,75.5605
0,4841057.0,601099.XSHG,339.59,1.14,22.12,193.63,68.49,150331.0,447.99,4200.0,12.52,2008-03-07,73.537
0,4841057.0,601099.XSHG,339.59,1.14,22.12,193.63,68.49,150331.0,447.99,4200.0,12.52,2008-03-07,73.537
0,4841057.0,601099.XSHG,339.59,1.14,22.12,193.63,68.49,150331.0,447.99,4200.0,12.52,2008-03-07,73.537
0,4841058.0,601099.XSHG,335.37,1.2,21.85,191.22,67.64,150331.0,442.43,4200.0,12.36,2008-03-10,72.624
0,4841059.0,601099.XSHG,333.77,0.98,21.74,190.31,67.32,150331.0,440.32,4200.0,12.3,2008-03-11,72.2785
0,4841060.0,601099.XSHG,309.73,1.45,20.18,176.6,62.47,150331.0,408.6,4200.0,11.42,2008-03-12,67.0717
0,4841061.0,601099.XSHG,287.96,2.25,18.76,164.19,58.08,150331.0,379.89,4200.0,10.61,2008-03-13,62.3584
0,4841062.0,601099.XSHG,291.5,1.18,18.99,166.21,58.79,150331.0,384.55,4200.0,10.74,2008-03-14,63.1234
0,4841062.0,601099.XSHG,291.5,1.18,18.99,166.21,58.79,150331.0,384.55,4200.0,10.74,2008-03-14,63.1234
0,4841062.0,601099.XSHG,291.5,1.18,18.99,166.21,58.79,150331.0,384.55,4200.0,10.74,2008-03-14,63.1234
0,4841063.0,601099.XSHG,279.87,1.67,18.23,159.58,56.45,150331.0,369.21,4200.0,10.32,2008-03-17,60.6063
0,4841064.0,601099.XSHG,251.84,1.9,16.41,143.6,50.8,150331.0,332.23,4200.0,9.28,2008-03-18,54.5358
0,4841065.0,601099.XSHG,257.31,1.67,16.76,146.71,51.9,150331.0,339.45,4200.0,9.48,2008-03-19,55.7203
0,4841066.0,601099.XSHG,257.54,3.02,16.78,146.84,51.94,150331.0,339.75,4200.0,9.49,2008-03-20,55.7697
0,4841067.0,601099.XSHG,264.72,2.86,17.24,150.94,53.39,150331.0,349.22,4200.0,9.76,2008-03-21,57.3243
0,4841067.0,601099.XSHG,264.72,2.86,17.24,150.94,53.39,150331.0,349.22,4200.0,9.76,2008-03-21,57.3243
0,4841067.0,601099.XSHG,264.72,2.86,17.24,150.94,53.39,150331.0,349.22,4200.0,9.76,2008-03-21,57.3243
