,open,close,high,low,volume,money
2005-01-05,0.84,0.87,0.88,0.84,3789916.0,3268243.0
2005-01-06,0.86,0.86,0.87,0.85,1297180.0,1113618.0
2005-01-07,0.86,0.84,0.86,0.83,1261765.0,1064266.0
2005-01-10,0.84,0.83,0.84,0.82,894389.0,738907.0
2005-01-11,0.83,0.84,0.84,0.82,613787.0,509953.0
2005-01-12,0.84,0.83,0.84,0.82,415961.0,345562.0
2005-01-13,0.83,0.84,0.84,0.83,370115.0,308723.0
2005-01-14,0.84,0.84,0.85,0.83,388876.0,325425.0
2005-01-17,0.82,0.8,0.82,0.79,718892.0,577002.0
2005-01-18,0.8,0.81,0.82,0.8,415460.0,336680.0
2005-01-19,0.8,0.82,0.83,0.8,344612.0,281617.0
2005-01-20,0.82,0.8,0.82,0.8,423144.0,339399.0
2005-01-21,0.8,0.81,0.82,0.78,489972.0,392726.0
2005-01-24,0.82,0.83,0.84,0.82,760712.0,628682.0
2005-01-25,0.82,0.83,0.84,0.81,389516.0,319516.0
2005-01-26,0.83,0.82,0.84,0.81,284327.0,232765.0
2005-01-27,0.82,0.8,0.82,0.8,368077.0,297040.0
2005-01-28,0.81,0.8,0.82,0.78,1095879.0,868445.0
2005-01-31,0.8,0.78,0.8,0.76,1329478.0,1035922.0
2005-02-01,0.78,0.73,0.79,0.73,2242995.0,1731400.0
2005-02-02,0.73,0.77,0.77,0.72,1292887.0,964708.0
2005-02-03,0.77,0.75,0.77,0.75,942189.0,714480.0
2005-02-04,0.75,0.76,0.76,0.75,857799.0,647297.0
2005-02-16,0.76,0.77,0.78,0.75,679000.0,520463.0
2005-02-17,0.77,0.77,0.77,0.77,354991.0,273105.0
2005-02-18,0.77,0.77,0.78,0.77,563866.0,436004.0
2005-02-21,0.78,0.78,0.79,0.77,353042.0,275303.0
2005-02-22,0.78,0.85,0.86,0.78,4528571.0,3746269.0
2005-02-23,0.85,0.84,0.87,0.84,7634933.0,6484691.0
2005-02-24,0.84,0.84,0.85,0.83,1800060.0,1513135.0
2005-02-25,0.84,0.83,0.85,0.83,1742125.0,1461506.0
2005-02-28,0.83,0.82,0.83,0.82,928869.0,767575.0
2005-03-01,0.83,0.83,0.83,0.81,1342424.0,1103718.0
2005-03-02,0.84,0.81,0.84,0.81,1034181.0,850607.0
2005-03-03,0.8,0.82,0.82,0.8,934666.0,755678.0
2005-03-04,0.83,0.81,0.83,0.8,813997.0,661895.0
2005-03-07,0.81,0.82,0.82,0.81,720563.0,585666.0
2005-03-08,0.82,0.84,0.84,0.82,1544188.0,1277664.0
2005-03-09,0.85,0.84,0.87,0.84,4547838.0,3883464.0
2005-03-10,0.84,0.81,0.84,0.81,1314716.0,1087685.0
2005-03-11,0.82,0.82,0.83,0.81,697821.0,568129.0
2005-03-14,0.79,0.8,0.82,0.79,873140.0,700147.0
2005-03-15,0.8,0.78,0.8,0.78,876481.0,688309.0
2005-03-16,0.78,0.78,0.78,0.77,578901.0,448378.0
2005-03-17,0.77,0.77,0.78,0.77,395363.0,305455.0
2005-03-18,0.77,0.75,0.77,0.75,442138.0,333241.0
2005-03-21,0.76,0.75,0.76,0.73,596775.0,441459.0
2005-03-22,0.74,0.72,0.74,0.72,605852.0,440503.0
2005-03-23,0.72,0.71,0.73,0.71,529502.0,381314.0
2005-03-24,0.72,0.73,0.73,0.71,536240.0,387345.0
2005-03-25,0.73,0.73,0.74,0.73,326297.0,238819.0
2005-03-28,0.72,0.72,0.73,0.71,419586.0,300736.0
2005-03-29,0.73,0.72,0.74,0.72,514529.0,374269.0
2005-03-30,0.71,0.7,0.72,0.69,545991.0,384395.0
2005-03-31,0.7,0.7,0.7,0.67,641424.0,440196.0
2005-04-01,0.7,0.72,0.73,0.67,875278.0,615945.0
2005-04-04,0.71,0.71,0.71,0.69,646769.0,454148.0
2005-04-05,0.71,0.69,0.71,0.69,423295.0,295208.0
2005-04-06,0.69,0.71,0.71,0.69,598156.0,416099.0
2005-04-07,0.71,0.72,0.73,0.71,1302465.0,938044.0
2005-04-08,0.72,0.73,0.73,0.71,758980.0,548775.0
2005-04-11,0.73,0.73,0.75,0.73,762204.0,558900.0
2005-04-12,0.73,0.7,0.73,0.7,646502.0,465630.0
2005-04-13,0.71,0.73,0.73,0.71,1012447.0,732154.0
2005-04-14,0.73,0.71,0.73,0.71,662183.0,476036.0
2005-04-15,0.7,0.69,0.7,0.68,685933.0,472288.0
2005-04-18,0.68,0.67,0.68,0.67,657639.0,442256.0
2005-04-19,0.69,0.66,0.69,0.65,844679.0,560818.0
2005-04-20,0.65,0.65,0.65,0.64,1057735.0,682584.0
2005-04-21,0.65,0.63,0.66,0.63,720819.0,462827.0
2005-04-22,0.63,0.6,0.64,0.57,988408.0,607258.0
2005-04-25,0.6,0.59,0.6,0.58,663252.0,388873.0
2005-04-26,0.59,0.6,0.61,0.59,565202.0,338886.0
2005-04-27,0.6,0.59,0.61,0.58,565759.0,334286.0
2005-04-28,0.58,0.61,0.61,0.57,883057.0,530142.0
2005-04-29,0.6,0.61,0.62,0.6,1102606.0,672594.0
2005-05-09,0.6,0.59,0.61,0.59,497266.0,296845.0
2005-05-10,0.59,0.6,0.6,0.57,506727.0,297623.0
2005-05-11,0.6,0.61,0.62,0.6,962737.0,585850.0
2005-05-12,0.61,0.61,0.62,0.6,603625.0,368014.0
2005-05-13,0.62,0.62,0.62,0.61,1025522.0,630207.0
