,date,open,close,high,low,volume,code
0,2005-01-04,0.797,0.803,0.809,0.775,4539.35,600369
1,2005-01-05,0.8,0.831,0.853,0.797,9836.49,600369
2,2005-01-07,0.825,0.915,0.915,0.775,32594.86,600369
3,2005-01-10,0.918,0.915,0.946,0.89,29569.24,600369
4,2005-01-11,0.915,0.94,0.943,0.89,17704.53,600369
5,2005-01-12,0.924,0.918,0.937,0.909,7786.63,600369
6,2005-01-13,0.912,0.934,0.952,0.884,16611.02,600369
7,2005-01-14,0.921,0.89,0.921,0.887,13583.86,600369
8,2005-01-17,0.868,0.85,0.875,0.822,14924.3,600369
9,2005-01-18,0.84,0.934,0.934,0.84,24808.82,600369
10,2005-01-19,0.943,0.937,0.977,0.93,41001.61,600369
11,2005-01-20,0.921,0.93,0.946,0.903,15551.39,600369
12,2005-01-21,0.918,0.955,1.008,0.918,42025.16,600369
13,2005-01-24,0.968,0.974,0.996,0.946,22751.89,600369
14,2005-01-25,0.961,0.943,0.961,0.924,17800.62,600369
15,2005-01-26,0.93,0.937,0.943,0.918,8018.94,600369
16,2005-01-27,0.927,0.906,0.93,0.887,16990.58,600369
17,2005-01-28,0.906,0.837,0.906,0.825,18553.31,600369
18,2005-01-31,0.806,0.847,0.856,0.794,10113.0,600369
19,2005-02-01,0.834,0.806,0.853,0.806,8572.49,600369
20,2005-02-02,0.809,0.856,0.862,0.785,13127.88,600369
21,2005-02-03,0.859,0.828,0.862,0.822,12196.81,600369
22,2005-02-04,0.822,0.828,0.844,0.816,8154.45,600369
23,2005-02-16,0.828,0.865,0.884,0.828,10067.14,600369
24,2005-02-17,0.862,0.868,0.872,0.84,5914.65,600369
25,2005-02-18,0.865,0.862,0.881,0.859,8422.8,600369
26,2005-02-21,0.862,0.868,0.881,0.85,8725.48,600369
27,2005-02-22,0.868,0.899,0.899,0.856,19958.45,600369
28,2005-02-23,0.896,0.937,0.952,0.884,36900.11,600369
29,2005-02-24,0.934,0.961,0.961,0.909,31292.06,600369
30,2005-02-25,0.961,0.937,0.968,0.937,43986.53,600369
31,2005-02-28,0.93,0.924,0.93,0.906,13002.45,600369
32,2005-03-01,0.924,0.934,0.934,0.909,8893.38,600369
33,2005-03-02,0.93,0.903,0.934,0.899,8478.35,600369
34,2005-03-03,0.903,0.912,0.915,0.887,7105.73,600369
35,2005-03-04,0.903,0.909,0.915,0.896,5394.54,600369
36,2005-03-07,0.906,0.918,0.921,0.899,4778.23,600369
37,2005-03-08,0.918,0.93,0.94,0.915,8932.0,600369
38,2005-03-09,0.93,0.934,0.94,0.924,9782.89,600369
39,2005-03-10,0.934,0.893,0.937,0.887,7607.47,600369
40,2005-03-11,0.893,0.868,0.906,0.862,8417.23,600369
41,2005-03-14,0.868,0.84,0.868,0.816,7287.51,600369
42,2005-03-15,0.844,0.856,0.859,0.831,6856.89,600369
43,2005-03-16,0.84,0.859,0.862,0.825,4738.11,600369
44,2005-03-17,0.859,0.831,0.859,0.828,5344.23,600369
45,2005-03-18,0.819,0.816,0.831,0.809,3381.5,600369
46,2005-03-21,0.8,0.819,0.831,0.8,3487.02,600369
47,2005-03-22,0.813,0.744,0.813,0.738,8045.87,600369
48,2005-03-23,0.744,0.726,0.763,0.689,9199.0,600369
49,2005-03-24,0.726,0.751,0.751,0.707,4719.57,600369
50,2005-03-25,0.744,0.738,0.754,0.735,3533.0,600369
51,2005-03-28,0.732,0.738,0.738,0.707,5586.78,600369
52,2005-03-29,0.754,0.741,0.757,0.738,5849.97,600369
53,2005-03-30,0.732,0.692,0.732,0.689,4605.0,600369
54,2005-03-31,0.685,0.723,0.732,0.682,5677.46,600369
55,2005-04-01,0.701,0.741,0.757,0.701,8189.6,600369
56,2005-04-04,0.738,0.738,0.775,0.716,7136.17,600369
57,2005-04-05,0.738,0.741,0.754,0.726,3014.39,600369
58,2005-04-06,0.732,0.772,0.788,0.72,10562.81,600369
59,2005-04-07,0.76,0.763,0.788,0.754,10700.46,600369
60,2005-04-08,0.763,0.772,0.782,0.754,5832.21,600369
61,2005-04-11,0.76,0.785,0.788,0.751,8235.0,600369
62,2005-04-12,0.775,0.741,0.775,0.741,5974.01,600369
63,2005-04-13,0.744,0.766,0.769,0.741,8752.59,600369
64,2005-04-14,0.772,0.778,0.797,0.76,15833.93,600369
65,2005-04-15,0.785,0.729,0.785,0.716,21674.05,600369
66,2005-04-18,0.76,0.729,0.76,0.695,7387.47,600369
67,2005-04-19,0.744,0.747,0.751,0.729,22994.56,600369
68,2005-04-20,0.747,0.701,0.747,0.695,8936.28,600369
69,2005-04-21,0.707,0.648,0.707,0.63,19697.55,600369
70,2005-04-22,0.642,0.599,0.642,0.595,10907.25,600369
71,2005-04-25,0.605,0.614,0.62,0.583,6981.04,600369
72,2005-04-26,0.605,0.636,0.645,0.595,17359.23,600369
73,2005-04-27,0.636,0.673,0.701,0.636,44273.68,600369
74,2005-04-28,0.673,0.667,0.679,0.623,13719.13,600369
75,2005-04-29,0.651,0.636,0.67,0.63,16513.45,600369
76,2005-05-10,0.605,0.605,0.605,0.605,493.0,600369
77,2005-05-11,0.574,0.574,0.574,0.574,248.0,600369
78,2005-05-12,0.546,0.546,0.546,0.546,133.0,600369
79,2005-05-13,0.518,0.518,0.518,0.518,2402.0,600369
80,2005-05-16,0.493,0.506,0.506,0.493,36288.95,600369
81,2005-05-17,0.499,0.509,0.512,0.487,17355.88,600369
82,2005-05-18,0.506,0.527,0.527,0.502,18385.44,600369
83,2005-05-19,0.527,0.543,0.543,0.518,19965.24,600369
84,2005-05-20,0.537,0.515,0.54,0.515,16416.4,600369
85,2005-05-23,0.499,0.493,0.499,0.49,11352.83,600369
86,2005-05-24,0.493,0.509,0.512,0.49,7476.78,600369
87,2005-05-25,0.509,0.512,0.518,0.502,6394.53,600369
88,2005-05-26,0.512,0.502,0.512,0.496,8205.64,600369
89,2005-05-27,0.496,0.509,0.512,0.496,5887.1,600369
90,2005-05-30,0.506,0.509,0.512,0.496,5029.47,600369
91,2005-05-31,0.506,0.515,0.515,0.506,8929.68,600369
92,2005-06-01,0.515,0.496,0.521,0.496,9353.06,600369
93,2005-06-02,0.496,0.481,0.496,0.471,12113.41,600369
94,2005-06-03,0.475,0.481,0.487,0.475,5896.37,600369
95,2005-06-06,0.487,0.487,0.49,0.468,5400.01,600369
96,2005-06-07,0.487,0.487,0.493,0.481,9533.1,600369
97,2005-06-09,0.512,0.512,0.512,0.506,31399.94,600369
98,2005-06-10,0.509,0.512,0.518,0.499,27014.15,600369
99,2005-06-13,0.512,0.506,0.515,0.502,10847.04,600369
100,2005-06-14,0.509,0.518,0.524,0.509,17874.68,600369
101,2005-06-15,0.515,0.496,0.521,0.493,15212.85,600369
102,2005-06-16,0.493,0.487,0.499,0.475,7482.37,600369
103,2005-06-17,0.487,0.484,0.49,0.478,6372.79,600369
104,2005-06-20,0.484,0.49,0.493,0.475,10839.4,600369
105,2005-06-21,0.493,0.496,0.506,0.484,11319.37,600369
106,2005-06-22,0.499,0.506,0.512,0.496,12073.54,600369
107,2005-06-23,0.506,0.502,0.506,0.493,9962.53,600369
108,2005-06-24,0.496,0.509,0.512,0.49,8670.63,600369
109,2005-06-27,0.512,0.524,0.53,0.509,33216.88,600369
110,2005-06-28,0.521,0.521,0.527,0.515,13788.38,600369
111,2005-06-29,0.521,0.499,0.521,0.496,13601.42,600369
112,2005-06-30,0.496,0.49,0.502,0.484,5391.99,600369
113,2005-07-01,0.487,0.487,0.493,0.478,7270.05,600369
114,2005-07-04,0.496,0.512,0.512,0.496,41264.92,600369
115,2005-07-05,0.515,0.518,0.537,0.509,28587.81,600369
116,2005-07-06,0.521,0.493,0.521,0.493,19649.0,600369
117,2005-07-07,0.484,0.478,0.49,0.468,11304.08,600369
118,2005-07-08,0.478,0.471,0.502,0.471,12488.45,600369
119,2005-07-11,0.471,0.447,0.481,0.447,20994.73,600369
120,2005-07-12,0.425,0.431,0.44,0.425,19180.28,600369
121,2005-07-13,0.431,0.434,0.444,0.416,11541.53,600369
122,2005-07-14,0.428,0.422,0.431,0.413,25071.49,600369
123,2005-07-15,0.431,0.444,0.444,0.431,45332.32,600369
124,2005-07-18,0.44,0.422,0.44,0.422,12962.45,600369
125,2005-07-19,0.403,0.403,0.416,0.4,15346.46,600369
126,2005-07-20,0.403,0.394,0.403,0.388,12453.39,600369
127,2005-07-21,0.385,0.382,0.391,0.375,20281.31,600369
128,2005-07-22,0.385,0.388,0.394,0.375,18840.09,600369
129,2005-07-25,0.382,0.397,0.397,0.382,11578.32,600369
130,2005-07-26,0.394,0.397,0.4,0.391,11047.77,600369
131,2005-07-27,0.394,0.403,0.403,0.391,11181.46,600369
132,2005-07-28,0.403,0.409,0.419,0.4,16585.37,600369
133,2005-07-29,0.409,0.406,0.413,0.4,11070.45,600369
134,2005-08-01,0.403,0.403,0.406,0.397,6382.47,600369
135,2005-08-02,0.403,0.413,0.416,0.4,12167.81,600369
136,2005-08-03,0.413,0.419,0.425,0.406,16059.99,600369
137,2005-08-04,0.416,0.428,0.428,0.409,15560.56,600369
138,2005-08-05,0.428,0.428,0.431,0.419,14036.94,600369
139,2005-08-08,0.428,0.434,0.437,0.422,20985.02,600369
140,2005-08-09,0.434,0.44,0.444,0.431,17603.16,600369
141,2005-08-10,0.437,0.456,0.462,0.437,27222.68,600369
142,2005-08-11,0.45,0.471,0.475,0.45,23354.39,600369
143,2005-08-12,0.468,0.447,0.478,0.447,25594.53,600369
144,2005-08-15,0.434,0.447,0.45,0.425,20624.88,600369
145,2005-08-16,0.447,0.45,0.468,0.444,24678.81,600369
146,2005-08-17,0.44,0.465,0.468,0.44,25352.56,600369
147,2005-08-18,0.468,0.453,0.49,0.453,39686.02,600369
148,2005-08-19,0.45,0.45,0.453,0.431,18390.14,600369
149,2005-08-22,0.447,0.465,0.468,0.44,13200.99,600369
150,2005-08-23,0.462,0.481,0.484,0.459,28207.65,600369
151,2005-08-24,0.481,0.487,0.499,0.468,32966.66,600369
