date,CSA,crude
2003/7/31,4.05,24.29
2003/8/29,3.98,24.37
2003/9/30,3.89,25.94
2003/10/31,4.22,27.04
2003/11/28,4.53,27.06
2003/12/31,4.95,27.34
2004/1/30,6.08,26.98
2004/2/27,6.52,27.42
2004/3/31,5.85,28.15
2004/4/30,6.03,27.33
2004/5/31,5.13,29.1
2004/6/30,4.35,30.08
2004/7/30,4.26,33.79
2004/8/31,4.62,33.43
2004/9/30,4.42,34.72
2004/10/29,4.04,39.62
2004/11/30,4.81,39.07
2004/12/31,5.33,36.69
2005/1/31,4.37,40.11
2005/2/28,4.61,41.88
2005/3/31,3.9,49.87
2005/4/29,3.48,47.93
2005/5/31,3.33,49.13
2005/6/30,2.97,56.29
2005/7/29,2.74,59.09
2005/8/31,2.61,61.77
2005/9/30,2.49,61.38
2005/10/31,2.48,54.84
2005/11/30,2.72,55.74
2005/12/30,2.65,60.49
2006/1/25,2.56,64.77
2006/2/28,2.65,66.18
2006/3/31,2.48,67.2
2006/4/28,2.26,70.49
2006/5/31,2.56,69.45
2006/6/30,2.74,71.17
2006/7/31,2.43,73.9
2006/8/31,2.4,71.88
2006/9/29,2.94,66.79
2006/10/31,3.58,66.48
2006/11/30,3.79,69.17
2006/12/29,4.09,66.9
2007/1/31,5.73,63.44
2007/2/28,5.73,68.25
2007/3/30,7.43,68.25
2007/4/30,9.03,70.6
2007/5/31,9.48,69.63
2007/6/29,8.58,72.16
2007/7/31,12.96,70.87
2007/8/31,20.79,68.77
2007/9/28,23.94,72.94
2007/10/31,22.88,81.83
2007/11/30,25.64,83.07
2007/12/28,27.94,86.61
2008/1/31,20.06,88.36
2008/2/29,20.19,97.65
2008/3/31,14.84,95.02
2008/4/30,12.65,105.79
2008/5/30,10.68,124.71
2008/6/30,7.12,139.76
2008/7/31,7.89,123.93
2008/8/29,3.64,117.5
2008/9/26,3.69,103.59
2008/10/31,2.84,74.88
2008/11/28,3.33,65.42
2008/12/31,3.19,58.73
2009/1/23,3.42,54.8
2009/2/27,4.4,52.52
2009/3/31,5.5,57.72
2009/4/30,5.46,54.45
2009/5/27,5.19,69.2
2009/6/30,5.42,70.84
2009/7/31,7.01,69.45
2009/8/31,5.26,69.96
2009/9/30,5.02,70.61
2009/10/30,5.21,77
2009/11/30,5.99,77.29
2009/12/31,6.06,79.62
2010/1/29,6.09,72.64
2010/2/26,6.62,79.61
2010/3/31,7.55,83.33
2010/4/30,8.44,86.22
2010/5/31,6.53,74.09
2010/6/30,6.28,74.8
2010/7/30,7.39,78.99
2010/8/31,7.14,72.25
2010/9/30,8.28,80.24
2010/10/29,11.79,81.43
2010/11/30,8.9,84.11
2010/12/31,9.74,91.38
2011/1/31,8.59,92.19
2011/2/28,8.77,96.97
2011/3/31,8.04,106.72
2011/4/29,8.69,113.93
2011/5/31,7.49,102.7
2011/6/30,7.84,95.42
2011/7/29,8.27,95.56
2011/8/31,7.83,88.81
2011/9/30,6.42,79.2
2011/10/31,6.5,93.19
2011/11/30,5.74,100.36
2011/12/30,4.74,98.83
2012/1/31,5.02,98.48
2012/2/29,5.31,107.07
2012/3/30,4.51,103.02
2012/4/27,4.85,104.87
2012/5/31,4.82,86.53
2012/6/29,4.61,84.96
2012/7/31,4.21,88.06
2012/8/31,3.48,96.47
2012/9/28,3.41,92.19
2012/10/31,3.64,86.24
2012/11/30,3.35,88.91
2012/12/31,3.91,91.82
2013/1/31,4.21,97.49
2013/2/28,3.8,92.05
2013/3/29,3.67,97.23
2013/4/26,3.45,93.46
2013/5/31,3.48,91.97
2013/6/28,2.82,96.56
2013/7/31,2.56,105.03
2013/8/30,2.83,107.65
2013/9/30,2.82,102.33
2013/10/31,2.75,96.38
2013/11/29,2.93,92.72
2013/12/31,2.75,98.42
2014/1/30,2.63,97.49
2014/2/28,2.59,102.59
2014/3/31,2.52,101.58
2014/4/30,2.4,99.74
2014/5/30,2.34,102.71
2014/6/30,2.31,105.37
2014/7/31,2.48,98.17
2014/8/29,2.5,95.96
2014/9/30,2.98,89.06
2014/10/31,3.16,80.54
2014/11/28,4.14,66.15
2014/12/19,5.93,57.13
