date,CCFI:综合指数,CCFI:澳新航线,CCFI:美东航线,CCFI:美西航线,CCFI:欧洲航线
2002/1/31,925.88,639.72,1209.66,1007.89,963.64
2002/2/28,924.52,607.46,1293.25,974.45,937.45
2002/3/31,921.39,589.63,1224.34,1016.54,970.2
2002/4/30,929.31,577.61,1250.63,972.32,1014.35
2002/5/31,938.96,584.14,1259.29,998.11,1026.69
2002/6/30,933.19,580.89,1300.73,983.65,1022.55
2002/7/31,955.16,579.09,1241,1032.33,1112.35
2002/8/31,960.44,572.07,1265.72,1012.67,1103.71
2002/9/30,961.02,564.33,1245.05,1028.18,1119.97
2002/10/31,958.25,556.03,1230.56,987.79,1138.55
2002/11/30,999.82,640.67,1338.37,1144.95,1116.85
2002/12/31,988.28,635.4,1297.63,1147.17,1119.3
2003/1/31,1024.59,638.64,1317.77,1202.98,1220.01
2003/2/28,989.56,623.56,1130.98,1090.8,1232.97
2003/3/31,984.14,615.95,1145.08,1110.25,1214.52
2003/4/30,998.68,633.53,1159.7,1114.5,1314.7
2003/5/31,1041.97,636.34,1146.33,1354.19,1361.27
2003/6/30,1046.69,651.06,1254.2,1347.91,1362.68
2003/7/31,1066.49,732.1,1279.4,1311.59,1491.3
2003/8/31,1082.19,786,1288.46,1317.21,1516.56
2003/9/30,1120.13,819.44,1288.39,1336.7,1511.85
2003/10/31,1097.14,803.1,1326.87,1263.31,1529.49
2003/11/30,1083.65,864.16,1277.52,1260.04,1521.49
2003/12/31,1086.29,854.19,1265.54,1268.46,1524.89
2004/1/31,1097.62,853.39,1280.23,1292.19,1501.98
2004/2/29,1035.82,803.76,1299.75,1211.46,1482.38
2004/3/31,1063.65,840.87,1242.7,1234.18,1495.27
2004/4/30,1090.4,877.58,1211.99,1238.63,1540.3
2004/5/31,1103.45,881.7,1305.15,1283.05,1547.89
2004/6/30,1127.26,818.07,1309.02,1320.95,1547.23
2004/7/31,1123.86,867.28,1302.2,1298.27,1574.48
2004/8/31,1133.36,856.83,1294.31,1296.28,1587.05
2004/9/30,1200.93,853.58,1287.84,1318.41,1595.82
2004/10/31,1184.16,885.16,1272.23,1354.76,1565.25
2004/11/30,1188.48,904.61,1302.35,1282.84,1581.12
2004/12/31,1174.23,862.97,1269.55,1326.38,1571.41
2005/1/31,1132.45,914,1272.65,1274.76,1543.95
2005/2/28,1122.08,904.64,1407.47,1176.77,1545.74
2005/3/31,1083.37,829.73,1373.71,1253.68,1478.16
2005/4/30,1178.51,937.61,1243.07,1245.79,1537.13
2005/5/31,1165.43,933.48,1248.52,1345.1,1545.94
2005/6/30,1164.5,914.32,1319.63,1345.02,1552.46
2005/7/31,1146.1,941.48,1334.29,1352.67,1541.25
2005/8/31,1152.51,954.95,1313.39,1346.95,1541.51
2005/9/30,1167.46,929.95,1294.42,1349.82,1531.56
2005/10/31,1152.98,915.66,1283.59,1364,1521.7
2005/11/30,1116.12,904.94,1275.46,1267.89,1486.54
2005/12/31,1072.42,890.66,1264.62,1226.34,1411.16
2006/1/31,1050.75,869.23,1248.36,1189.23,1362.22
2006/2/28,1013.6,854.94,1237.52,1156.33,1254.67
2006/3/31,992,837.08,1223.98,1192,1204
2006/4/30,1007,822.79,1213.14,1214,1260
2006/5/31,998.37,822.01,1214.14,1150.45,1260
2006/6/30,996.6,810.38,1238.32,1181.66,1248.35
2006/7/31,1001.93,769.46,1273.58,1160.33,1262.08
2006/8/31,1020.8,800.78,1253.27,1197.18,1274.9
2006/9/30,1030.73,881.17,1256.09,1162.54,1303.06
2006/10/31,1055.89,930.82,1234.9,1147.97,1327.34
2006/11/30,1080.45,938.29,1223.73,1198.22,1350.12
2006/12/31,1034.24,902.45,1232.52,1204.33,1295.2
2007/1/31,1039.63,894.48,1247.1,1205.29,1337.33
2007/2/28,1044.13,894.26,1216.15,1221.81,1355.03
2007/3/31,993.7,880.82,1176.44,1045.73,1356.97
2007/4/30,1013.38,858.18,1208.68,1066.91,1383.14
2007/5/31,1011.89,826.13,1243.86,1063.59,1413.68
2007/6/30,1041.17,836.19,1291.44,1082.32,1462.1
2007/7/31,1078.34,912.94,1298.13,1090.33,1592.24
2007/8/31,1097.84,938.6,1263.74,1078.96,1631.29
2007/9/30,1126.14,992.89,1286.27,1109.72,1654.37
2007/10/31,1147.85,1093.96,1262.42,1082.15,1703.87
2007/11/30,1155.17,1106.63,1242.75,1082.55,1725.2
2007/12/31,1155.01,1121.9,1293.16,1079.57,1671.07
2008/1/31,1159.45,1094.63,1248.44,1090.68,1735.68
2008/2/29,1186.08,1137.77,1277.03,1081.27,1799.24
2008/3/31,1136.75,1080.28,1249.91,1090.79,1696.28
2008/4/30,1127.42,1039.28,1293.19,1115.66,1621.09
2008/5/31,1128.33,1039.4,1261.37,1151.5,1599.32
2008/6/30,1137.22,1026.75,1354.65,1130.02,1616.86
2008/7/31,1139.03,1011.87,1406.26,1134,1592.09
