code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603129,N春风,摩托车,浙江,21.58,0.33,1.33,111927.35,85526.88,20898.36,20709.25,1.55,0.455,4.51,4.35,20170818,14453.17,1.08,0.0,0.0,34.02,7.32,34961
603557,N起步,服饰,浙江,25.77,0.47,4.7,130202.92,87355.11,39165.9,26481.68,0.56,0.216,2.33,4.78,20170818,28453.35,0.61,0.0,0.0,35.64,17.69,45360
000554,泰山石油,石油贸易,山东,8320.18,3.63,4.81,110345.97,14928.17,45971.89,18721.27,0.39,0.0,1.9,5.41,19931215,13553.45,0.28,5.02,43.26,8.14,0.02,46060
600125,铁龙物流,铁路,辽宁,46.25,13.06,13.06,779243.13,445662.19,254307.91,15779.55,0.12,0.068,3.91,3.2,19980511,311298.03,2.38,46.65,65.14,8.07,4.34,105207
002246,北化股份,化工原料,四川,178.13,4.14,4.14,173626.73,101741.43,52008.9,30404.69,0.73,0.025,3.0,5.89,20080605,47366.45,1.14,10.49,14.34,22.05,3.68,60080
000931,中 关 村,区域地产,北京,0.0,6.68,7.53,341207.5,220743.92,49722.46,163232.52,2.17,-0.086,2.01,3.98,19990712,-96741.67,-1.28,-4.96,-381.97,46.5,-10.23,102177
603721,中广天择,影视音像,湖南,18.51,0.25,1.0,45773.48,30982.33,2099.07,13756.8,1.38,0.442,5.03,3.25,20170811,15035.73,1.5,0.0,0.0,35.66,23.27,26418
300369,绿盟科技,软件服务,北京,0.0,5.08,7.97,335580.63,250885.16,11443.24,95966.46,1.2,-0.068,2.34,4.78,20140129,67480.28,0.85,14.56,-61.86,77.67,-40.73,30217
300691,联合光电,元器件,广东,31.08,0.21,0.86,78067.36,52743.8,0.0,0.0,0.0,0.596,6.86,5.4,20170811,0.0,0.0,0.0,0.0,23.31,13.09,44280
600626,申达股份,纺织,上海,46.79,7.1,7.1,564158.25,332082.22,110642.4,14217.44,0.2,0.054,3.53,2.87,19930107,94430.42,1.33,-1.39,-31.14,11.26,1.81,66209
603776,永安行,公共交通,江苏,33.27,0.24,0.96,151001.23,80017.61,13221.05,18186.32,1.89,0.639,8.35,5.09,20170817,32058.58,3.34,0.0,0.0,28.31,12.93,25199
600727,鲁北化工,农药化肥,山东,73.22,3.51,3.51,137895.97,56113.76,73022.43,87415.96,2.49,0.077,3.17,3.54,19960702,-29221.4,-0.83,4.75,108.86,26.49,10.23,24712
002892,科力尔,电气设备,湖南,32.14,0.18,0.84,45364.44,27348.35,16422.97,10559.05,1.26,0.433,4.08,6.82,20170817,8897.21,1.06,0.0,0.0,28.04,12.92,37145
300685,艾德生物,生物制药,福建,56.89,0.2,0.8,40110.23,25382.92,0.0,0.0,0.0,0.551,5.87,10.69,20170802,0.0,0.0,0.0,0.0,0.0,29.65,40009
603603,博天环境,环境保护,北京,75.3,0.4,4.0,656281.25,368507.47,6829.3,28717.5,0.72,0.32,3.06,14.98,20170217,49273.85,1.23,-24.41,147.58,26.78,12.61,29942
600641,万业企业,区域地产,上海,3.15,8.06,8.06,776369.13,735223.56,270.54,19126.48,0.24,1.957,7.12,1.73,19930407,379397.91,4.71,106.84,2425.69,61.87,85.39,35709
002888,惠威科技,元器件,广东,95.88,0.21,0.83,30686.33,18070.65,6869.53,4736.65,0.57,0.075,4.05,7.15,20170721,13028.55,1.57,0.0,0.0,37.78,11.53,43723
300689,澄天伟业,元器件,深圳,51.6,0.17,0.68,36321.92,14752.92,18403.65,5065.27,0.74,0.391,5.79,6.97,20170809,18854.15,2.77,0.0,0.0,35.38,19.42,34006
603602,纵横通信,通信设备,浙江,61.77,0.2,0.8,69733.24,68827.21,655.98,0.0,0.0,0.314,5.71,6.78,20170810,24770.73,3.1,0.0,0.0,23.11,9.98,18720
002846,英联股份,广告包装,广东,77.29,0.3,1.2,60783.8,40894.3,14471.37,24976.35,2.08,0.11,4.3,7.04,20170207,12964.75,1.08,0.0,0.0,28.14,14.6,6738
600876,洛阳玻璃,玻璃,河南,2503.97,2.62,5.27,124457.32,42276.32,63731.71,147310.5,2.8,0.002,1.0,22.12,19951031,-152680.97,-2.9,10.29,164.99,36.54,1.52,59981
002889,东方嘉盛,仓储物流,深圳,21.24,0.35,1.38,811714.88,0.0,0.0,0.0,0.0,0.387,7.96,4.14,20170731,0.0,0.0,0.0,0.0,3.22,2.71,67719
300688,创业黑马,综合类,北京,61.06,0.17,0.68,25834.39,24320.26,377.81,8040.6,1.18,0.225,3.76,7.3,20170810,5615.93,0.83,0.0,0.0,60.72,21.04,34007
000927,一汽夏利,汽车整车,天津,0.0,15.95,15.95,479955.09,213301.91,127058.46,133980.55,0.84,-0.167,0.9,6.14,19990727,-205425.73,-1.29,-37.46,-59.29,-43.82,-75.95,51091
600295,鄂尔多斯,小金属,内蒙,40.31,6.12,10.32,4626375.0,1493358.25,2248205.25,130596.22,1.27,0.107,7.15,2.42,20010426,450604.44,4.37,28.92,23.35,27.71,2.44,55448
601326,秦港股份,港口,河北,18.47,5.58,55.87,2604904.25,378642.06,1140481.38,450637.81,0.81,0.11,2.4,1.7,20170816,144972.61,0.26,0.0,0.0,38.15,18.18,423429
601611,中国核建,建筑施工,北京,79.72,9.62,26.25,6781122.5,5522762.0,332548.72,109797.76,0.42,0.042,3.3,4.04,20160606,348512.06,1.33,4.92,21.65,8.39,1.37,158153
600289,亿阳信通,软件服务,黑龙江,149.84,5.66,6.31,404601.78,314486.16,41858.01,141070.09,2.24,0.04,5.09,2.36,20000720,89553.81,1.42,8.17,39.09,61.54,3.74,51136
000661,长春高新,生物制药,吉林,41.38,1.7,1.7,670559.25,485270.0,72375.4,196695.91,11.56,1.67,23.79,5.81,19961218,157006.19,9.23,25.44,32.25,87.25,17.75,14329
600995,文山电力,水力发电,云南,14.53,4.79,4.79,274450.31,44466.07,193780.19,15560.57,0.33,0.416,3.65,3.32,20040615,94885.53,1.98,8.67,67.46,34.04,18.92,53962
300678,中科信息,软件服务,四川,176.36,0.25,1.0,48932.25,35506.03,2012.85,12581.76,1.26,0.16,4.49,9.61,20170728,11183.57,1.12,0.0,0.0,37.67,14.78,51310
603707,健友股份,化学制药,江苏,32.83,0.64,4.24,166418.73,118568.81,28913.22,25651.42,0.61,0.34,3.99,4.78,20170719,74185.59,1.75,0.0,0.0,43.66,25.48,62162
600260,凯乐科技,通信设备,湖北,30.85,5.39,7.09,1535223.25,1265177.63,75332.3,211148.47,2.98,0.489,6.08,4.96,20000706,121168.92,1.71,105.1,351.67,11.33,4.6,29605
600640,号百控股,酒店餐饮,上海,92.92,5.35,7.96,592787.56,453133.5,79802.53,257560.7,3.24,0.058,5.33,4.07,19930407,63791.76,0.8,8.54,90.55,22.49,3.8,28856
002386,天原集团,化工原料,四川,152.5,6.72,6.72,1413259.63,413625.0,597320.25,185366.23,2.76,0.039,6.06,1.96,20100409,128989.26,1.92,2.67,140.39,6.7,0.44,48453
002843,泰嘉股份,钢加工,湖南,76.13,0.35,1.4,62199.53,38509.56,19848.95,17526.09,1.25,0.16,4.14,5.76,20170120,22430.6,1.6,22.35,14.89,39.62,14.65,26285
600963,岳阳林纸,造纸,湖南,213.2,10.43,13.98,1431933.75,755713.75,428451.94,405118.97,2.9,0.01,5.05,1.78,20040525,1404.22,0.01,19.52,209.36,21.37,1.24,50421
000930,中粮生化,农业综合,安徽,41.0,9.64,9.64,559539.06,184822.5,228121.34,90302.13,0.94,0.076,1.7,7.37,19990712,-42689.51,-0.44,19.6,337.31,15.55,4.8,167159
002112,三变科技,电气设备,浙江,0.0,1.83,2.02,111122.35,74208.32,20607.28,8691.46,0.43,-0.063,2.44,6.98,20070208,16860.35,0.84,-28.77,-1568.5,11.58,-14.46,21107
000990,诚志股份,化工原料,江西,34.15,2.97,12.53,2008046.75,634370.13,438291.91,1290378.63,10.3,0.316,12.46,1.73,20000706,139860.92,1.12,114.3,1619.73,32.61,14.09,17443
600698,湖南天雁,汽车配件,湖南,978.88,4.31,9.72,143912.13,114969.71,22001.17,37418.3,0.39,0.006,0.69,16.96,19931206,-76290.27,-0.79,19.6,-20.68,19.19,1.76,165250
600803,新奥股份,农药化肥,河北,20.5,9.86,9.86,1871818.75,494761.0,505851.31,-18921.65,-0.19,0.185,4.78,3.18,19940103,375806.03,3.81,72.79,301.52,27.99,10.31,19724
600548,深高速,路桥,深圳,14.41,14.33,21.81,3644404.5,465135.81,102105.84,215085.45,0.99,0.34,5.93,1.65,20011225,567881.0,2.6,2.19,20.63,51.56,35.18,24202
300078,思创医惠,元器件,浙江,93.95,4.94,8.08,270507.75,132143.94,34655.3,115415.82,1.43,0.042,2.56,6.18,20100430,40522.28,0.5,-2.42,25.55,41.63,16.01,29880
002336,人人乐,超市连锁,深圳,0.0,3.39,4.0,521225.91,283927.41,131601.77,247589.8,6.19,-0.337,5.43,2.47,20100113,-80313.6,-2.01,-10.51,-925.31,22.54,-2.82,17830
600072,中船科技,船舶,上海,1128.54,3.1,7.36,1142123.13,644566.75,42294.71,243876.0,3.31,0.004,4.93,3.98,19970603,23911.1,0.32,-41.37,24.91,11.4,0.49,84106
300295,三六五网,互联网,江苏,64.67,1.76,1.92,125922.67,120705.45,1038.64,27391.38,1.43,0.086,5.43,4.1,20120315,51354.07,2.67,-27.3,-25.0,94.2,17.0,33073
601678,滨化股份,化工原料,山东,15.74,11.88,11.88,768280.94,189549.27,364066.22,127384.57,1.07,0.304,4.42,2.17,20100223,233097.52,1.96,48.8,653.06,26.22,11.77,43211
002685,华东重机,工程机械,江苏,340.6,5.6,6.89,196455.05,169676.52,15352.7,42696.3,0.62,0.008,1.9,5.71,20120612,16844.92,0.24,116.59,46.85,5.51,0.62,49224
300522,世名科技,染料涂料,江苏,66.64,0.52,1.2,60554.08,40342.87,14568.22,28469.8,2.37,0.106,4.74,5.95,20160705,18925.67,1.58,22.34,1.71,43.96,20.28,8073
600797,浙大网新,软件服务,浙江,390.74,8.31,9.14,370035.88,208455.45,14960.95,39754.9,0.43,0.01,2.49,6.27,19970418,81414.56,0.89,-15.65,162.91,21.49,1.59,82454
002046,轴研科技,机械基件,河南,0.0,3.41,3.54,231738.88,98713.5,62202.11,82103.93,2.32,-0.021,3.83,2.81,20050526,12473.55,0.35,15.09,79.01,23.81,-3.12,37418
600769,祥龙电业,建筑施工,湖北,625.44,3.75,3.75,10132.94,7479.41,217.35,36712.4,0.98,0.007,0.13,70.13,19961101,-73842.59,-1.97,242.13,-2.06,6.16,6.32,18586
603958,哈森股份,服饰,江苏,30.78,0.66,2.17,143452.05,119677.05,13615.52,46205.46,2.13,0.174,5.56,3.86,20160629,47369.05,2.18,-11.37,13.41,52.54,9.18,25949
600308,华泰股份,造纸,山东,14.2,11.68,11.68,1525172.88,625391.69,744174.38,224376.7,1.92,0.253,5.78,1.24,20000928,280520.56,2.4,30.62,318.4,14.57,4.69,82771
300672,国科微,半导体,湖南,0.0,0.28,1.12,74081.03,53376.2,8120.18,51670.51,4.62,-0.241,8.17,4.01,20170712,7488.05,0.67,0.0,0.0,47.31,-82.46,55701
600820,隧道股份,建筑施工,上海,22.47,31.44,31.44,6192608.0,3318728.25,355875.75,683285.81,2.17,0.112,5.77,1.75,19940128,697152.25,2.22,5.18,10.42,10.6,6.68,189302
002320,海峡股份,水运,海南,24.99,2.07,5.08,380615.19,122929.61,240214.5,201856.23,3.97,0.346,6.94,2.49,20091216,76192.46,1.5,30.44,68.53,50.04,31.9,20000
000737,南风化工,日用化工,山西,0.0,5.49,5.49,276039.22,139908.77,90561.63,62588.38,1.14,-0.292,0.02,331.36,19970428,-125364.81,-2.28,-13.14,-117.29,21.23,-17.03,51240
002066,瑞泰科技,其他建材,北京,157.14,2.31,2.31,339382.13,228119.97,75420.07,16452.7,0.71,0.023,1.73,8.39,20060823,-1749.21,-0.08,0.4,12.2,27.23,1.21,34896
600148,长春一东,汽车配件,吉林,111.76,1.42,1.42,100964.43,75206.95,22679.89,8911.74,0.63,0.078,2.74,12.66,19980520,12028.87,0.85,78.41,6546.52,30.35,5.49,36344
002545,东方铁塔,钢加工,山东,241.2,2.81,13.16,1078441.0,229675.91,223225.63,454167.19,3.45,0.016,5.32,2.93,20110211,68644.31,0.52,24.34,23.74,23.02,5.05,21442
600619,海立股份,机械基件,上海,49.28,4.61,8.66,1316399.38,805593.13,350353.31,209972.8,2.42,0.132,4.65,2.8,19921116,77418.53,0.89,40.46,214.37,13.02,2.16,65659
600533,栖霞建设,区域地产,江苏,0.0,10.5,10.5,1387747.0,1120845.75,3192.33,106245.57,1.01,-0.016,3.81,1.63,20020328,94806.25,0.9,-11.07,-276.9,11.89,-3.23,55450
000655,金岭矿业,普钢,山东,67.44,5.95,5.95,292179.53,91290.93,42578.84,48799.8,0.82,0.033,4.42,2.03,19961128,124100.35,2.08,64.2,124.55,33.12,8.68,40396
600339,中油工程,石油加工,新疆,47.06,5.78,55.83,8578634.0,7644617.5,616992.13,1452314.75,2.6,0.039,4.06,1.81,20001225,176119.59,0.32,14.2,544.62,12.55,3.09,46671
000819,岳阳兴长,石油加工,湖南,416.2,2.71,2.71,83532.61,56945.23,18768.76,7040.56,0.26,0.011,2.6,7.17,19970625,23541.32,0.87,40.12,-11.14,6.56,0.74,29544
601333,广深铁路,铁路,深圳,34.79,56.52,70.84,3256762.0,565633.06,2376593.75,1156273.75,1.63,0.04,4.0,1.39,20061222,686469.0,0.97,7.42,-13.5,10.35,6.56,260191
603880,南卫股份,医疗保健,江苏,49.18,0.25,1.0,55307.73,0.0,0.0,0.0,0.0,0.278,3.41,8.03,20170807,0.0,0.0,0.0,0.0,0.0,11.59,26400
600877,*ST嘉陵,摩托车,重庆,18.69,6.87,6.87,169009.52,63781.96,49917.19,9757.0,0.14,0.083,-0.39,-15.79,19951013,-160759.91,-2.34,-19.36,167.27,2.65,43.31,93738
000953,*ST河化,农药化肥,广西,670.56,2.94,2.94,72268.71,17105.7,54351.7,4456.81,0.15,0.003,-0.3,-30.06,19991202,-46359.21,-1.58,-53.46,-95.75,0.55,1.58,42460
603085,天成自控,专用机械,浙江,255.99,0.58,2.24,113985.38,75675.06,14019.63,62552.36,2.79,0.033,4.15,8.01,20150630,17290.47,0.77,49.91,25.86,31.83,7.06,7092
600275,*ST昌鱼,农业综合,湖北,0.0,5.09,5.09,32187.9,1671.26,4454.48,13208.38,0.26,-0.014,0.27,24.63,20000810,-52998.35,-1.04,-59.86,-31.56,51.99,-338.33,82730
600171,上海贝岭,半导体,上海,33.22,6.74,6.74,222475.05,162837.81,7371.15,80176.53,1.19,0.198,2.92,4.52,19980924,35273.69,0.52,-1.46,382.96,27.76,54.6,67609
000980,众泰汽车,汽车配件,安徽,170.24,5.28,18.3,405248.16,305057.22,60133.33,126699.97,0.69,0.06,4.14,2.81,20000616,36784.3,0.2,41.13,11.73,18.21,5.84,50000
