date,1m
2002-01-04,2.5192 
2002-01-07,2.5373 
2002-01-08,1.6796 
2002-01-09,1.6512 
2002-01-10,1.6475 
2002-01-11,1.6484 
2002-01-14,1.4096 
2002-01-15,1.4661 
2002-01-16,1.4937 
2002-01-17,1.4637 
2002-01-18,2.1888 
2002-01-21,2.1889 
2002-01-22,2.1921 
2002-01-23,2.3276 
2002-01-24,2.1614 
2002-01-25,2.3408 
2002-01-28,2.2685 
2002-01-29,1.5809 
2002-01-30,2.1930 
2002-01-31,2.2087 
2002-02-01,2.1221 
2002-02-04,2.1093 
2002-02-05,2.0796 
2002-02-06,2.1582 
2002-02-07,2.0469 
2002-02-08,2.0560 
2002-02-09,2.0744 
2002-02-10,2.0972 
2002-02-11,2.1306 
2002-02-19,2.1248 
2002-02-20,2.0100 
2002-02-21,2.1059 
2002-02-22,2.0844 
2002-02-25,1.9589 
2002-02-26,1.9284 
2002-02-27,1.9242 
2002-02-28,1.9181 
2002-03-01,1.9480 
2002-03-04,2.0292 
2002-03-05,1.9498 
2002-03-06,1.7921 
2002-03-07,1.7753 
2002-03-08,1.7398 
2002-03-11,1.7715 
2002-03-12,1.7686 
2002-03-13,1.7937 
2002-03-14,1.7758 
2002-03-15,1.8079 
2002-03-18,1.9777 
2002-03-19,2.0176 
2002-03-20,2.0182 
2002-03-21,1.7907 
2002-03-22,1.7745 
2002-03-25,1.7028 
2002-03-26,1.7504 
2002-03-27,1.5851 
2002-03-28,1.6965 
2002-03-29,1.7440 
2002-04-01,1.8059 
2002-04-02,1.8915 
2002-04-03,1.7866 
2002-04-04,1.7324 
2002-04-05,1.5449 
2002-04-08,1.7445 
2002-04-09,1.7087 
2002-04-10,1.7877 
2002-04-11,1.7867 
2002-04-12,1.8793 
2002-04-15,1.8366 
2002-04-16,1.8788 
2002-04-17,1.8136 
2002-04-18,1.8618 
2002-04-19,1.9436 
2002-04-22,1.8180 
2002-04-23,1.8504 
2002-04-24,1.8064 
2002-04-25,1.7654 
2002-04-26,4.9840 
2002-04-27,1.7917 
2002-04-28,0.8638 
2002-04-29,1.7640 
2002-04-30,1.8654 
2002-05-08,1.8222 
2002-05-09,1.7805 
2002-05-10,1.9498 
2002-05-13,1.7819 
2002-05-14,1.8072 
2002-05-15,1.7867 
2002-05-16,1.8085 
2002-05-17,1.8188 
2002-05-20,1.7657 
2002-05-21,1.8108 
2002-05-22,1.8140 
2002-05-23,1.8802 
2002-05-24,1.8683 
2002-05-27,1.7682 
2002-05-28,1.7701 
2002-05-29,1.7737 
2002-05-30,1.7788 
2002-05-31,1.7869 
2002-06-03,1.8149 
2002-06-04,1.4753 
2002-06-05,1.4433 
2002-06-06,1.7510 
2002-06-07,1.5956 
2002-06-10,1.7921 
2002-06-11,1.7779 
2002-06-12,1.7994 
2002-06-13,1.7869 
2002-06-14,1.7413 
2002-06-17,1.7521 
2002-06-18,1.8305 
2002-06-19,1.7291 
2002-06-20,1.7466 
2002-06-21,1.7328 
2002-06-24,1.7315 
2002-06-25,1.5108 
2002-06-26,1.6759 
2002-06-27,1.7356 
2002-06-28,1.6851 
2002-07-01,1.7266 
2002-07-02,1.7462 
2002-07-03,1.7073 
2002-07-04,1.7090 
2002-07-05,1.6162 
2002-07-08,1.6592 
2002-07-09,1.6968 
2002-07-10,1.6026 
2002-07-11,1.6591 
2002-07-12,1.8104 
2002-07-15,1.4237 
2002-07-16,1.6093 
2002-07-17,1.6969 
2002-07-18,1.8101 
2002-07-19,1.6282 
2002-07-22,1.5858 
2002-07-23,1.5128 
2002-07-24,1.5255 
2002-07-25,1.7081 
2002-07-26,1.5834 
2002-07-29,1.7059 
2002-07-30,1.7298 
2002-07-31,1.6366 
2002-08-01,1.6191 
2002-08-02,1.6876 
2002-08-05,1.6427 
2002-08-06,1.6503 
2002-08-07,1.6461 
2002-08-08,1.7366 
2002-08-09,1.5211 
2002-08-12,1.6410 
2002-08-13,1.7145 
2002-08-14,1.6783 
2002-08-15,1.6994 
2002-08-16,1.4701 
2002-08-19,1.4237 
2002-08-20,1.3956 
2002-08-21,1.4408 
2002-08-22,1.8530 
2002-08-26,1.4772 
2002-08-27,1.5487 
2002-08-28,1.6385 
2002-08-29,1.7172 
2002-08-30,1.6452 
2002-09-02,1.5881 
2002-09-03,1.7505 
2002-09-04,1.7448 
2002-09-05,1.5107 
2002-09-06,1.5475 
2002-09-09,1.4351 
2002-09-10,1.1649 
2002-09-11,1.7641 
2002-09-12,1.8283 
2002-09-13,1.3222 
2002-09-16,1.6078 
2002-09-17,1.6324 
2002-09-18,1.8397 
2002-09-19,1.4579 
2002-09-20,1.7877 
2002-09-23,1.9251 
2002-09-24,1.8770 
2002-09-25,1.8327 
2002-09-26,1.7297 
2002-09-27,1.8365 
2002-09-28,1.9854 
2002-09-29,1.7377 
2002-09-30,1.3990 
2002-10-08,1.8875 
2002-10-09,1.8912 
2002-10-10,1.8449 
2002-10-11,1.8612 
2002-10-14,1.8741 
2002-10-15,1.8234 
2002-10-16,1.8368 
2002-10-17,1.6615 
2002-10-18,1.9212 
2002-10-21,1.8537 
2002-10-22,1.8884 
2002-10-23,1.9020 
2002-10-24,1.9828 
2002-10-25,1.9531 
2002-10-28,2.0999 
2002-10-29,2.0040 
2002-10-30,1.8924 
2002-10-31,1.8944 
2002-11-01,1.8402 
2002-11-04,2.0913 
2002-11-05,1.8231 
2002-11-06,1.7909 
2002-11-07,1.7802 
2002-11-08,1.2983 
2002-11-11,1.7735 
2002-11-12,1.7750 
2002-11-13,1.7819 
2002-11-14,1.7873 
2002-11-15,1.7955 
2002-11-18,1.7779 
2002-11-19,1.4116 
2002-11-20,1.7918 
2002-11-21,1.7217 
2002-11-22,1.7001 
2002-11-25,1.6898 
2002-11-26,1.6431 
2002-11-27,1.6747 
2002-11-28,1.6802 
2002-11-29,1.3860 
2002-12-02,1.7336 
2002-12-03,1.7252 
2002-12-04,1.7275 
2002-12-05,1.6839 
2002-12-06,1.7080 
2002-12-09,1.6127 
2002-12-10,1.7194 
2002-12-11,1.6564 
2002-12-12,1.6971 
2002-12-13,2.1189 
2002-12-16,1.6915 
2002-12-17,1.6422 
2002-12-18,1.7021 
2002-12-19,1.7164 
2002-12-20,1.7205 
2002-12-23,1.6833 
2002-12-24,2.1658 
2002-12-25,1.5553 
2002-12-26,2.0897 
2002-12-27,1.4106 
2002-12-30,1.8360 
2002-12-31,1.9430 
2003-01-02,1.5202 
2003-01-03,1.5925 
2003-01-06,1.5177 
2003-01-07,1.9631 
2003-01-08,1.6253 
2003-01-09,1.6218 
2003-01-10,1.5410 
2003-01-13,1.5421 
2003-01-14,1.5162 
2003-01-15,1.4672 
2003-01-16,1.4638 
2003-01-17,1.3835 
2003-01-20,1.5837 
2003-01-21,1.4263 
2003-01-22,1.4086 
2003-01-23,1.4033 
2003-01-24,2.0604 
2003-01-27,1.6101 
2003-01-28,1.3808 
2003-01-29,1.3525 
2003-01-30,1.9504 
2003-01-31,1.9807 
2003-02-08,1.2314 
2003-02-09,1.1990 
2003-02-10,1.3660 
2003-02-11,2.0101 
2003-02-12,1.1689 
2003-02-13,1.1534 
2003-02-14,1.0949 
2003-02-17,1.8955 
2003-02-18,1.0390 
2003-02-19,1.1374 
2003-02-20,1.0497 
2003-02-21,1.0998 
2003-02-24,2.0420 
2003-02-25,0.9724 
2003-02-26,1.0334 
2003-02-27,1.0221 
2003-02-28,1.0324 
2003-03-03,1.8971 
2003-03-04,0.9641 
2003-03-05,2.0527 
2003-03-06,1.9934 
2003-03-07,0.8970 
2003-03-10,1.9393 
2003-03-11,2.1121 
