date,1y
2002/1/4,2.585
2002/1/7,2.6009
2002/1/8,1.9156
2002/1/9,1.904
2002/1/10,1.8987
2002/1/11,1.8757
2002/1/14,1.6794
2002/1/15,1.7265
2002/1/16,1.7403
2002/1/17,1.7165
2002/1/18,2.313
2002/1/21,2.3057
2002/1/22,2.3195
2002/1/23,2.4151
2002/1/24,2.282
2002/1/25,2.4084
2002/1/28,2.3583
2002/1/29,1.8731
2002/1/30,2.3022
2002/1/31,2.3164
2002/2/1,2.2378
2002/2/4,2.2322
2002/2/5,2.1994
2002/2/6,2.2673
2002/2/7,2.1876
2002/2/8,2.1877
2002/2/9,2.2009
2002/2/10,2.2233
2002/2/11,2.2539
2002/2/19,2.2399
2002/2/20,2.1405
2002/2/21,2.2222
2002/2/22,2.2165
2002/2/25,2.0962
2002/2/26,2.0677
2002/2/27,2.0638
2002/2/28,2.056
2002/3/1,2.0791
2002/3/4,2.1438
2002/3/5,2.0757
2002/3/6,1.9399
2002/3/7,1.9249
2002/3/8,1.8961
2002/3/11,1.9272
2002/3/12,1.9121
2002/3/13,1.9312
2002/3/14,1.9146
2002/3/15,1.95
2002/3/18,2.0959
2002/3/19,2.1169
2002/3/20,2.1299
2002/3/21,1.9244
2002/3/22,1.9113
2002/3/25,1.8447
2002/3/26,1.8839
2002/3/27,1.7698
2002/3/28,1.861
2002/3/29,1.875
2002/4/1,1.908
2002/4/2,1.9516
2002/4/3,1.9254
2002/4/4,1.8484
2002/4/5,1.7734
2002/4/8,1.8599
2002/4/9,1.8409
2002/4/10,1.8942
2002/4/11,1.8843
2002/4/12,1.9654
2002/4/15,1.9224
2002/4/16,1.9474
2002/4/17,1.8927
2002/4/18,1.9182
2002/4/19,2.007
2002/4/22,1.8999
2002/4/23,1.9133
2002/4/24,1.8967
2002/4/25,1.851
2002/4/26,4.5045
2002/4/27,1.8908
2002/4/28,1.2306
2002/4/29,1.8497
2002/4/30,1.9305
2002/5/8,1.8998
2002/5/9,1.86
2002/5/10,1.9658
2002/5/13,1.8602
2002/5/14,1.8893
2002/5/15,1.8644
2002/5/16,1.8791
2002/5/17,1.9003
2002/5/20,1.8436
2002/5/21,1.8761
2002/5/22,1.8961
2002/5/23,1.9587
2002/5/24,1.9377
2002/5/27,1.8459
2002/5/28,1.8436
2002/5/29,1.8478
2002/5/30,1.8465
2002/5/31,1.8519
2002/6/3,1.8676
2002/6/4,1.627
2002/6/5,1.6091
2002/6/6,1.8219
2002/6/7,1.7202
2002/6/10,1.863
2002/6/11,1.8562
2002/6/12,1.8689
2002/6/13,1.8577
2002/6/14,1.8205
2002/6/17,1.8285
2002/6/18,1.888
2002/6/19,1.8136
2002/6/20,1.8243
2002/6/21,1.8135
2002/6/24,1.8172
2002/6/25,1.6494
2002/6/26,1.7942
2002/6/27,1.8332
2002/6/28,1.7864
2002/7/1,1.8231
2002/7/2,1.8344
2002/7/3,1.8128
2002/7/4,1.8003
2002/7/5,1.7294
2002/7/8,1.7566
2002/7/9,1.7882
2002/7/10,1.7161
2002/7/11,1.7929
2002/7/12,1.8939
2002/7/15,1.5905
2002/7/16,1.7369
2002/7/17,1.8214
2002/7/18,1.9216
2002/7/19,1.7839
2002/7/22,1.752
2002/7/23,1.6754
2002/7/24,1.7
2002/7/25,1.8352
2002/7/26,1.7389
2002/7/29,1.8351
2002/7/30,1.8563
2002/7/31,1.7808
2002/8/1,1.7821
2002/8/2,1.846
2002/8/5,1.8022
2002/8/6,1.7998
2002/8/7,1.8029
2002/8/8,1.8702
2002/8/9,1.7204
2002/8/12,1.8142
2002/8/13,1.8662
2002/8/14,1.8388
2002/8/15,1.8493
2002/8/16,1.6963
2002/8/19,1.655
2002/8/20,1.6369
2002/8/21,1.6791
2002/8/22,1.9604
2002/8/26,1.7066
2002/8/27,1.7648
2002/8/28,1.8414
2002/8/29,1.8754
2002/8/30,1.8121
2002/9/2,1.7745
2002/9/3,1.8837
2002/9/4,1.8908
2002/9/5,1.7623
2002/9/6,1.7777
2002/9/9,1.6896
2002/9/10,1.4404
2002/9/11,1.9081
2002/9/12,1.9702
2002/9/13,1.5929
2002/9/16,1.7957
2002/9/17,1.825
2002/9/18,1.9719
2002/9/19,1.6683
