date,open,high,low,close
 2015/03/20,96.9,97.96,96.525,97.09
 2015/03/23,97.095,97.095,96.84,97.02
 2015/03/24,97.135,97.22,96.875,96.92
 2015/03/25,97.02,97.03,96.76,96.85
 2015/03/26,96.835,96.89,96.37,96.37
 2015/03/27,96.3,96.51,95.98,96.49
 2015/03/30,96.065,96.4,96,96.16
 2015/03/31,95.8,95.9,95.565,95.65
 2015/04/01,95.66,96.095,95.655,96.095
 2015/04/02,96.3,96.425,96.2,96.32
 2015/04/03,96.315,96.375,96.005,96.01
 2015/04/07,96.005,96.31,95.8,95.93
 2015/04/08,96,96.1,95.13,95.16
 2015/04/09,95.3,95.4,95.195,95.265
 2015/04/10,95.35,95.415,95.17,95.19
 2015/04/13,95.18,95.68,95.18,95.63
 2015/04/14,95.7,96,95.53,95.57
 2015/04/15,95.9,96.285,95.775,96.15
 2015/04/16,96.735,96.735,95.86,96.18
 2015/04/17,96.19,96.5,96.05,96.3
 2015/04/20,97.1,97.275,96.67,97.25
 2015/04/21,97.295,97.95,97.26,97.39
 2015/04/22,97.4,97.615,97.31,97.42
 2015/04/23,97.365,97.455,96.945,97.34
 2015/04/24,97.22,97.255,96.82,97.03
 2015/04/27,97.08,97.85,97.08,97.76
 2015/04/28,97.6,97.84,97.58,97.74
 2015/04/29,97.67,97.775,97.52,97.69
 2015/04/30,97.695,98.1,97.695,97.955
 2015/05/04,97.91,97.91,97.54,97.6
 2015/05/05,97.51,97.675,97.485,97.505
 2015/05/06,97.42,97.47,97.065,97.155
 2015/05/07,97.145,97.37,97.095,97.2
 2015/05/08,97.3,97.615,97.29,97.45
 2015/05/11,97.41,97.5,96.5,97.32
 2015/05/12,97.31,97.46,96.88,96.99
 2015/05/13,97.02,97.35,96.965,97.225
 2015/05/14,97.42,97.53,97.005,97.1
 2015/05/15,97.15,97.345,97.125,97.185
 2015/05/18,97.2,97.29,96.675,96.705
 2015/05/19,96.695,96.84,96.475,96.56
 2015/05/20,96.565,96.915,96.55,96.88
 2015/05/21,96.9,96.9,96.47,96.675
 2015/05/22,96.67,96.81,96.67,96.74
 2015/05/25,96.7,96.825,96.465,96.52
 2015/05/26,96.505,96.505,95.21,95.66
 2015/05/27,95.67,95.965,95.58,95.8
 2015/05/28,95.65,95.74,94.81,95
 2015/05/29,95.08,95.145,94.835,94.92
 2015/06/01,94.935,94.96,93.9,94.215
 2015/06/02,94.58,95.1,94.415,94.99
 2015/06/03,94.88,95.4,94.655,95.06
 2015/06/04,95.07,95.265,94.555,94.91
 2015/06/05,94.98,95.37,94.97,95.3
 2015/06/08,95.205,95.62,95.19,95.56
 2015/06/09,95.54,95.68,95.38,95.475
 2015/06/10,95.435,95.435,94.92,94.98
 2015/06/11,94.98,95.055,94.775,94.83
 2015/06/12,94.845,95.05,94.515,94.62
 2015/06/15,94.55,94.62,94.2,94.205
 2015/06/16,94.295,95.135,94.26,95.13
 2015/06/17,95.1,95.2,94.7,94.96
 2015/06/18,95,95.41,94.915,95.25
 2015/06/19,95.25,95.37,94.82,95.02
 2015/06/23,94.895,95.03,94.58,94.91
 2015/06/24,94.9,94.98,94.705,94.885
 2015/06/25,94.78,95.305,94.7,94.8
 2015/06/26,94.8,94.945,94.63,94.715
 2015/06/29,95.01,95.05,94.385,94.535
 2015/06/30,94.6,94.955,94.54,94.755
 2015/07/01,94.82,94.865,94.595,94.645
 2015/07/02,94.65,94.695,94.365,94.61
 2015/07/03,94.7,95.27,94.65,95.22
 2015/07/06,95.5,96.05,95.31,95.92
 2015/07/07,96.18,96.38,95.975,96.28
 2015/07/08,96.48,96.98,95.34,95.8
 2015/07/09,95.86,96.58,95.72,96.15
 2015/07/10,96,96.01,95.6,95.95
 2015/07/13,95.85,96.125,95.67,95.72
 2015/07/14,95.815,95.815,95.38,95.575
 2015/07/15,95.38,95.58,95.28,95.445
 2015/07/16,95.78,95.78,95.48,95.75
 2015/07/17,95.75,95.91,95.615,95.8
 2015/07/20,95.81,95.93,95.67,95.75
 2015/07/21,95.7,95.75,95.525,95.54
 2015/07/22,95.54,95.73,95.38,95.63
 2015/07/23,95.775,95.965,95.71,95.91
 2015/07/24,95.98,96.16,95.83,95.86
 2015/07/27,95.895,96.04,95.58,96.04
 2015/07/28,96,96.13,95.885,96.03
 2015/07/29,96.045,96.175,95.955,96.11
 2015/07/30,96.13,96.17,95.78,95.98
 2015/07/31,96.1,96.1,95.45,95.545
 2015/08/03,95.355,95.715,95.355,95.555
 2015/08/04,95.555,95.84,95.555,95.71
 2015/08/05,95.725,95.795,95.57,95.605
 2015/08/06,95.545,95.885,95.5,95.875
 2015/08/07,95.805,95.94,95.7,95.915
 2015/08/10,95.93,95.98,95.6,95.675
 2015/08/11,95.605,95.7,95.16,95.19
 2015/08/12,95.12,95.345,94.8,95.33
 2015/08/13,95.615,95.675,95.45,95.52
 2015/08/14,95.535,95.69,95.445,95.64
 2015/08/17,95.115,95.45,95.115,95.32
 2015/08/18,95.425,95.49,95.255,95.485
 2015/08/19,95.52,95.52,95.235,95.37
 2015/08/20,95.335,95.455,95.285,95.45
 2015/08/21,95.5,95.68,95.44,95.52
 2015/08/24,95.55,95.82,95.55,95.785
 2015/08/25,95.95,95.98,95.74,95.8
 2015/08/27,96.085,96.445,96.005,96.4
 2015/08/28,96.28,96.45,96.145,96.255
 2015/08/31,96.21,96.86,96.19,96.76
 2015/09/01,96.82,97.045,96.805,96.915
 2015/09/02,96.94,96.995,96.52,96.62
 2015/09/07,96.6,96.6,96.4,96.42
 2015/09/08,96.38,96.48,96.085,96.375
 2015/09/09,96.32,96.49,96.195,96.195
 2015/09/10,96.185,96.475,96.055,96.395
 2015/09/11,96.48,96.48,96.25,96.255
 2015/09/14,96.4,96.455,96.27,96.41
 2015/09/15,96.45,96.675,96.33,96.655
 2015/09/16,96.68,96.715,96.45,96.535
 2015/09/17,96.46,96.55,96.225,96.365
 2015/09/18,96.38,96.655,96.35,96.395
 2015/09/21,96.39,96.475,96.315,96.415
 2015/09/22,96.44,96.465,96.165,96.26
 2015/09/23,96.3,96.42,96.255,96.305
 2015/09/24,96.29,96.525,96.2,96.515
 2015/09/25,96.53,96.735,96.445,96.665
 2015/09/28,96.66,96.975,96.655,96.935
 2015/09/29,97,97.31,97,97.23
 2015/09/30,97.21,97.335,97.05,97.315
 2015/10/08,97.245,97.29,97.06,97.27
 2015/10/09,97.255,98.15,97.23,98.13
 2015/10/12,98.13,98.45,97.93,98.185
 2015/10/13,98.215,98.895,98.09,98.72
 2015/10/14,98.72,99.245,98.35,98.715
 2015/10/15,98.6,98.78,98.335,98.53
 2015/10/16,98.45,98.48,98.005,98.07
 2015/10/19,98.05,98.3,98.05,98.22
 2015/10/20,98.315,99.165,98.265,99.165
 2015/10/21,99.165,99.32,98.81,98.885
 2015/10/22,98.81,99.29,98.81,99.29
 2015/10/23,99.295,99.48,98.92,98.955
 2015/10/26,99.05,99.355,98.795,99.245
 2015/10/27,99.4,99.845,99.255,99.765
 2015/10/28,99.7,99.93,99.285,99.39
 2015/10/29,99.15,99.25,98.685,98.685
 2015/10/30,98.605,98.96,98.5,98.83
 2015/11/02,98.895,99.17,98.705,98.805
 2015/11/03,98.82,98.875,98.555,98.6
 2015/11/04,98.565,98.69,98.195,98.355
 2015/11/05,98.3,98.69,98.17,98.665
 2015/11/06,98.685,98.74,98.19,98.255
 2015/11/09,97.9,97.975,97.275,97.29
 2015/11/10,97.305,97.68,97.23,97.66
 2015/11/11,97.71,98.18,97.635,98.175
 2015/11/12,97.995,98.24,97.47,98.085
 2015/11/13,98.25,98.475,97.865,97.885
 2015/11/16,97.9,98.45,97.8,98.06
 2015/11/17,98.005,98.175,97.82,98.13
 2015/11/18,98.01,98.235,97.565,97.625
 2015/11/19,97.625,97.935,97.51,97.705
 2015/11/20,97.8,98.25,97.7,98.235
 2015/11/23,98.255,98.3,97.195,98.045
 2015/11/24,98.05,98.55,97.9,98.51
 2015/11/25,98.59,98.69,98.42,98.59
 2015/11/26,98.61,99.03,98.365,98.94
 2015/11/27,98.93,99.075,98.575,98.695
 2015/11/30,98.695,99.235,98.63,99.015
 2015/12/01,99.105,99.18,98.66,98.75
 2015/12/02,98.795,99.095,98.685,98.83
 2015/12/03,98.805,99.025,98.65,98.965
 2015/12/04,98.9,99.165,98.76,98.86
 2015/12/07,98.86,99.035,98.73,98.95
 2015/12/08,99,99.205,98.91,99.195
 2015/12/09,99.205,99.28,99.01,99.17
 2015/12/10,99.15,99.295,99.015,99.105
 2015/12/11,99.105,99.37,99.04,99.37
 2015/12/14,99.15,99.225,98.82,98.87
 2015/12/15,98.895,99.125,98.82,99.085
 2015/12/16,99.085,99.2,98.9,99.16
 2015/12/17,99.16,99.295,99.085,99.15
 2015/12/18,99.205,99.6,99.175,99.56
 2015/12/21,99.57,99.92,99.51,99.805
 2015/12/22,99.895,100.11,99.815,99.905
 2015/12/23,99.9,100.02,99.825,99.98
 2015/12/24,100,100.335,99.92,100.28
 2015/12/25,100.29,100.385,100.17,100.26
 2015/12/28,100.265,100.48,100.12,100.48
 2015/12/29,100.495,100.59,100.205,100.23
 2015/12/30,100.19,100.275,100.01,100.15
 2015/12/31,100.125,100.365,100.01,100.035
 2016/01/04,100,100.03,99.665,99.865
 2016/01/05,99.76,99.935,99.58,99.595
 2016/01/06,99.55,100.04,99.5,100.02
 2016/01/07,100.085,100.395,99.755,99.865
 2016/01/08,99.96,100.295,99.935,100.24
 2016/01/11,100.21,100.355,100.115,100.23
 2016/01/12,100.305,100.65,100.24,100.62
 2016/01/13,100.805,100.86,100.595,100.82
 2016/01/14,100.905,100.945,100.38,100.445
 2016/01/15,100.38,100.675,100.33,100.645
 2016/01/18,100.61,100.61,100.12,100.285
 2016/01/19,100.295,100.4,100.07,100.13
 2016/01/20,100.13,100.29,99.905,100.27
 2016/01/21,100.205,100.435,100.095,100.365
 2016/01/22,100.39,100.525,100.28,100.42
 2016/01/25,100.2,100.215,99.81,99.835
