date,close-5y,close-10y,10y-5y,5f-10f
2015/3/20,98.17,97.09,0.2015,1.08
2015/3/23,97.99,97.02,0.1904,0.97
2015/3/24,97.94,96.92,0.1755,1.02
2015/3/25,97.935,96.85,0.1783,1.085
2015/3/26,97.405,96.37,0.1641,1.035
2015/3/27,97.655,96.49,0.1407,1.165
2015/3/30,97.15,96.16,0.1323,0.99
2015/3/31,96.9,95.65,0.1858,1.25
2015/4/1,97.305,96.095,0.1472,1.21
2015/4/2,97.39,96.32,0.1325,1.07
2015/4/3,97,96.01,0.1707,0.99
2015/4/7,96.805,95.93,0.1438,0.875
2015/4/8,96.32,95.16,0.2189,1.16
2015/4/9,96.55,95.265,0.2369,1.285
2015/4/10,96.45,95.19,0.2252,1.26
2015/4/13,96.905,95.63,0.2015,1.275
2015/4/14,96.75,95.57,0.1467,1.18
2015/4/15,97.175,96.15,0.1784,1.025
2015/4/16,97.25,96.18,0.1393,1.07
2015/4/17,97.295,96.3,0.165,0.995
2015/4/20,98.075,97.25,0.1389,0.825
2015/4/21,98.09,97.39,0.1198,0.7
2015/4/22,98.2,97.42,0.1161,0.78
2015/4/23,98.15,97.34,0.1215,0.81
2015/4/24,97.845,97.03,0.1379,0.815
2015/4/27,98.405,97.76,0.1212,0.645
2015/4/28,98.38,97.74,0.1181,0.64
2015/4/29,98.39,97.69,0.1419,0.7
2015/4/30,98.46,97.955,0.097,0.505
2015/5/4,98.145,97.6,0.1148,0.545
2015/5/5,98.015,97.505,0.1407,0.51
2015/5/6,97.29,97.155,0.1772,0.135
2015/5/7,97.245,97.2,0.1573,0.045
2015/5/8,97.63,97.45,0.1219,0.18
2015/5/11,97.665,97.32,0.1582,0.345
2015/5/12,97.42,96.99,0.2325,0.43
2015/5/13,97.445,97.225,0.3365,0.22
2015/5/14,97.48,97.1,0.3934,0.38
2015/5/15,98.32,97.185,0.3399,1.135
2015/5/18,98.24,96.705,0.3289,1.535
2015/5/19,97.89,96.56,0.3304,1.33
2015/5/20,98.175,96.88,0.3085,1.295
2015/5/21,97.985,96.675,0.3106,1.31
2015/5/22,98.04,96.74,0.2622,1.3
2015/5/25,97.785,96.52,0.2603,1.265
2015/5/26,96.9,95.66,0.3217,1.24
2015/5/27,96.835,95.8,0.3458,1.035
2015/5/28,96.19,95,0.2481,1.19
2015/5/29,96.115,94.92,0.303,1.195
2015/6/1,95.5,94.215,0.297,1.285
2015/6/2,96.18,94.99,0.3071,1.19
2015/6/3,96.43,95.06,0.3464,1.37
2015/6/4,96.25,94.91,0.34,1.34
2015/6/5,96.68,95.3,0.3396,1.38
2015/6/8,96.87,95.56,0.3154,1.31
2015/6/9,96.835,95.475,0.3112,1.36
2015/6/10,96.22,94.98,0.3385,1.24
2015/6/11,96.11,94.83,0.3464,1.28
2015/6/12,96,94.62,0.3708,1.38
2015/6/15,95.595,94.205,0.3848,1.39
2015/6/16,96.27,95.13,0.3343,1.14
2015/6/17,96.16,94.96,0.3315,1.2
2015/6/18,96.515,95.25,0.3686,1.265
2015/6/19,96.245,95.02,0.3972,1.225
2015/6/23,96.105,94.91,0.4131,1.195
2015/6/24,96.12,94.885,0.3952,1.235
2015/6/25,96,94.8,0.3899,1.2
2015/6/26,95.95,94.715,0.3946,1.235
2015/6/29,95.725,94.535,0.3752,1.19
2015/6/30,95.96,94.755,0.3892,1.205
2015/7/1,95.725,94.645,0.4449,1.08
2015/7/2,95.72,94.61,0.4401,1.11
2015/7/3,96.295,95.22,0.4132,1.075
2015/7/6,97.015,95.92,0.3792,1.095
2015/7/7,97.17,96.28,0.304,0.89
2015/7/8,96.47,95.8,0.3058,0.67
2015/7/9,97.075,96.15,0.3297,0.925
2015/7/10,96.905,95.95,0.3659,0.955
2015/7/13,96.945,95.72,0.3566,1.225
2015/7/14,96.695,95.575,0.363,1.12
2015/7/15,96.72,95.445,0.378,1.275
2015/7/16,97.03,95.75,0.3639,1.28
2015/7/17,97.08,95.8,0.356,1.28
2015/7/20,97.03,95.75,0.3436,1.28
2015/7/21,96.815,95.54,0.3449,1.275
2015/7/22,96.93,95.63,0.3559,1.3
2015/7/23,97.305,95.91,0.3093,1.395
2015/7/24,97.2,95.86,0.3026,1.34
2015/7/27,97.3,96.04,0.3006,1.26
2015/7/28,97.39,96.03,0.29,1.36
2015/7/29,97.4,96.11,0.2749,1.29
2015/7/30,97.115,95.98,0.2785,1.135
2015/7/31,96.605,95.545,0.2954,1.06
2015/8/3,96.68,95.555,0.2652,1.125
2015/8/4,96.83,95.71,0.2719,1.12
2015/8/5,96.8,95.605,0.2671,1.195
2015/8/6,97.11,95.875,0.2954,1.235
2015/8/7,97.14,95.915,0.292,1.225
2015/8/10,96.95,95.675,0.2956,1.275
2015/8/11,96.43,95.19,0.274,1.24
2015/8/12,96.615,95.33,0.2741,1.285
2015/8/13,96.575,95.52,0.2504,1.055
2015/8/14,96.65,95.64,0.2494,1.01
2015/8/17,96.39,95.32,0.2655,1.07
2015/8/18,98.28,95.485,0.2503,2.795
2015/8/19,98.11,95.37,0.2496,2.74
2015/8/20,98.225,95.45,0.2328,2.775
2015/8/21,98.32,95.52,0.2488,2.8
2015/8/24,98.56,95.785,0.2302,2.775
2015/8/25,98.6,95.8,0.2557,2.8
2015/8/27,99.13,96.4,0.2213,2.73
2015/8/28,98.95,96.255,0.2169,2.695
2015/8/31,99.21,96.76,0.1907,2.45
2015/9/1,99.26,96.915,0.1824,2.345
2015/9/2,99.05,96.62,0.1574,2.43
2015/9/7,98.81,96.42,0.1429,2.39
2015/9/8,98.66,96.375,0.184,2.285
2015/9/9,98.54,96.195,0.1635,2.345
2015/9/10,98.755,96.395,0.1552,2.36
2015/9/11,98.615,96.255,0.1486,2.36
2015/9/14,98.75,96.41,0.1585,2.34
2015/9/15,98.945,96.655,0.1542,2.29
2015/9/16,98.84,96.535,0.169,2.305
2015/9/17,98.655,96.365,0.1538,2.29
2015/9/18,98.7,96.395,0.1638,2.305
2015/9/21,98.745,96.415,0.1785,2.33
2015/9/22,98.59,96.26,0.1707,2.33
2015/9/23,98.65,96.305,0.1847,2.345
