date,close-5y,close-10y,10y-5y,5f-10f,5y-close-open,10y-close-open
2015-03-20,98.17,97.09,0.2015,1.08,0.01,0.19
2015-03-23,97.99,97.02,0.1904,0.97,-0.18,-0.075
2015-03-24,97.94,96.92,0.1755,1.02,-0.125,-0.215
2015-03-25,97.935,96.85,0.1783,1.085,-0.005,-0.17
2015-03-26,97.405,96.37,0.1641,1.035,-0.595,-0.465
2015-03-27,97.655,96.49,0.1407,1.165,0.355,0.19
2015-03-30,97.15,96.16,0.1323,0.99,-0.35,0.095
2015-03-31,96.9,95.65,0.1858,1.25,0.0,-0.15
2015-04-01,97.305,96.095,0.1472,1.21,0.355,0.435
2015-04-02,97.39,96.32,0.1325,1.07,-0.11,0.02
2015-04-03,97.0,96.01,0.1707,0.99,-0.45,-0.305
2015-04-07,96.805,95.93,0.1438,0.875,-0.2,-0.075
2015-04-08,96.32,95.16,0.2189,1.16,-0.535,-0.84
2015-04-09,96.55,95.265,0.2369,1.285,0.1,-0.035
2015-04-10,96.45,95.19,0.2252,1.26,-0.1,-0.16
2015-04-13,96.905,95.63,0.2015,1.275,0.515,0.45
2015-04-14,96.75,95.57,0.1467,1.18,-0.2,-0.13
2015-04-15,97.175,96.15,0.1784,1.025,0.175,0.25
2015-04-16,97.25,96.18,0.1393,1.07,0.04,-0.555
2015-04-17,97.295,96.3,0.165,0.995,0.03,0.11
2015-04-20,98.075,97.25,0.1389,0.825,0.395,0.15
2015-04-21,98.09,97.39,0.1198,0.7,-0.04,0.095
2015-04-22,98.2,97.42,0.1161,0.78,0.11,0.02
2015-04-23,98.15,97.34,0.1215,0.81,0.05,-0.025
2015-04-24,97.845,97.03,0.1379,0.815,-0.255,-0.19
2015-04-27,98.405,97.76,0.1212,0.645,0.485,0.68
2015-04-28,98.38,97.74,0.1181,0.64,0.03,0.14
2015-04-29,98.39,97.69,0.1419,0.7,0.045,0.02
2015-04-30,98.46,97.955,0.097,0.505,0.03,0.26
2015-05-04,98.145,97.6,0.1148,0.545,-0.28,-0.31
2015-05-05,98.015,97.505,0.1407,0.51,-0.06,-0.00500000000001
2015-05-06,97.29,97.155,0.1772,0.135,-0.66,-0.265
2015-05-07,97.245,97.2,0.1573,0.045,-0.04,0.055
2015-05-08,97.63,97.45,0.1219,0.18,0.365,0.15
2015-05-11,97.665,97.32,0.1582,0.345,-0.75,-0.09
2015-05-12,97.42,96.99,0.2325,0.43,-0.24,-0.32
2015-05-13,97.445,97.225,0.3365,0.22,0.045,0.205
2015-05-14,97.48,97.1,0.3934,0.38,-0.09,-0.32
2015-05-15,98.32,97.185,0.3399,1.135,0.23,0.035
2015-05-18,98.24,96.705,0.3289,1.535,-0.26,-0.495
2015-05-19,97.89,96.56,0.3304,1.33,-0.31,-0.135
2015-05-20,98.175,96.88,0.3085,1.295,0.335,0.315
2015-05-21,97.985,96.675,0.3106,1.31,-0.175,-0.225
2015-05-22,98.04,96.74,0.2622,1.3,0.105,0.07
2015-05-25,97.785,96.52,0.2603,1.265,-0.22,-0.18
2015-05-26,96.9,95.66,0.3217,1.24,-0.865,-0.845
2015-05-27,96.835,95.8,0.3458,1.035,-0.095,0.13
2015-05-28,96.19,95.0,0.2481,1.19,-0.51,-0.65
2015-05-29,96.115,94.92,0.303,1.195,-0.045,-0.16
2015-06-01,95.5,94.215,0.297,1.285,-0.62,-0.72
2015-06-02,96.18,94.99,0.3071,1.19,0.475,0.41
2015-06-03,96.43,95.06,0.3464,1.37,0.45,0.18
2015-06-04,96.25,94.91,0.34,1.34,-0.15,-0.16
2015-06-05,96.68,95.3,0.3396,1.38,0.31,0.32
2015-06-08,96.87,95.56,0.3154,1.31,0.275,0.355
2015-06-09,96.835,95.475,0.3112,1.36,-0.015,-0.065
2015-06-10,96.22,94.98,0.3385,1.24,-0.53,-0.455
2015-06-11,96.11,94.83,0.3464,1.28,-0.04,-0.15
2015-06-12,96.0,94.62,0.3708,1.38,-0.155,-0.225
2015-06-15,95.595,94.205,0.3848,1.39,-0.355,-0.345
2015-06-16,96.27,95.13,0.3343,1.14,0.62,0.835
2015-06-17,96.16,94.96,0.3315,1.2,-0.2,-0.14
2015-06-18,96.515,95.25,0.3686,1.265,0.305,0.25
2015-06-19,96.245,95.02,0.3972,1.225,-0.235,-0.23
2015-06-23,96.105,94.91,0.4131,1.195,-0.025,0.015
2015-06-24,96.12,94.885,0.3952,1.235,-0.015,-0.015
2015-06-25,96.0,94.8,0.3899,1.2,0.025,0.02
2015-06-26,95.95,94.715,0.3946,1.235,-0.05,-0.085
2015-06-29,95.725,94.535,0.3752,1.19,-0.395,-0.475
2015-06-30,95.96,94.755,0.3892,1.205,0.235,0.155
2015-07-01,95.725,94.645,0.4449,1.08,-0.215,-0.175
2015-07-02,95.72,94.61,0.4401,1.11,0.12,-0.04
2015-07-03,96.295,95.22,0.4132,1.075,0.575,0.52
2015-07-06,97.015,95.92,0.3792,1.095,0.59,0.42
2015-07-07,97.17,96.28,0.304,0.89,-0.04,0.1
2015-07-08,96.47,95.8,0.3058,0.67,-0.925,-0.68
2015-07-09,97.075,96.15,0.3297,0.925,0.6,0.29
2015-07-10,96.905,95.95,0.3659,0.955,0.005,-0.05
2015-07-13,96.945,95.72,0.3566,1.225,0.095,-0.13
2015-07-14,96.695,95.575,0.363,1.12,-0.435,-0.24
2015-07-15,96.72,95.445,0.378,1.275,0.16,0.065
2015-07-16,97.03,95.75,0.3639,1.28,0.23,-0.03
2015-07-17,97.08,95.8,0.356,1.28,0.09,0.05
2015-07-20,97.03,95.75,0.3436,1.28,-0.03,-0.06
2015-07-21,96.815,95.54,0.3449,1.275,-0.165,-0.16
2015-07-22,96.93,95.63,0.3559,1.3,0.115,0.09
2015-07-23,97.305,95.91,0.3093,1.395,0.26,0.135
2015-07-24,97.2,95.86,0.3026,1.34,-0.18,-0.12
2015-07-27,97.3,96.04,0.3006,1.26,0.095,0.145
2015-07-28,97.39,96.03,0.29,1.36,0.015,0.03
2015-07-29,97.4,96.11,0.2749,1.29,0.01,0.065
2015-07-30,97.115,95.98,0.2785,1.135,-0.25,-0.15
2015-07-31,96.605,95.545,0.2954,1.06,-0.53,-0.555
2015-08-03,96.68,95.555,0.2652,1.125,0.04,0.2
2015-08-04,96.83,95.71,0.2719,1.12,0.15,0.155
2015-08-05,96.8,95.605,0.2671,1.195,-0.03,-0.12
2015-08-06,97.11,95.875,0.2954,1.235,0.3,0.33
2015-08-07,97.14,95.915,0.292,1.225,-0.01,0.11
2015-08-10,96.95,95.675,0.2956,1.275,-0.175,-0.255
2015-08-11,96.43,95.19,0.274,1.24,-0.45,-0.415
2015-08-12,96.615,95.33,0.2741,1.285,0.215,0.21
2015-08-13,96.575,95.52,0.2504,1.055,0.04,-0.095
2015-08-14,96.65,95.64,0.2494,1.01,0.045,0.105
2015-08-17,96.39,95.32,0.2655,1.07,-0.14,0.205
2015-08-18,98.28,95.485,0.2503,2.795,0.16,0.06
2015-08-19,98.11,95.37,0.2496,2.74,-0.17,-0.15
2015-08-20,98.225,95.45,0.2328,2.775,0.135,0.115
2015-08-21,98.32,95.52,0.2488,2.8,0.02,0.02
2015-08-24,98.56,95.785,0.2302,2.775,0.235,0.235
2015-08-25,98.6,95.8,0.2557,2.8,-0.05,-0.15
2015-08-27,99.13,96.4,0.2213,2.73,0.365,0.315
2015-08-28,98.95,96.255,0.2169,2.695,0.05,-0.025
2015-08-31,99.21,96.76,0.1907,2.45,0.26,0.55
2015-09-01,99.26,96.915,0.1824,2.345,-0.02,0.095
2015-09-02,99.05,96.62,0.1574,2.43,-0.215,-0.32
2015-09-07,98.81,96.42,0.1429,2.39,-0.22,-0.18
2015-09-08,98.66,96.375,0.184,2.285,-0.13,-0.005
2015-09-09,98.54,96.195,0.1635,2.345,-0.11,-0.125
2015-09-10,98.755,96.395,0.1552,2.36,0.215,0.21
2015-09-11,98.615,96.255,0.1486,2.36,-0.18,-0.225
2015-09-14,98.75,96.41,0.1585,2.34,0.1,0.00999999999999
2015-09-15,98.945,96.655,0.1542,2.29,0.185,0.205
2015-09-16,98.84,96.535,0.169,2.305,-0.13,-0.145
2015-09-17,98.655,96.365,0.1538,2.29,-0.14,-0.095
2015-09-18,98.7,96.395,0.1638,2.305,0.03,0.015
2015-09-21,98.745,96.415,0.1785,2.33,0.055,0.025
2015-09-22,98.59,96.26,0.1707,2.33,-0.155,-0.18
2015-09-23,98.65,96.305,0.1847,2.345,-0.025,0.00500000000001
2015-09-24,98.82,96.515,0.186,2.305,0.18,0.225
2015-09-25,98.9,96.665,0.1875,2.235,0.1,0.135
2015-09-28,99.0,96.935,0.1977,2.065,0.11,0.275
2015-09-29,99.16,97.23,0.1883,1.93,0.11,0.23
2015-09-30,99.215,97.315,0.1833,1.9,0.055,0.105
2015-10-08,99.155,97.27,0.1976,1.885,0.0,0.025
2015-10-09,99.9,98.13,0.1747,1.77,0.75,0.875
2015-10-12,99.955,98.185,0.1847,1.77,-0.035,0.055
2015-10-13,100.28,98.72,0.1827,1.56,0.28,0.505
2015-10-14,100.18,98.715,0.1685,1.465,-0.11,-0.005
2015-10-15,100.005,98.53,0.1755,1.475,-0.175,-0.07
2015-10-16,99.625,98.07,0.1556,1.555,-0.375,-0.38
2015-10-19,99.74,98.22,0.1538,1.52,0.07,0.17
2015-10-20,100.3,99.165,0.1557,1.135,0.575,0.85
2015-10-21,100.05,98.885,0.1529,1.165,-0.25,-0.28
2015-10-22,100.245,99.29,0.1554,0.955,0.125,0.48
2015-10-23,100.055,98.955,0.1535,1.1,-0.19,-0.34
2015-10-26,100.29,99.245,0.1638,1.045,0.13,0.195
2015-10-27,100.595,99.765,0.1688,0.83,0.275,0.365
2015-10-28,100.215,99.39,0.1655,0.825,-0.365,-0.31
2015-10-29,99.86,98.685,0.1585,1.175,-0.33,-0.465
2015-10-30,99.915,98.83,0.1488,1.085,0.085,0.225
2015-11-02,99.945,98.805,0.1493,1.14,-0.00500000000001,-0.09
2015-11-03,99.75,98.6,0.1516,1.15,-0.19,-0.22
2015-11-04,99.625,98.355,0.1617,1.27,-0.125,-0.21
2015-11-05,99.89,98.665,0.1493,1.225,0.265,0.365
2015-11-06,99.655,98.255,0.1603,1.4,-0.235,-0.43
