date,0d,1m,1y,5y,10y
2002-01-04,2.5132,2.5192,2.585,2.8674,3.2096
2002-01-07,2.5315,2.5373,2.6009,2.8728,3.2003
2002-01-08,1.6574,1.6796,1.9156,2.789,3.5225
2002-01-09,1.6275,1.6512,1.904,2.8317,3.5896
2002-01-10,1.6239,1.6475,1.8987,2.8216,3.5784
2002-01-11,1.6271,1.6484,1.8757,2.7234,3.4532
2002-01-14,1.3843,1.4096,1.6794,2.6768,3.5114
2002-01-15,1.4417,1.4661,1.7265,2.6906,3.5023
2002-01-16,1.4707,1.4937,1.7403,2.6576,3.4414
2002-01-17,1.44,1.4637,1.7165,2.655,3.4511
2002-01-18,2.1773,2.1888,2.313,2.8031,3.2968
2002-01-21,2.178,2.1889,2.3057,2.7723,3.2563
2002-01-22,2.1803,2.1921,2.3195,2.8199,3.3182
2002-01-23,2.3195,2.3276,2.4151,2.7785,3.1897
2002-01-24,2.1502,2.1614,2.282,2.7626,3.2581
2002-01-25,2.3347,2.3408,2.4084,2.7051,3.0795
2002-01-28,2.2602,2.2685,2.3583,2.7323,3.1584
2002-01-29,1.5534,1.5809,1.8731,2.9429,3.81
2002-01-30,2.183,2.193,2.3022,2.7435,3.2152
2002-01-31,2.1987,2.2087,2.3164,2.7524,3.2186
2002-02-01,2.1114,2.1221,2.2378,2.7049,3.2016
2002-02-04,2.098,2.1093,2.2322,2.7197,3.218
2002-02-05,2.0685,2.0796,2.1994,2.681,3.1893
2002-02-06,2.1482,2.1582,2.2673,2.7107,3.1897
2002-02-07,2.0338,2.0469,2.1876,2.731,3.2491
2002-02-08,2.0438,2.056,2.1877,2.7024,3.2085
2002-02-09,2.0626,2.0744,2.2009,2.6984,3.1948
2002-02-10,2.0855,2.0972,2.2233,2.7178,3.2084
2002-02-11,2.1192,2.1306,2.2539,2.7374,3.2173
2002-02-19,2.1142,2.1248,2.2399,2.6976,3.1679
2002-02-20,1.9979,2.01,2.1405,2.6532,3.1647
2002-02-21,2.0952,2.1059,2.2222,2.6842,3.1583
2002-02-22,2.0721,2.0844,2.2165,2.7291,3.2237
2002-02-25,1.9462,1.9589,2.0962,2.6331,3.1616
2002-02-26,1.9155,1.9284,2.0677,2.6129,3.1512
2002-02-27,1.9112,1.9242,2.0638,2.61,3.1481
2002-02-28,1.9053,1.9181,2.056,2.5964,3.1315
2002-03-01,1.9359,1.948,2.0791,2.5959,3.1155
2002-03-04,2.0187,2.0292,2.1438,2.6028,3.0828
2002-03-05,1.9382,1.9498,2.0757,2.5751,3.085
2002-03-06,1.7784,1.7921,1.9399,2.5175,3.0864
2002-03-07,1.7614,1.7753,1.9249,2.5093,3.084
2002-03-08,1.7253,1.7398,1.8961,2.4976,3.0656
2002-03-11,1.757,1.7715,1.9272,2.5222,3.073
2002-03-12,1.7553,1.7686,1.9121,2.4684,3.0044
2002-03-13,1.7809,1.7937,1.9312,2.4664,2.9872
2002-03-14,1.7629,1.7758,1.9146,2.4546,2.9798
2002-03-15,1.7947,1.8079,1.95,2.4982,3.0188
2002-03-18,1.9667,1.9777,2.0959,2.5604,3.0232
2002-03-19,2.0084,2.0176,2.1169,2.5178,2.9442
2002-03-20,2.0078,2.0182,2.1299,2.5676,3.0009
2002-03-21,1.7783,1.7907,1.9244,2.4446,2.9508
2002-03-22,1.7618,1.7745,1.9113,2.4405,2.9468
2002-03-25,1.6896,1.7028,1.8447,2.3931,2.9166
2002-03-26,1.738,1.7504,1.8839,2.4026,2.9052
2002-03-27,1.5678,1.5851,1.7698,2.4629,3.0714
2002-03-28,1.6812,1.6965,1.861,2.4856,3.0536
2002-03-29,1.7318,1.744,1.875,2.3792,2.8551
2002-04-01,1.7965,1.8059,1.908,2.3167,2.7433
2002-04-02,1.8861,1.8915,1.9516,2.2498,2.7048
2002-04-03,1.7736,1.7866,1.9254,2.4495,2.9179
2002-04-04,1.7216,1.7324,1.8484,2.2985,2.7323
2002-04-05,1.5235,1.5449,1.7734,2.6059,3.2699
2002-04-08,1.7338,1.7445,1.8599,2.3066,2.7346
2002-04-09,1.6963,1.7087,1.8409,2.3427,2.7982
2002-04-10,1.7778,1.7877,1.8942,2.3097,2.7158
2002-04-11,1.7777,1.7867,1.8843,2.273,2.6737
2002-04-12,1.8713,1.8793,1.9654,2.3111,2.6736
2002-04-15,1.8287,1.8366,1.9224,2.2687,2.6374
2002-04-16,1.8726,1.8788,1.9474,2.2343,2.5653
2002-04-17,1.8063,1.8136,1.8927,2.2266,2.6181
2002-04-18,1.8568,1.8618,1.9182,2.1763,2.5275
2002-04-19,1.9378,1.9436,2.007,2.2726,2.58
2002-04-22,1.8105,1.818,1.8999,2.2312,2.5865
2002-04-23,1.8447,1.8504,1.9133,2.1951,2.5637
2002-04-24,1.798,1.8064,1.8967,2.2515,2.605
2002-04-25,1.7575,1.7654,1.851,2.1929,2.5478
2002-04-26,5.0297,4.984,4.5045,2.8926,1.9775
2002-04-27,1.7825,1.7917,1.8908,2.2718,2.6304
2002-04-28,0.8292,0.8638,1.2306,2.542,3.5186
2002-04-29,1.7561,1.764,1.8497,2.1895,2.5363
2002-04-30,1.8594,1.8654,1.9305,2.1998,2.5022
2002-05-08,1.815,1.8222,1.8998,2.2109,2.5363
2002-05-09,1.7731,1.7805,1.86,2.1801,2.5192
2002-05-10,1.9487,1.9498,1.9658,2.118,2.4972
2002-05-13,1.7747,1.7819,1.8602,2.1751,2.5072
2002-05-14,1.7996,1.8072,1.8893,2.2145,2.5447
2002-05-15,1.7795,1.7867,1.8644,2.1761,2.5035
2002-05-16,1.802,1.8085,1.8791,2.1704,2.4959
2002-05-17,1.8113,1.8188,1.9003,2.2211,2.5423
2002-05-20,1.7585,1.7657,1.8436,2.1561,2.4837
2002-05-21,1.8049,1.8108,1.8761,2.1564,2.4961
2002-05-22,1.8064,1.814,1.8961,2.2202,2.5476
2002-05-23,1.8729,1.8802,1.9587,2.2626,2.5547
2002-05-24,1.8619,1.8683,1.9377,2.214,2.4983
2002-05-27,1.761,1.7682,1.8459,2.1492,2.4462
2002-05-28,1.7633,1.7701,1.8436,2.1316,2.4178
2002-05-29,1.7669,1.7737,1.8478,2.1367,2.4199
2002-05-30,1.7725,1.7788,1.8465,2.1157,2.3924
2002-05-31,1.7809,1.7869,1.8519,2.1115,2.381
2002-06-03,1.8101,1.8149,1.8676,2.0866,2.3353
