date,open,high,low,close
2000-01-03,101.67,101.82,100.19,100.22
2000-01-04,100.48,100.86,100.01,100.41
2000-01-05,100.41,100.47,99.71,100.32
2000-01-06,100.29,100.81,99.81,100.65
2000-01-07,100.47,100.93,100.44,100.8
2000-01-10,100.73,101.18,100.65,100.99
2000-01-11,101,101.1,100.49,100.56
2000-01-12,100.51,100.98,100.24,100.63
2000-01-13,100.62,101.14,100.57,100.94
2000-01-14,100.96,101.97,100.88,101.81
2000-01-17,101.7,102.14,101.61,101.76
2000-01-18,101.78,102.11,101.64,101.73
2000-01-19,101.64,102.08,101.56,101.68
2000-01-20,101.74,102.07,101.22,101.35
2000-01-21,101.34,102.05,101.12,101.78
2000-01-24,102.19,102.49,101.91,102.01
2000-01-25,102.02,102.61,101.84,102.45
2000-01-26,102.45,102.61,102.14,102.44
2000-01-27,102.47,103.28,102.38,103.23
2000-01-28,103.18,104.74,103.14,104.7
2000-01-31,104.49,105.28,104.02,105.04
2000-02-01,105,105.31,104.54,105.05
2000-02-02,105.03,105.36,104.44,104.71
2000-02-03,104.68,105.2,103.42,103.75
2000-02-04,103.78,104.87,103.5,104.21
2000-02-07,104.33,104.91,104.28,104.64
2000-02-08,104.56,104.77,103.85,104.19
2000-02-09,104.2,104.21,103.39,103.51
2000-02-10,103.58,104.34,103.36,104.21
2000-02-11,104.24,104.82,104.11,104.15
2000-02-14,104.17,104.96,103.83,104.95
2000-02-15,104.94,105.08,104.31,104.7
2000-02-16,104.69,104.84,104.19,104.27
2000-02-17,104.26,104.61,103.67,104.29
2000-02-18,104.29,104.94,104.18,104.67
2000-02-21,104.49,104.72,104.29,104.51
2000-02-22,104.49,104.49,102.99,103.3
2000-02-23,103.31,103.65,102.92,103.44
2000-02-24,103.43,104.42,103.37,104.2
2000-02-25,104.26,105.5,104.12,105.24
2000-02-28,105.28,107.37,105.24,105.34
2000-02-29,105.39,106.22,104.6,106.06
2000-03-01,106.15,106.22,104.66,104.98
2000-03-02,105.03,105.96,104.59,105.78
2000-03-03,105.93,106.25,105.55,106.22
2000-03-06,106.3,106.33,105.47,106.19
2000-03-07,106.23,106.39,105.84,106.01
2000-03-08,106,106.61,105.74,105.96
2000-03-09,105.91,105.97,105.22,105.45
2000-03-10,105.42,105.95,105.28,105.67
2000-03-13,105.75,105.8,104.84,105.57
2000-03-14,105.55,105.87,105.19,105.19
2000-03-15,105.21,105.67,105.11,105.46
2000-03-16,105.58,105.63,104.96,105.27
2000-03-17,105.21,105.61,105.15,105.24
2000-03-20,105.22,105.54,105.08,105.18
2000-03-21,105.17,106.03,105.12,106.01
2000-03-22,106.03,106.34,105.8,106.04
2000-03-23,106.05,106.15,105.11,105.18
2000-03-24,105.21,105.45,104.56,104.56
2000-03-27,104.59,105.66,104.48,105.3
2000-03-28,105.34,105.64,104.95,105.6
2000-03-29,105.65,106.52,105.62,106.24
2000-03-30,106.11,106.22,105.38,105.47
2000-03-31,105.44,105.84,105.16,105.47
2000-04-03,105.51,106.18,105.35,105.75
2000-04-04,105.84,106.15,104.23,105.49
2000-04-05,105.38,105.54,104.71,105.35
2000-04-06,105.44,105.73,105.16,105.66
2000-04-07,105.66,106.06,105.47,105.97
2000-04-10,106.01,106.14,105.55,105.56
2000-04-11,105.58,106.1,105.48,105.99
2000-04-12,105.92,106.31,105.67,105.74
2000-04-13,105.76,106.36,105.68,106.23
2000-04-14,106.24,106.42,105.45,105.46
2000-04-17,105.21,106.27,104.96,106.27
2000-04-18,106.27,106.86,106.24,106.8
2000-04-19,106.8,107.48,106.45,107.07
2000-04-20,107.06,107.55,106.9,107.39
2000-04-21,107.41,107.43,107.3,107.37
2000-04-24,107.23,107.45,106.78,107.41
2000-04-25,107.34,109,107.24,108.67
2000-04-26,108.68,108.93,108.29,108.56
2000-04-27,108.56,109.94,108.43,109.7
2000-04-28,109.59,110.32,109.41,109.93
2000-05-01,109.85,110.35,109.56,109.71
2000-05-02,109.69,110.61,109.51,110.1
2000-05-03,110.04,111.82,109.98,111.31
2000-05-04,111.26,112.23,111.22,111.79
2000-05-05,111.7,111.96,110.96,111.43
2000-05-08,111.36,111.86,110.82,111.37
2000-05-09,111.4,111.65,110.66,110.74
2000-05-10,110.68,111.04,110.3,110.98
2000-05-11,111.2,111.53,110.67,111.32
2000-05-12,111.29,111.51,109.76,109.76
2000-05-15,109.9,110.65,109.81,110.6
2000-05-16,110.85,111.63,110.64,111.31
2000-05-17,111.52,112.6,111.28,112.04
2000-05-18,112.07,112.47,111.85,112.1
2000-05-19,112.04,112.86,111.32,111.47
2000-05-22,111.62,111.78,110.86,111.18
2000-05-23,111.24,111.46,110.24,111.01
2000-05-24,110.98,111.49,110.69,111.41
2000-05-25,111.54,111.97,110.63,110.8
2000-05-26,110.68,110.87,108.86,109.1
2000-05-30,109.48,109.49,108.18,109.06
2000-05-31,109.16,109.52,108.55,108.6
2000-06-01,108.6,109.42,108.6,109.15
2000-06-02,109.11,109.29,107.4,107.76
