symbol,date,open,high,low,close,M1,volume
SH600497,2004-4-20,13.88,15.02,13.6,15,,46995117
SH600497,2004-4-21,14.8,15.05,14.39,14.81,,10758871
SH600497,2004-4-22,14.68,14.85,13.88,14,,8790643
SH600497,2004-4-23,13.99,14.35,13.62,14.15,,4445186
SH600497,2004-4-26,14.3,14.58,13.78,14.23,,3375120
SH600497,2004-4-27,14.18,14.18,13.43,13.6,20.3,4689575
SH600497,2004-4-28,14.18,14.6,13.9,13.95,,7181292
SH600497,2004-4-29,13.98,14.06,13.2,13.31,,4602580
SH600497,2004-4-30,13.34,14.3,13.34,13.95,,5015913
SH600497,2004-5-10,13.98,14.2,13.65,13.73,,3130741
SH600497,2004-5-11,13.67,14.38,13.66,14.22,,4685056
SH600497,2004-5-12,14.22,14.64,14.12,14.58,,5731533
SH600497,2004-5-13,14.45,14.98,14.33,14.64,,6543804
SH600497,2004-5-14,14.65,14.67,14.2,14.35,,3993301
SH600497,2004-5-17,14.25,14.6,14.2,14.44,,3374400
SH600497,2004-5-18,14.45,14.88,14.3,14.48,19.24,4169296
SH600497,2004-5-19,14.5,14.55,13.81,13.88,,4744539
SH600497,2004-5-20,13.85,13.98,13.52,13.75,,2763328
SH600497,2004-5-21,13.7,13.9,13.58,13.82,,1234272
SH600497,2004-5-24,13.8,13.86,13.59,13.61,,1652574
SH600497,2004-5-25,13.6,13.8,13.29,13.5,,1211298
SH600497,2004-5-26,13.5,13.8,13.41,13.66,,702482
SH600497,2004-5-27,13.76,14.4,13.53,14.19,,2939905
SH600497,2004-5-28,14.18,14.25,13.9,13.95,,1598139
SH600497,2004-5-31,13.95,14.27,13.91,14.2,,2099145
SH600497,2004-6-1,14.25,15.49,14.2,15.28,,9855228
SH600497,2004-6-2,15.2,15.54,14.95,15.29,,9242281
SH600497,2004-6-3,15.21,15.3,14.77,14.93,,4585787
SH600497,2004-6-4,14.91,14.91,14.5,14.69,,2658719
SH600497,2004-6-7,14.6,14.89,14.52,14.75,,1679325
SH600497,2004-6-8,14.75,14.85,14.05,14.2,,2382889
SH600497,2004-6-9,14.05,14.36,13.63,13.77,,2118185
SH600497,2004-6-10,13.7,13.85,13.2,13.4,,3385963
SH600497,2004-6-11,13.41,14.1,13.41,13.7,,1851266
SH600497,2004-6-14,13.6,13.9,13.35,13.54,,1189505
SH600497,2004-6-15,13.6,13.82,13.36,13.8,16.73,2077153
SH600497,2004-6-16,13.7,13.91,13.65,13.69,,982515
SH600497,2004-6-17,13.71,13.85,13.41,13.44,,1321164
SH600497,2004-6-18,13.44,13.68,12.42,12.6,,5016808
SH600497,2004-6-21,12.42,13.15,12.05,13.14,,3621910
SH600497,2004-6-22,13.2,13.35,12.96,13.22,,4431543
SH600497,2004-6-23,13.22,13.22,12.45,12.99,,2050863
SH600497,2004-6-24,12.81,12.99,12.59,12.61,,1410373
SH600497,2004-6-25,12.5,12.63,12,12.05,,2159426
SH600497,2004-6-28,11.9,11.9,11.32,11.4,,2333277
SH600497,2004-6-29,11.3,11.8,11.27,11.67,,1142130
SH600497,2004-6-30,11.7,11.81,11.5,11.64,,1255368
SH600497,2004-7-1,11.6,12.25,11.54,12.09,,2464570
SH600497,2004-7-2,12.05,12.18,11.96,12.09,,1418255
SH600497,2004-7-5,12,12.1,11.77,12.1,,502749
SH600497,2004-7-6,12.11,12.35,12.03,12.19,,1002159
SH600497,2004-7-7,12.17,12.17,11.91,12.1,,751989
SH600497,2004-7-8,12.1,12.29,12.05,12.21,,542432
SH600497,2004-7-9,12.2,12.28,11.93,11.94,,454400
SH600497,2004-7-12,11.86,11.92,11.7,11.75,,897418
SH600497,2004-7-13,11.7,12.02,11.61,11.97,,437429
SH600497,2004-7-14,11.98,11.99,11.65,11.99,,578120
SH600497,2004-7-15,11.97,12.18,11.92,12.17,15.53,830086
SH600497,2004-7-16,12.28,12.68,12.25,12.61,,1931677
SH600497,2004-7-19,12.62,12.7,12.46,12.63,,847665
SH600497,2004-7-20,12.7,12.75,12.48,12.49,,1394474
SH600497,2004-7-21,12.44,12.55,12.3,12.38,,761542
SH600497,2004-7-22,12.38,12.45,11.9,11.95,,1375231
SH600497,2004-7-23,11.9,12.05,11.76,12.02,,925907
SH600497,2004-7-26,11.96,12.01,11.8,12,,704812
SH600497,2004-7-27,11.98,12.01,11.81,11.88,,407940
SH600497,2004-7-28,12.01,12.01,11.71,11.8,,350031
SH600497,2004-7-29,11.8,12.18,11.8,12.15,,457353
SH600497,2004-7-30,12.18,12.27,12.08,12.17,,1072182
SH600497,2004-8-2,12.15,12.15,11.9,12,,266148
SH600497,2004-8-3,12,12.23,12,12.11,,370321
SH600497,2004-8-4,12.16,12.55,12.16,12.36,,712748
SH600497,2004-8-5,12.38,12.38,12.2,12.29,,866095
